country,countryISO,techSector,topic,indicator,category,unit,year,observations,value
Italy,ITA,Liquified gaseous fuel shipping,Patents,Detail,Transmission distribution,Number,2006,0,0.33000001311302185
France,FRA,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2006,0,39.290000915527344
Sweden,SWE,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2006,0,13.329999923706055
United States,USA,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2006,0,249.80999755859375
Italy,ITA,Energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,2
United States,USA,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,9.100000381469727
Hungary,HUN,Bioenergy,Patents,Detail,Clean Energy,Number,2006,0,1
Great Britain,GBN,Fossil fuel patents,Patents,Total,Total,Number,2006,0,100.66999816894531
Great Britain,GBN,Nuclear,Patents,Detail,Clean Energy,Number,2006,0,2
Sweden,SWE,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,3
Russian Federation,RUS,Processing and downstream,Patents,Total,Total,Number,2006,0,24.059999465942383
People's Republic of China,CHN,Transmission and distribution,Patents,Total,Total,Number,2006,0,3
Ireland,IRL,Bioenergy,Patents,Detail,Clean Energy,Number,2006,0,3
Spain,ESP,Energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,10
Sweden,SWE,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2006,0,3
Singapore,SGP,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2006,0,3
Japan,JPN,Gas conditioning,Patents,Detail,Processing downstream,Number,2006,0,12.5
Canada,CAN,Renewables,Patents,Detail,Clean Energy,Number,2006,0,5.099999904632568
Finland,FIN,Bioenergy,Patents,Detail,Clean Energy,Number,2006,0,6
United States,USA,Gas conditioning,Patents,Detail,Processing downstream,Number,2006,0,44.58000183105469
Netherlands,NLD,Bioenergy,Patents,Detail,Clean Energy,Number,2006,0,17.25
Japan,JPN,e-Mobility,Patents,Detail,Clean Energy,Number,2006,0,672.5
Germany,DEU,Upstream,Patents,Total,Total,Number,2006,0,32.619998931884766
Brazil,BRA,Building energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,3
Korea,KOR,Gas conditioning,Patents,Detail,Processing downstream,Number,2006,0,3.7899999618530273
United Kingdom,GBR,Air - rail - marine,Patents,Detail,Clean Energy,Number,2006,0,56.310001373291016
Japan,JPN,Oil refining,Patents,Detail,Processing downstream,Number,2006,0,57.41999816894531
United Kingdom,GBR,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,6
Australia,AUS,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,1.5
United States,USA,Unconventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,74.47000122070312
United Kingdom,GBR,Transmission and distribution,Patents,Total,Total,Number,2006,0,4.869999885559082
Netherlands,NLD,Other renewables,Patents,Detail,Clean Energy,Number,2006,0,1
People's Republic of China,CHN,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2006,0,78.83000183105469
Denmark,DNK,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2006,0,7.5
France,FRA,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2006,0,15.3100004196167
Switzerland,CHE,Renewables,Patents,Detail,Clean Energy,Number,2006,0,2.75
Russian Federation,RUS,Clean energy patents,Patents,Total,Total,Number,2006,0,41.599998474121094
Brazil,BRA,Coal-to-gas,Patents,Detail,Processing downstream,Number,2006,0,3
Switzerland,CHE,Nuclear,Patents,Detail,Clean Energy,Number,2006,0,1
Japan,JPN,Coal-to-gas,Patents,Detail,Processing downstream,Number,2006,0,13.5
Turkiye,TUR,Building energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,1
United States,USA,Gaseous fuel distribution,Patents,Detail,Transmission distribution,Number,2006,0,1
Australia,AUS,Fossil fuel patents,Patents,Total,Total,Number,2006,0,2.0299999713897705
Canada,CAN,Gas fuel pipelines,Patents,Detail,Transmission distribution,Number,2006,0,2
Great Britain,GBN,Upstream,Patents,Total,Total,Number,2006,0,65.75
Brazil,BRA,Air - rail - marine,Patents,Detail,Clean Energy,Number,2006,0,2
Netherlands,NLD,Upstream,Patents,Total,Total,Number,2006,0,13
Austria,AUT,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,0.5
Czech Republic,CZE,Clean energy patents,Patents,Total,Total,Number,2006,0,14.850000381469727
Germany,DEU,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2006,0,275.05999755859375
Mexico,MEX,Total - all technologies,Patents,,,Number,2006,0,233.33999633789062
Finland,FIN,e-Mobility,Patents,Detail,Clean Energy,Number,2006,0,2
Finland,FIN,Fossil fuel patents,Patents,Total,Total,Number,2006,0,13
United Kingdom,GBR,Processing and downstream,Patents,Total,Total,Number,2006,0,32.38999938964844
India,IND,Oil refining,Patents,Detail,Processing downstream,Number,2006,0,0.28999999165534973
Spain,ESP,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2006,0,1.3300000429153442
Germany,DEU,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,9
France,FRA,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2006,0,9.75
,WORLD,Air - rail - marine,Patents,Detail,Clean Energy,Number,2006,0,939.5399780273438
,WORLD,Upstream,Patents,Total,Total,Number,2006,0,852.8699951171875
Norway,NOR,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,17.450000762939453
Korea,KOR,Fossil fuel patents,Patents,Total,Total,Number,2006,0,56.83000183105469
Germany,DEU,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2006,0,55.93000030517578
Germany,DEU,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2006,0,87.06999969482422
United States,USA,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2006,0,475.9800109863281
Germany,DEU,Fossil fuel patents,Patents,Total,Total,Number,2006,0,176.8000030517578
Germany,DEU,Wind,Patents,Detail,Clean Energy,Number,2006,0,104.41999816894531
Sweden,SWE,Other renewables,Patents,Detail,Clean Energy,Number,2006,0,12
Russian Federation,RUS,Nuclear,Patents,Detail,Clean Energy,Number,2006,0,1
,WORLD,Underground gaseous fuel storage,Patents,Detail,Transmission distribution,Number,2006,0,3
Korea,KOR,Clean energy patents,Patents,Total,Total,Number,2006,0,1007.8599853515625
Italy,ITA,Transmission and distribution,Patents,Total,Total,Number,2006,0,9.670000076293945
Japan,JPN,Building energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,343.25
Italy,ITA,Grid,Patents,Detail,Clean Energy,Number,2006,0,1
Canada,CAN,Transmission and distribution,Patents,Total,Total,Number,2006,0,6.25
Russian Federation,RUS,Oil refining,Patents,Detail,Processing downstream,Number,2006,0,18
Singapore,SGP,Solar,Patents,Detail,Clean Energy,Number,2006,0,1
Belgium,BEL,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2006,0,0.25
Italy,ITA,e-Mobility,Patents,Detail,Clean Energy,Number,2006,0,10.430000305175781
Poland,POL,Air - rail - marine,Patents,Detail,Clean Energy,Number,2006,0,0.20000000298023224
Denmark,DNK,Bioenergy,Patents,Detail,Clean Energy,Number,2006,0,7
Italy,ITA,Air - rail - marine,Patents,Detail,Clean Energy,Number,2006,0,13.329999923706055
Korea,KOR,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2006,0,242.1699981689453
United States,USA,Solar,Patents,Detail,Clean Energy,Number,2006,0,229.08999633789062
Spain,ESP,Nuclear,Patents,Detail,Clean Energy,Number,2006,0,1.5199999809265137
People's Republic of China,CHN,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,18.579999923706055
Korea,KOR,Compressed gaseous fuel shipping,Patents,Detail,Transmission distribution,Number,2006,0,1
United Kingdom,GBR,Other renewables,Patents,Detail,Clean Energy,Number,2006,0,28
Germany,DEU,Stationary tank storage for gases,Patents,Detail,Transmission distribution,Number,2006,0,22
Denmark,DNK,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2006,0,2
Switzerland,CHE,e-Mobility,Patents,Detail,Clean Energy,Number,2006,0,4
Turkiye,TUR,e-Mobility,Patents,Detail,Clean Energy,Number,2006,0,1.5
Czech Republic,CZE,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2006,0,1.7999999523162842
Finland,FIN,Air - rail - marine,Patents,Detail,Clean Energy,Number,2006,0,9
Germany,DEU,Other renewables,Patents,Detail,Clean Energy,Number,2006,0,17.5
Brazil,BRA,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,0.8999999761581421
Israel,ISR,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2006,0,11.75
India,IND,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2006,0,0.5
Singapore,SGP,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2006,0,1
Norway,NOR,Bioenergy,Patents,Detail,Clean Energy,Number,2006,0,2
United States,USA,Coal-to-liquids and gas-to-liquids,Patents,Detail,Processing downstream,Number,2006,0,5
Turkiye,TUR,Solar,Patents,Detail,Clean Energy,Number,2006,0,16
Korea,KOR,Solar,Patents,Detail,Clean Energy,Number,2006,0,71.5
United States,USA,Fossil fuel patents,Patents,Total,Total,Number,2006,0,895.6099853515625
Australia,AUS,Other renewables,Patents,Detail,Clean Energy,Number,2006,0,1
Italy,ITA,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2006,0,8.430000305175781
Mexico,MEX,Fossil fuel patents,Patents,Total,Total,Number,2006,0,2
France,FRA,Unconventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,10.039999961853027
Canada,CAN,Nuclear,Patents,Detail,Clean Energy,Number,2006,0,2
Norway,NOR,Clean energy patents,Patents,Total,Total,Number,2006,0,47.11000061035156
Hungary,HUN,Processing and downstream,Patents,Total,Total,Number,2006,0,2
Netherlands,NLD,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2006,0,2.140000104904175
Russian Federation,RUS,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,1
France,FRA,Grid,Patents,Detail,Clean Energy,Number,2006,0,4.949999809265137
United States,USA,Solid fuel conditioning,Patents,Detail,Processing downstream,Number,2006,0,1.5
Ireland,IRL,Clean energy patents,Patents,Total,Total,Number,2006,0,6.71999979019165
Canada,CAN,Stationary tank storage for gases,Patents,Detail,Transmission distribution,Number,2006,0,4.25
Netherlands,NLD,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2006,0,8.430000305175781
Great Britain,GBN,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2006,0,15
United States,USA,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2006,0,36.33000183105469
Canada,CAN,Building energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,26.170000076293945
Great Britain,GBN,Bioenergy,Patents,Detail,Clean Energy,Number,2006,0,30.829999923706055
Germany,DEU,Processing and downstream,Patents,Total,Total,Number,2006,0,119.3499984741211
Russian Federation,RUS,Renewables,Patents,Detail,Clean Energy,Number,2006,0,1
Korea,KOR,e-Mobility,Patents,Detail,Clean Energy,Number,2006,0,54.72999954223633
Korea,KOR,Nuclear,Patents,Detail,Clean Energy,Number,2006,0,19
Canada,CAN,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,1
France,FRA,Other renewables,Patents,Detail,Clean Energy,Number,2006,0,17.5
Australia,AUS,Wind,Patents,Detail,Clean Energy,Number,2006,0,3
Russian Federation,RUS,Transmission and distribution,Patents,Total,Total,Number,2006,0,1
Saudi Arabia,SAU,Oil refining,Patents,Detail,Processing downstream,Number,2006,0,6.329999923706055
United Kingdom,GBR,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2006,0,25.5
Brazil,BRA,Wind,Patents,Detail,Clean Energy,Number,2006,0,3
Sweden,SWE,Processing and downstream,Patents,Total,Total,Number,2006,0,3
,WORLD,Unconventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,138.4499969482422
Sweden,SWE,Coal-to-gas,Patents,Detail,Processing downstream,Number,2006,0,2
Singapore,SGP,Upstream,Patents,Total,Total,Number,2006,0,2.5
Great Britain,GBN,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2006,0,9.25
Israel,ISR,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2006,0,2
,WORLD,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,67
Hong Kong,HKG,Building energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,6
Saudi Arabia,SAU,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,3.3299999237060547
Great Britain,GBN,Air - rail - marine,Patents,Detail,Clean Energy,Number,2006,0,56.310001373291016
Russian Federation,RUS,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2006,0,9.380000114440918
Mexico,MEX,Clean energy patents,Patents,Total,Total,Number,2006,0,6.570000171661377
France,FRA,Oil refining,Patents,Detail,Processing downstream,Number,2006,0,46.83000183105469
United States,USA,Grid,Patents,Detail,Clean Energy,Number,2006,0,20.1200008392334
Switzerland,CHE,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2006,0,0.6700000166893005
Chinese Taipei,TWN,Fossil fuel patents,Patents,Total,Total,Number,2006,0,7.380000114440918
Denmark,DNK,Coal-to-gas,Patents,Detail,Processing downstream,Number,2006,0,1
People's Republic of China,CHN,Building energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,104.08000183105469
United Kingdom,GBR,Coal-to-gas,Patents,Detail,Processing downstream,Number,2006,0,3
Germany,DEU,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2006,0,15.670000076293945
Canada,CAN,Vehicle fuel efficiency,Patents,Detail,Clean Energy,Number,2006,0,2
Singapore,SGP,Air - rail - marine,Patents,Detail,Clean Energy,Number,2006,0,4
Austria,AUT,e-Mobility,Patents,Detail,Clean Energy,Number,2006,0,6
Spain,ESP,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2006,0,10
United Kingdom,GBR,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2006,0,15
Japan,JPN,Other renewables,Patents,Detail,Clean Energy,Number,2006,0,9
Hong Kong,HKG,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2006,0,1.5
Australia,AUS,Gas conditioning,Patents,Detail,Processing downstream,Number,2006,0,0.20000000298023224
Germany,DEU,Vehicle fuel efficiency,Patents,Detail,Clean Energy,Number,2006,0,64.87000274658203
People's Republic of China,CHN,Coal-to-gas,Patents,Detail,Processing downstream,Number,2006,0,7.5
Korea,KOR,Other renewables,Patents,Detail,Clean Energy,Number,2006,0,10.25
Sweden,SWE,Vehicle fuel efficiency,Patents,Detail,Clean Energy,Number,2006,0,7
Finland,FIN,Oil refining,Patents,Detail,Processing downstream,Number,2006,0,3
Canada,CAN,Unconventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,12.720000267028809
Austria,AUT,Upstream,Patents,Total,Total,Number,2006,0,0.5
Great Britain,GBN,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2006,0,25.5
Japan,JPN,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2006,0,570.1099853515625
Chinese Taipei,TWN,Renewables,Patents,Detail,Clean Energy,Number,2006,0,2
Mexico,MEX,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2006,0,1.5700000524520874
Great Britain,GBN,Coal-to-liquids and gas-to-liquids,Patents,Detail,Processing downstream,Number,2006,0,1
Sweden,SWE,Fossil fuel patents,Patents,Total,Total,Number,2006,0,7
Belgium,BEL,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,3
India,IND,Building energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,2.509999990463257
Italy,ITA,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2006,0,38.290000915527344
Belgium,BEL,Solar,Patents,Detail,Clean Energy,Number,2006,0,3.3499999046325684
Japan,JPN,Nuclear,Patents,Detail,Clean Energy,Number,2006,0,32.29999923706055
Great Britain,GBN,Coal-to-gas,Patents,Detail,Processing downstream,Number,2006,0,3
Singapore,SGP,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,2.5
Poland,POL,Fossil fuel patents,Patents,Total,Total,Number,2006,0,1
,WORLD,Building energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,1560.4300537109375
Japan,JPN,Upstream,Patents,Total,Total,Number,2006,0,9.130000114440918
Turkiye,TUR,Transmission and distribution,Patents,Total,Total,Number,2006,0,1
Chinese Taipei,TWN,Total - all technologies,Patents,,,Number,2006,0,9241.7001953125
Canada,CAN,Total - all technologies,Patents,,,Number,2006,0,3800.639892578125
France,FRA,Total - all technologies,Patents,,,Number,2006,0,9753.7197265625
Netherlands,NLD,Total - all technologies,Patents,,,Number,2006,0,2166.469970703125
Japan,JPN,Coal and solid fuels exploration and mining,Patents,Detail,Upstream,Number,2006,0,3
Germany,DEU,Nuclear,Patents,Detail,Clean Energy,Number,2006,0,17.389999389648438
Canada,CAN,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2006,0,26.610000610351562
United States,USA,Transmission and distribution,Patents,Total,Total,Number,2006,0,49.880001068115234
Germany,DEU,Total - all technologies,Patents,,,Number,2006,0,29680.150390625
Sweden,SWE,Total - all technologies,Patents,,,Number,2006,0,3426.570068359375
Poland,POL,Grid,Patents,Detail,Clean Energy,Number,2006,0,0.6000000238418579
,WORLD,Total - all technologies,Patents,,,Number,2006,0,239170.734375
Sweden,SWE,Energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,2
Denmark,DNK,Solid fuel conditioning,Patents,Detail,Processing downstream,Number,2006,0,1
Norway,NOR,Total - all technologies,Patents,,,Number,2006,0,669.719970703125
People's Republic of China,CHN,Coal and solid fuels exploration and mining,Patents,Detail,Upstream,Number,2006,0,2
United States,USA,Total - all technologies,Patents,,,Number,2006,0,60666.48046875
Japan,JPN,Total - all technologies,Patents,,,Number,2006,0,52916.16015625
Germany,DEU,Rail solid fuels transport,Patents,Detail,Transmission distribution,Number,2006,0,1
Singapore,SGP,Total - all technologies,Patents,,,Number,2006,0,770.8099975585938
,WORLD,Rail solid fuels transport,Patents,Detail,Transmission distribution,Number,2006,0,1
India,IND,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2006,0,0.5
Korea,KOR,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2006,0,251.47000122070312
,WORLD,Wind,Patents,Detail,Clean Energy,Number,2006,0,580.9099731445312
United States,USA,Energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,19
Japan,JPN,Stationary tank storage for gases,Patents,Detail,Transmission distribution,Number,2006,0,27
France,FRA,Bioenergy,Patents,Detail,Clean Energy,Number,2006,0,31.170000076293945
,WORLD,Transmission and distribution,Patents,Total,Total,Number,2006,0,173.8800048828125
Sweden,SWE,Renewables,Patents,Detail,Clean Energy,Number,2006,0,3
Switzerland,CHE,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,0.17000000178813934
Belgium,BEL,Upstream,Patents,Total,Total,Number,2006,0,3
Spain,ESP,Upstream,Patents,Total,Total,Number,2006,0,1
Chinese Taipei,TWN,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2006,0,3
People's Republic of China,CHN,Vehicle fuel efficiency,Patents,Detail,Clean Energy,Number,2006,0,8
Germany,DEU,Gas conditioning,Patents,Detail,Processing downstream,Number,2006,0,10.5
United Kingdom,GBR,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2006,0,42.880001068115234
People's Republic of China,CHN,Solar,Patents,Detail,Clean Energy,Number,2006,0,50.16999816894531
Canada,CAN,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2006,0,3.4200000762939453
Poland,POL,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2006,0,0.800000011920929
Germany,DEU,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,32.619998931884766
Italy,ITA,Gas conditioning,Patents,Detail,Processing downstream,Number,2006,0,3.3299999237060547
Israel,ISR,Wind,Patents,Detail,Clean Energy,Number,2006,0,1
,WORLD,Gaseous fuel distribution,Patents,Detail,Transmission distribution,Number,2006,0,3
United Kingdom,GBR,Building energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,39.540000915527344
France,FRA,Energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,2
Israel,ISR,Other renewables,Patents,Detail,Clean Energy,Number,2006,0,3
Denmark,DNK,Clean energy patents,Patents,Total,Total,Number,2006,0,98.9000015258789
Canada,CAN,Other renewables,Patents,Detail,Clean Energy,Number,2006,0,3
Poland,POL,Building energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,0.17000000178813934
Norway,NOR,Solar,Patents,Detail,Clean Energy,Number,2006,0,4.940000057220459
United Kingdom,GBR,e-Mobility,Patents,Detail,Clean Energy,Number,2006,0,19.920000076293945
Brazil,BRA,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2006,0,4.5
Finland,FIN,Vehicle fuel efficiency,Patents,Detail,Clean Energy,Number,2006,0,9
Italy,ITA,Oil refining,Patents,Detail,Processing downstream,Number,2006,0,9.210000038146973
Japan,JPN,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2006,0,34
Israel,ISR,Total - all technologies,Patents,,,Number,2006,0,1504.969970703125
Poland,POL,Clean energy patents,Patents,Total,Total,Number,2006,0,3.7699999809265137
Chinese Taipei,TWN,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2006,0,72.52999877929688
Switzerland,CHE,Upstream,Patents,Total,Total,Number,2006,0,0.17000000178813934
Korea,KOR,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,6
Switzerland,CHE,Oil refining,Patents,Detail,Processing downstream,Number,2006,0,5
United States,USA,Liquified gaseous fuel shipping,Patents,Detail,Transmission distribution,Number,2006,0,14.470000267028809
Chinese Taipei,TWN,Nuclear,Patents,Detail,Clean Energy,Number,2006,0,1
Germany,DEU,Clean energy patents,Patents,Total,Total,Number,2006,0,1483.4599609375
,WORLD,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2006,0,2078.909912109375
People's Republic of China,CHN,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2006,0,12
Japan,JPN,Air - rail - marine,Patents,Detail,Clean Energy,Number,2006,0,43.86000061035156
United Kingdom,GBR,Coal-to-liquids and gas-to-liquids,Patents,Detail,Processing downstream,Number,2006,0,1
United States,USA,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2006,0,28.690000534057617
Czech Republic,CZE,Fossil fuel patents,Patents,Total,Total,Number,2006,0,1
Switzerland,CHE,Fossil fuel patents,Patents,Total,Total,Number,2006,0,7
Great Britain,GBN,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2006,0,2.490000009536743
United Kingdom,GBR,Wind,Patents,Detail,Clean Energy,Number,2006,0,27.75
Poland,POL,Solid fuel conditioning,Patents,Detail,Processing downstream,Number,2006,0,1
Singapore,SGP,Vehicle fuel efficiency,Patents,Detail,Clean Energy,Number,2006,0,1
Japan,JPN,Processing and downstream,Patents,Total,Total,Number,2006,0,110.91999816894531
People's Republic of China,CHN,Energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,12
Chinese Taipei,TWN,Wind,Patents,Detail,Clean Energy,Number,2006,0,13.75
Finland,FIN,Other renewables,Patents,Detail,Clean Energy,Number,2006,0,10
Netherlands,NLD,Energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,1.5
Korea,KOR,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2006,0,3
Denmark,DNK,Other renewables,Patents,Detail,Clean Energy,Number,2006,0,1
Great Britain,GBN,Underground gaseous fuel storage,Patents,Detail,Transmission distribution,Number,2006,0,1
Germany,DEU,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2006,0,69.16999816894531
Germany,DEU,Energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,12
People's Republic of China,CHN,Oil refining,Patents,Detail,Processing downstream,Number,2006,0,42.79999923706055
Denmark,DNK,Oil refining,Patents,Detail,Processing downstream,Number,2006,0,1.5
Japan,JPN,Gaseous fuel distribution,Patents,Detail,Transmission distribution,Number,2006,0,1
Mexico,MEX,Processing and downstream,Patents,Total,Total,Number,2006,0,2
Sweden,SWE,Nuclear,Patents,Detail,Clean Energy,Number,2006,0,8.670000076293945
Norway,NOR,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2006,0,3
Germany,DEU,Grid,Patents,Detail,Clean Energy,Number,2006,0,24.549999237060547
Korea,KOR,Gaseous fuel distribution,Patents,Detail,Transmission distribution,Number,2006,0,1
Chinese Taipei,TWN,Bioenergy,Patents,Detail,Clean Energy,Number,2006,0,5
Turkiye,TUR,Air - rail - marine,Patents,Detail,Clean Energy,Number,2006,0,1
France,FRA,Gas conditioning,Patents,Detail,Processing downstream,Number,2006,0,7.25
Brazil,BRA,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2006,0,1
Austria,AUT,Vehicle fuel efficiency,Patents,Detail,Clean Energy,Number,2006,0,1.3300000429153442
Spain,ESP,Unconventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,1
Israel,ISR,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2006,0,20.149999618530273
Sweden,SWE,Building energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,17.5
Switzerland,CHE,Processing and downstream,Patents,Total,Total,Number,2006,0,6.829999923706055
Japan,JPN,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2006,0,12.75
France,FRA,Nuclear,Patents,Detail,Clean Energy,Number,2006,0,30.700000762939453
Australia,AUS,e-Mobility,Patents,Detail,Clean Energy,Number,2006,0,0.33000001311302185
People's Republic of China,CHN,Clean energy patents,Patents,Total,Total,Number,2006,0,506.2200012207031
Spain,ESP,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2006,0,0.5
Israel,ISR,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2006,0,7
Canada,CAN,Coal-to-gas,Patents,Detail,Processing downstream,Number,2006,0,0.25
Saudi Arabia,SAU,Unconventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2006,0,1
Turkiye,TUR,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2006,0,1.2000000476837158
Israel,ISR,Processing and downstream,Patents,Total,Total,Number,2006,0,3.1700000762939453
People's Republic of China,CHN,Other renewables,Patents,Detail,Clean Energy,Number,2006,0,7
Saudi Arabia,SAU,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2006,0,2
Australia,AUS,Total - all technologies,Patents,,,Number,2006,0,909.72998046875
United States,USA,Bioenergy,Patents,Detail,Clean Energy,Number,2006,0,107
United States,USA,Wind,Patents,Detail,Clean Energy,Number,2006,0,74.12000274658203
Hong Kong,HKG,Total - all technologies,Patents,,,Number,2006,0,406.1600036621094
Saudi Arabia,SAU,Total - all technologies,Patents,,,Number,2006,0,29.420000076293945
Netherlands,NLD,Building energy efficiency,Patents,Detail,Clean Energy,Number,2006,0,13.399999618530273
France,FRA,Coal-to-gas,Patents,Detail,Processing downstream,Number,2006,0,8.25
Netherlands,NLD,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2006,0,9
France,FRA,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2006,0,28.030000686645508
Ireland,IRL,Wind,Patents,Detail,Clean Energy,Number,2006,0,1
Sweden,SWE,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2006,0,14.5
Germany,DEU,e-Mobility,Patents,Detail,Clean Energy,Number,2006,0,182.64999389648438
