Country,Country Code,Source NC#,Year,Policy Name,Policy Description,Objective and/or Activity Affected,Relevance for Electricity Generation,GHG Affected,Printed Page Number,Format,Additional Comments,Link
Canada,CAN,NC5,2007,Tax incentives,"Canada provides two tax incentives to promote investment in clean energy generation equipment that uses renewable energy, energy from waste (e.g. landfill gas, wood waste), or fossil fuels in a highly efficient manner. Accelerated capital cost allowance (CCA) is provided for such investments under CCA Class 43.2 and the Canadian Renewable and Conservation Expense provision allows certain intangible start-up expenses associated with Class 43.2 projects to be deducted in full in the year incurred or transferred to investors using flow-through shares.",Promote clear electricity generation,unclear,CO2,46,text,date unclear,
Canada,CAN,NC5,,Raise energy efficiency standards,"A regulatory agenda ($32 million), under the authority of the Energy Efficiency Act, will introduce or raise energy efficiency standards for a wide range of energy-using products. As a result, 80 percent of the energy used in homes and businesses will soon be regulated. Stricter regulations mean that, over time, inefficient products will disappear from the marketplace.",Improve energy efficiency and lower GHG,unclear,CO2,46,text,planned,
Canada,CAN,NC5,2007,ecoENERGY for Buildings and Houses,"The program is investing $60 million over four years to encourage the construction and operation of more energyefficient buildings and houses through a range of complementary activities such as rating, labeling and training.
",Encourage the construction and operation of more energyefficient buildings and houses,unclear,CO2,45,text,,
Canada,CAN,NC5,2007,ecoENERGY for Industry,"The program is investing $18 million over four years to encourage informationsharing on new technologies and best practices in energy use, as well as training and specialized assessments for energy managers to identify and implement energy-saving projects. The program is an industry-government partnership delivered through the Canadian Industry Program for Energy Conservation (CIPEC). CIPEC encourages industrial energy efficiencyimprovements and reductions in GHG emissions through a number of voluntary activities.
",Encourage industrial energy efficiency improvements and reductions in GHG emissions through a number of voluntary activities.,unclear,CO2,46,text,,
Canada,CAN,NC7,2007,ecoENERGY for Renewable Power Program,"The program offers an incentive of 1¢ per kilowatt-hour of electricity produced over a period of ten years from a qualifying low-impact renewable energy project built before March 31, 2011.
The program is investing $1.46 billion to provide incentives to provide incentives to increase Canada’s supply of clean electricity from renewable sources such as wind, biomass, low impact hydro, geothermal, solar photovoltaic, and ocean energy. The  program will provide an incentive of 1cent/kWh for up to 10 years to qualifying projects. As of March 31, 2009, 52 contribution agreements had been signed with proponents, representing about $900 million in federal funding over 10 years and more than 2700 MW of renewable power capacity",Reduce GHG emissions by increasing renewable electricity supply in Canada,yes,CO2,94,table in NC7 and text in NC4 page 45,,
Canada,CAN,NC5,2007,ecoENERGY Technology Initiative (ecoETI) ,"The program is investing $230 million over five years (2007-12) in the research, development and demonstration of clean transformational energy technologies and systems. Given the longer term nature of the projects supported by the ecoETI program, the investment is expected to lead to reductions in
greenhouse gas emissions in the post-2012 period. The Initiative is directed towards increasing clean energy supplies, reducing energy waste and reducing pollution from conventional energy.","Reduce GHG by increasing clean energy supplies, reducing energy waste and reducing pollution from conventional energy",yes,CO2,45,text,,
Canada,CAN,NC5,2007,ecoENERGY for Renewable Heat,"The program is initiative is investing approximately $36 million over four years in incentives and industry development to support the adoption of clean renewable thermal technologies
such as solar air and solar hot water for water and space heating in buildings. The program achieves GHG reductions by encouraging individuals and organizations to use renewable solar thermal systems.",GHG reductions by encouraging individuals and organizations to use renewable solar thermal systems,yes,CO2,45,text,,
Canada,CAN,NC7,2007,SaskPower Electricity Initiatives,"SaskPower has set a target of 50% generation capacity from renewables by 2030, doubling the percentage of renewables in the supply mix in 15 years. Meeting this target will significantly reduce greenhouse gas emissions—about 40% below 2005 levels in 2030. This will include the addition of 60 megawatts of solar generation by 2021 and up to 1,600 megawatts from wind by 2030. These reductions will also be met through carbon capture and storage (CCS) technology. In the fall of 2014, Boundary Dam Unit 3 became the first power station in the world to successfully use CCS technology. The facility produces 115 megawatts of power and is capable of capturing approximately 1 million tonnes of CO_{2} per year.","Reduce GHG
emissions
from electricity
generation and
enhance supply of
renewables",yes,CO2,95,table,,
Canada,CAN,NC5,2011,Phase-out of CCA,"In Budget 2007, the Government of Canada announced the phase-out of the accelerated capital cost allowance (CCA) for general investment
in oil sands projects over the 2011-2015 period.
This provision provides a financial benefit by deferring taxation until the cost of capital assets
has been recovered out of project earnings. Removal of the incentive will improve fairness and
neutrality among the oil sands and other sectors",,unclear,CO2,46,text,,
Canada,CAN,NC5,,EcoAction Community Funding Program,"Environment Canada’s EcoAction Community Funding
Program provides financial support to non-profit community groups for projects that produce measurable, positive impacts on the environment. EcoAction encourages action focus projects that will protect, rehabilitate or enhance the environment, and build the capacity of communities and individuals to sustain these activities into the future. The program supports projects
that reflect Environment Canada priorities: reduction
of greenhouse gas emissions, improvements in air and
water quality and protection of species and their habitat.
Clean renewable energy projects could potentially be
eligible for funding under EcoAction’s climate change
category. For example, the Halton Solar project will
conduct 150 home energy audits and install a minimum
of 50 solar panel systems. The Halton Environmental Network will also provide education and outreach to
homeowners in Halton Region on the benefits of solar
panel installations.
Eligible recipients for program funding include nonprofit, non-government organizations. Recipients must
secure 50% matching funds from non-government
sources. Maximum EcoAction contribution is $100,000
per project for a maximum duration of 2 years. Projects
must produce measurable environmental results.",,unclear,CO2,47,text,,
Canada,CAN,NC6,2010,Renewable Fuels Regulations,"Canada’s national Renewable Fuels Regulations require petroleum fuels producers and importers to have an average 5% renewable fuel content for gasoline (as of December 15, 2010), and 2% renewable fuel content in diesel fuel (as of July 1, 2011).",,yes,CO2,58,text,,
Canada,CAN,NC6,2012,Reduction of Carbon Dioxide Emissions from Coal-fired Generation of Electricity Regulations,"Canada’s electricity sector is already one of the cleanest
in the world, and the Government of Canada has taken
steps to make it even cleaner by introducing a tough
new regulatory performance standard for coal-fired
electricity generation. On September 12, 2012, the
Government of Canada published in final form the
Reduction of Carbon Dioxide Emissions from Coal-fired
Generation of Electricity Regulations. The Regulations
apply a stringent emissions intensity limit (performance
standard) to new coal-fired electricity generation units
and to old units that have reached the end of their
useful life. The Regulations will ensure that coal-fired
electricity generation in Canada operates as cleanly as
high efficiency natural gas-fired electricity generation
and that no new high-emitting coal-fired electricity
units will be built in Canada.
Under the Regulations, the performance standard is
set at the emissions intensity level of 420 tonnes
CO2
/gigawatt hours (GWh). The standard will address
emissions of CO2
 from the combustion of coal, coal
derivatives (e.g., syngas) and petroleum coke (petcoke),
and from all fuels burned in conjunction with any of
the preceding fuel, except for biomass. The Regulations
also contain flexibilities to maintain the integrity
of the electricity system while still achieving the
environmental objective of emission reductions. The performance standard provisions of the
Regulations come into force on July 1, 2015. Any new
units commissioned after that date will need to meet
the performance standard. In 2020, the first old units
will be subject to the performance standard, resulting,
in that year, in an estimated emissions reduction of 3 megatonnes (Mt) CO2
 eq. The Regulations, in
addition to other measures and commitments made
by industry and provinces, particularly Ontario’s
mandated cessation of coal-fired electricity generation
by the end of 2014, are projected to reduce emissions
of carbon dioxide from this sector by 41 Mt below
2005 levels by 2020. This constitutes a 33% reduction
in GHG emissions from electricity generation for
the year 2020. Significant further reductions will
occur in subsequent years. Over the first 21 years, the
Regulations are expected to result in a cumulative
reduction of about 214 Mt of GHGs, equivalent to
removing some 2.6 million personal vehicles from
the road per year over this period. In addition to
contributing to Canada’s climate change objectives,
this measure will help improve air quality for
Canadians.",,yes,CO2,58,text,,
Canada,CAN,NC7,2007,Ontario Coal Phase-Out,"By April 2014, coal-fired electricity was successfully eliminated from all Ontario Power Generation stations—19 generating units in total. More than 90 per cent of the power generated in
Ontario now comes from clean energy sources such as water power, nuclear and renewables. Ontario passed the Ending Coal for Cleaner Air Act in 2015 to permanently ban coal-fired
electricity generation in the province—a first in North America and a significant step in the fight against climate change. Ontario estimated emissions reductions in the electricity sector include
Ontario Coal Phase-Out, Feed-in-Tariff program and other energy efficiency measures in the electricity sector.","Eliminate coal-fired electricity
generation and the
associated GHG
emissions",yes,CO2,96,table,,
Canada,CAN,NC7,2007,Northwest Territories Arctic Energy Alliance,"The Arctic Energy Alliance, a non-profit organization, provides free information, advice, incentives and answers to questions from residents of the Northwest Territories on energy efficiency and hosts annual Energy Actions Awards. The Arctic Energy Alliance also conducts energy audits to educate residents on how to reduce home energy consumption.","Educate, raise
awareness and help
residents adopt
energy saving
practices",unclear,CO2,99,table,,
Canada,CAN,NC7,2007,British Columbia Carbon Neutral Government Program and Carbon Neutral Capital Program,"The Greenhouse Gas Reduction Targets Act required the provincial government, including provincial ministries and agencies, schools, colleges, universities, health authorities and Crown
corporations, to become carbon neutral by 2010 and to make public a report every year detailing actions taken towards carbon neutrality. The province has since announced that it achieved its
fifth year of carbon neutrality in 2015. Since 2010, British Columbia has reduced emissions from the public sector by approximately 1.5% per year.","Achieve carbon
neutrality in
government
operations",no,CO2,86,table,,
Canada,CAN,NC7,2007,Alberta Specified Gas Emitters Regulation,"Alberta’s Specified Gas Emitters Regulation (SGER) requires facilities that emit 100,000 tonnes of CO eq or more annually to reduce their emissions intensity by 20% from a facility-specific 2
baseline based on past emissions and production. Regulated facilities have four compliance options: improve the GHG intensity of their operations; buy emissions performance credits from
other regulated facilities that achieve reductions beyond their requirement; buy Alberta-based offsets; or pay $30 per tonne of CO eq to the Climate Change and Emissions Management 2
Fund. As of 2013, the regulation covers 108 facilities from 15 industrial sectors (about half of Alberta’s GHG emissions). The regulation will be replaced by the Alberta Carbon Competitiveness
Regulation on January 1, 2018.",Reduce the emissions intensity of large emitters,no,All,87,table,,
Canada,CAN,NC7,2008,British Columbia Carbon Tax,"This tax applies to virtually all fossil fuels, including: gasoline, diesel, natural gas, coal, propane, and home heating fuel. The carbon tax started at a rate based on $10 per tonne of associated
carbon or carbon-equivalent emissions, and is currently set at $30/tonne CO e. British Columbia’s carbon tax will increase by $5 per tonne per year starting April 1, 2018 until it reaches 2
$50/tn. B.C. will take measures to expand carbon pricing to include fugitive emissions and emissions from slash pile burning.",Reduce GHG emissions from fossil fuel use,unclear,"CO2, CH4
NO2, HFCs, PFCs, SF6",86,table,,
Canada,CAN,NC7,2008,British Columbia Innovative Clean Energy Fund,"The Innovative Clean Energy Fund is funded through a levy on energy sales, designed to support the Province’s energy, economic, environmental and greenhouse gas reduction priorities, to
advance BC’s clean energy sector. In April 2016, the Province announced $1.4 million from the Innovative Clean Energy Fund for a suite of programs to help homeowners reduce energy bills
and greenhouse gas emissions, and to support training in the construction of high performance, energy efficient homes.",Support advancement of clean energy technologies,unclear,CO2,86,table,,
Canada,CAN,NC7,2008,Alberta Carbon Capture and Storage Funding Act,"This legislation, adopted in 2008, enables Alberta to administer funding to support large-scale carbon capture and storage projects. Two large-scale carbon capture and storage demonstration
projects currently under development will capture CO_{2} from upgrader facilities: the Quest project and the Alberta Carbon Trunk Line project. Beginning in 2015, the Quest project is expected to
capture and store over 1MT CO_{2} per year from Shell’s Scotford Oil Sands Upgrader. In addition, the ACTL project will collect CO_{2} from the North West Redwater Oil Sands Upgrader which will
then be sold for injection into mature oil fields, after which it will be permanently stored. This project is expected to capture up to 1.2 MT of CO_{2} per year. To date, the Government of Alberta has
invested $1.3 billion in CCS technologies. The 2020 estimate of mitigation impact is also included under the Specified Gas Emitters Regulation.",Enable government support for carbon capture and storage projects,no,CO2,87,table,,
Canada,CAN,NC7,2008,Québec Heavy Fuel Oil Use Reduction Program,"This program, run by the Agence de l’efficacité énergétique du Québec, allows consumers of heavy fuel oil to make the transition to sustainable development and to improve their
competitiveness by reducing consumption. Financial assistance is available for the implementation of analyses and energy efficiency measures involving heavy fuel oil and for the conversion to
less polluting energy sources, such as natural gas and forest biomass.","Reduce GHG
emissions",unclear,CO2,91,table,,
Canada,CAN,NC7,2008,Québec Regulation Respecting Halocarbons,"The purpose of this regulation is to reduce halocarbon emissions into the atmosphere to ensure that the ozone layer is protected and to minimize the increase in the greenhouse effect
connected with the human-source emissions of certain other halocarbons. This regulation is under review.",Reduce halocarbon emissions,no,HFCs,91,table,,
Canada,CAN,NC7,2009,Ontario Feed-In Tariff Program and Large Renewable Procurement,"Ontario’s Feed-in Tariff was launched in 2009 and allows homeowners, communities, business owners and private developers to generate renewable energy and sell it to the province at a
guaranteed price for a fixed contract term. As of March 31, 2017, over 3,500 MW of renewable energy has been brought online under the program. Ontario estimated emissions reductions in
the electricity sector include Ontario Coal Phase-Out, Feed-in-Tariff program and other energy efficiency measures in the electricity sector.","Support the
development of
renewable and clean
energy sources",yes,CO2,96,table,,
Canada,CAN,NC7,2010,British Columbia Clean Energy Act: Clean or Renewable Electricity Requirement,"British Columbia (B.C.) is in the process of creating a roadmap for the future of B.C. energy that will drive innovation, expand energy‐efficiency and conservation programs, generate new energy
responsibly and sustainably, and create lasting good jobs across the province. British Columbia continued to exceed its target of 93% clean electricity. B.C. amended the Greenhouse Gas
Reduction (Clean Energy) Regulation to support the development of additional transmission infrastructure in northeast B.C. to provide clean electricity to meet increasing demand from the
upstream natural‐gas sector.",Maintain low carbon electricity supply,yes,"CO2, CH4",95,table,,
Canada,CAN,NC7,2010,British Columbia Clean Energy Act: Demand Side Management,"British Columbia (B.C.) amended the Greenhouse Gas Reduction (Clean Energy) Regulation to allow utilities to take demand‐side measures to encourage customers to switch from higher‐
emission fuels to clean electricity. The provincial electricity utility B.C. Hydro is required to meet 66% of its forecasted incremental electricity demand through demand side management. B.C.
also amended the Demand‐Side Measures Regulation to allow utilities to double energy efficiency programs for natural gas‐fired equipment.",Reduce electricity demand growth,yes,CO2,95,table,,
Canada,CAN,NC7,2012,Manitoba Biomass Energy Support Program,"This program provides support in the transition to the processing and use of biomass for heating in place of coal. The program will provide financial support for capital and/or infrastructure
upgrades that are required to effectively manufacture or consume biomass fuel, including expansion of existing facilities or development of new capacity.",Support coal users switch from coal to biomass,yes,CO2,96,table,,
Canada,CAN,NC7,2012,Yukon Government Sector Specific Targets,"The Yukon government has asset a variety of GHG reduction targets in the buildings, transportation, electricity, and industrial sectors. In addition, in 2009 the government pledged to reduce
GHG emissions by 20 per cent by 2015 (based on 2010 levels) and to work towards becoming carbon neutral by 2020.",Minimize growth in overall Yukon emissions,yes,CO2,92,table,,
Canada,CAN,NC7,2013,Manitoba Emissions Tax on Coal and Petroleum Coke Act,"The Act establishes an emissions tax on the use of petroleum coke in industrial facilities. Funds from Manitoba’s emissions tax on coal are redirected to support the transition from coal to
biomass. Manitoba plans to phase out its last remaining coal facility in Brandon, Manitoba by 2019. Manitoba’s Coal Fired Emergency Operations Regulation, introduced in 2009, restricts
Manitoba Hydro’s use of coal to generate power in emergency operations.","Reduce GHG
emissions from coal
and petroleum coke",yes,CO2,95,table,,
Canada,CAN,NC7,2013,Manitoba Coal and Petroleum Coke Heating Ban Regulation,"Manitoba banned the use of petroleum coke for space heating in December, 2012.",Reduce GHG emissions from coal and petroleum coke,yes,CO2,96,table,,
Canada,CAN,NC7,2013,Québec Technoclimat Program,"The Technoclimat program promotes the development of new technology or innovative processes in the areas of energy efficiency, emerging energy and GHG emissions reduction by providing
financial support to project proponents at various stages of the innovation chain. The main objective of the program is to support R&D, demonstration, measurement, pre-commercialization
and dissemination.",Develop new innovative technologies or processes in the areas of energy efficiency,no,All,90,table,,
Canada,CAN,NC7,2013,Québec’s Cap-and-Trade System for Greenhouse Gas Emission Allowances*,"In 2013, the Québec government replaced its carbon levy with a cap and trade system that has been linked with California’s system since 2014. During the first two years of the program,
industrial emitters and electricity producers were covered. In 2015, the Québec government terminated its carbon levy, when fuel distributers became covered by the cap and trade system. By
the end of 2017, Québec and California will have held a total of thirteen joint auctions of GHG emission allowances. Ontario is also committed to join, and by 2018, the three governments are
expected to have completed the necessary steps to link their cap and trade systems.","Reduce GHG
emissions across
the economy",unclear,All,90,table,,
Canada,CAN,NC7,2013,Québec EcoPerformance Program*,"This program is centered on three components: the EcoPerfomance Buildings program which encourages exoergic residential renovation and heating system conversions intended to reduce the
energy use and greenhouse gas emissions of Québec homes; the EcoPerformance Halocarbons program to promote substituting refrigerants with substances that have a lower global-warming
power; and the EcoPerformance Industrial program which seeks to reduce greenhouse gas emissions and energy use in the industrial sector by funding projects or measures connected with
energy use and production, as well as with process improvement.","Reduce GHG
emissions",no,"CO2, HFCs",91,table,,
Canada,CAN,NC7,2014,Ontario Supporting Biomass Heat Project,"This project involves multiple ministries working on improving the business and policy environment for biomass heating in Ontario. Activities focus on enabling policy, investment and market
development, outreach, and research and innovation. The project is expected to result in increased use of high-efficiency renewable biomass heating in commercial/institutional and residential
applications, offsetting fossil fuel use.","Reduce GHG
emissions from
residential and
commercial/
institutional heating",yes,"CO2, CH4, NO2",97,table,,
Canada,CAN,NC7,2014,New Brunswick Electricity Act Renewable Portfolio Standard Regulation,"The Electricity from Renewable Resources Regulation requires 40% of electricity supply to be from renewable sources by 2020, consistent with the Energy Blueprint Policy. By 2020,
75 percent of New Brunswick’s electricity demand will be met by non-emitting or renewable sources.","Achieve 40% of
renewable energy
for electricity",yes,CO2,97,table,,
Canada,CAN,NC7,2014,Nova Scotia Electricity Efficiency Regulations,"Nova Scotia created Canada’s first energy efficiency utility, Efficiency Nova Scotia. Since its creation, this independent organization has achieved annual reductions of 1.2 per cent below
the business as usual baseline. It also administers comprehensive energy efficiency programs for low income and First Nations Nova Scotians. The Electricity Efficiency and Conservation
Restructuring Act (2014) requires Nova Scotia Power to purchase efficiency resources whenever they are lower cost than producing power. Efficiency resources are provided by Efficiency Nova
Scotia for commercial, industrial, and residential consumers. Targets for electricity efficiency are guided by a periodic Integrated Resource Plan required by the Utility Board. GHG reductions
achieved through electricity efficiency are included in the GHG reduction estimates provided for the Nova Scotia Greenhouse Gas Emissions Regulations.","Use energy more
efficiently",yes,CO2,97,table,,
Canada,CAN,NC7,2014,Yukon Microgeneration Policy,"To assist small scale power producers, the Government of Yukon’s Microgeneration Policy enables individuals and businesses to install electrical generating systems and connect them to the
grid. The electricity generated is consumed on site and any surplus can be sold into the grid. Since it was announced in October 2013, 12 microgeneration systems have been installed which
are expected to generate 41,000 kWh per year.","Reduce diesel
consumption for
electricity and heat
generation",yes,"CO2, CH4 ,
N2O",99,table,,
Canada,CAN,NC7,2014,Yukon Energy Corporation/ATCO Electric InCharge Program,"Yukon Energy Corporation and ATCO introduced InCharge in 2014 to promote a culture of electricity conservation in Yukon’s residential sector. The initiative consists of three programs; the
LED and Automotive Heater Timer Rebate Program, the Low Cost Energy Efficient Products Program and an Engagement, Education and Communication Program. The anticipated annual net
savings with transmission and distribution losses is expected to reach 2,644 MWh by 2018.","Reduce GHG
emissions from
fossil fuel electricity
generation",yes,CO2,99,table,,
Canada,CAN,NC7,2014,Carbon Capture and Storage Investment in Canada’s Federal Budget 2008,"As part of Budget 2008, a one-time allocation of $240 million was given towards the SaskPower Boundary Dam carbon capture and storage project which will capture and store up to 1,000 kt
CO_{2} per year from 2014 onwards for the life of the plant.","Support the
SaskPower
Boundary Dam
clean energy
technology project",no,CO2,84,table,,
Canada,CAN,NC7,2014,Saskatchewan SaskPower Demonstration and Implementation of Carbon Capture Technology,"With funding support from the federal government, Saskatchewan has invested upwards of $17 million in capture and storage projects and projects that reduce flaring. Together with industry
and government partners, it has several capture and storage projects underway, including the Aquistore project and the Carbon Capture Test Facility. The Weyburn-Midale project is the largest
capture and storage demonstration site in the world. Saskatchewan is continuing to fund research related to the Weyburn reservoir through the Saskatchewan CO Oilfield Use for Storage 2
and EOR Research Project. Saskatchewan has implemented the approximately $1.35 billion, 115 megawatt project at Boundary Dam, with a $240 million federal government contribution. The
Boundary Dam facility began commercial operation in October 2014 and is expected to capture up to 1MT of CO per year, reducing emissions by 7.2 per cent from 2002 levels. These emission 2
reductions are not listed to avoid double counting since the Boundary Dam emission reductions are listed by the federal government. Saskatchewan has been injecting carbon dioxide into the
subsurface since 1984.",Reduce GHG emissions from coal energy,no,CO2,88,table,,
Canada,CAN,NC7,2014,New Brunswick’s Air Quality Regulations,"This sets the context for all industrial sectors operating in the province and includes a strong industrial approvals program which generally incorporates facility level emission caps, as well as
monitoring and reporting programs.",To limit GHG emissions from industrial sectors,no,CO2,91,table,,
Canada,CAN,NC7,2015,Reduction of CO2 Emissions from the Coal-Fired Generation of Electricity Regulations,"Regulations under the Canadian Environmental Protection Act, 1999 apply a performance standard to new coal-fired electricity generation units and to existing units once they reach a defined period of operating life (generally 50 years). The performance standard of 420 tonnes of CO2 per gigawatt hour came into force July 1, 2015. The regulations are projected to result in a net reduction of approximately 214 Mt CO eq of GHG over the period 2015–2035. The Government of Canada announced its intention to amend these regulations to accelerate action and phase 2 out traditional coal-fired electricity generation by December 31, 2029. In early 2018, the Government of Canada will publish draft amendments for coal-fired electricity generation for public comment, with final amendments targeted for publication by December 2018.",Reduce GHG emissions from coal-fired electricity generation,yes,CO2,93,table,,
Canada,CAN,NC7,2015,Ontario Industrial Climate Change Action Plan Programs,"Ontario will help Ontario businesses and industries increase their use of low-carbon technologies. Programs and services, such as the Target GHG Program, Green Ontario Fund, and low-carbon
technology accelerators, will be designed and delivered by the green bank to help reduce greenhouse gas pollution while also reducing costs.","Increase the uptake
of low-carbon
technologies in the
industrial emissions
sector",no,CO2,89,table,,
Canada,CAN,NC7,2016,Energy Innovation Program,"This initiative provides ongoing funding for core clean energy technology research, development and small-scale demonstration to meet Canada’s climate change objectives. In the near-term,
the program will focus on technologies with the potential for replication and adoption prior to 2030 in buildings, electricity, transportation and industry. The program indirectly supports emission
reductions across all of these sectors, with potential reductions of 10,000–16,000 kt in 2030.","Achieve
environmental
benefits from
technology and/or
new policies, codes
and standards",no,"CO2, CH4, N2O",84,table,,
Canada,CAN,NC7,2016,British Columbia GHG Emission Control Regulation,"The Greenhouse Gas Emission Control Regulation establishes the infrastructure and requirements for issuing emission offset units and funded units. These are the foundational elements that
enable compliance with the performance standards listed within a Schedule to the Act. The Regulation also establishes the BC Carbon Registry, which enables the electronic issuance, transfer
and retirement of compliance units (emission offset units, funded units and earned credits). BC’s GHG Industrial Reporting and Control Act, and associated regulations such as this one, apply
carbon pricing requirements to LNG and coal-fired electricity generation (in addition to the provincial carbon tax).","Reduce GHG
emissions",unclear,"CO2, CH4",86,table,,
Canada,CAN,NC7,2016,Federal Clean Fuel Standard,"In November 2016 the Government of Canada
announced that it would consult with provinces and
territories, Indigenous Peoples, industries, and nongovernmental organizations to develop a Clean Fuel
Standard to reduce Canada’s GHGs through the
increased use of lower carbon fuels and alternative
technologies. The objective of the Clean Fuel Standard
is to achieve 30 megatonnes of annual reductions in
GHG emissions by 2030.
Following this announcement, in February 2017 Canada
published a discussion paper to inform development of a
Clean Fuel Standard to reduce lifecycle emissions from
fuels used in transportation, buildings and industry. A
draft regulatory framework was published in December
2017 to inform further consultations ahead of formal
publication of proposed regulations in mid-2018. The
final regulations will be published in 2019. The coming
into force date is still under consideration. ",,unclear,CO2,63-64,text,,
Canada,CAN,NC7,2017,Alberta Renewable Electricity Program,"The Renewable Electricity Program is intended to encourage development of 5,000 megawatts of renewable electricity capacity connected to the Alberta grid system by 2030. The program will
be run through a series of competitions to incent the development of renewable electricity generation through the purchase of renewable attributes.",Increase renewable energy capacity,yes,CO2,94,table,,
Canada,CAN,NC7,2017,Prince Edward Island- New Brunswick Cable Interconnection Upgrade Project,"Prince Edward Island (PEI) completed a cable interconnection upgrade within the Northumberland Strait, between the provinces of Prince Edward Island and New Brunswick. Two 180 MW
cables will help meet the growing demand for electricity on PEI, deliver reliable, long-term energy for Islanders, and help balance the intermittent nature of growing wind energy supply.","Deliver reliable,
long-term energy,
and balance the
growing wind
energy supply",yes,CO2,98,table,,
Canada,CAN,NC7,2017,Low Carbon Economy Fund,"Launched in June 2017, the Government of Canada’s Low Carbon Economy Fund (LCEF) is an important part of the Pan-Canadian Framework. Disbursed over five years, the Low Carbon
Economy Fund will primarily target energy efficiency measures in residential and commercial buildings, energy efficiency, fuel switching or process changes in the industrial sector, and carbon
sequestration and emission reductions in the forestry and agriculture sectors.
Funding has been divided into two envelopes:
• The Low Carbon Economy Leadership Fund will
provide $1.4 billion to provinces and territories
that have adopted the Framework. The federal
government is working with provinces and territories
to support priority actions and will put in place
funding agreements with eligible jurisdictions so they
can undertake action starting in early 2018.
• The remainder of the funding will be available
for the Low Carbon Economy Challenge and for
implementing the Pan-Canadian Framework.
Funded projects under the Challenge will leverage
ingenuity across the country to reduce GHGs and
generate clean grown in support of the Pan-Canadian
Framework. Projects submitted by provinces and
territories, municipalities, Indigenous governments
and organizations, and both not-for-profit and forprofit organizations will be considered, with a focus
on those projects that best reduce GHG emissions and
generate clean growth.","Reduction of GHG
emissions in sectors
across Canada",no,CO2,83,table,planned,
Canada,CAN,NC7,2017,Alberta Carbon Pricing system,"Alberta’s carbon pricing system has two components: a carbon levy, and a carbon competitiveness system. The carbon levy on heating and transport fuels, starting at $20 per tonne of carbon
dioxide equivalent in 2017, will rise to $30 in 2018. Revenue raised through the carbon levy will fund investments in green infrastructure, energy efficiency, renewable energy, bioenergy, and
innovation and technology. The Government of Alberta will offer rebates in order to offset the increased costs of the carbon levy for low- and middle-income households. In total, 60% of Alberta
households will be eligible for the full rebate and 66% of households will receive either a full or partial rebate.
The system also includes the recently announced carbon competitiveness system which will replace the current Specified Gas Emitters Regulation in January 2018. This system will use
an output-based emission allocations approach for emissions-intensive, trade-exposed industries. Any facility that emits 100,000 tonnes or more of GHGs will be included in the new GHG
management system. Under the output-based allocation system, a facility will receive performance credits if their greenhouse gas emissions are less than the amount freely permitted. If their
emissions are above the amount freely permitted, they will be required take several actions to bring the facility into compliance. This new system is expected to cut emissions by 20 million
tonnes by 2020, and 50 million tonnes by 2030.","Reduce GHG
emissions",unclear,All,87,table,,
Canada,CAN,NC7,2017,Ontario Low Carbon Natural Gas,"Ontario will introduce a renewable content requirement for natural gas and provide supports to achieve encourage the use of cleaner, renewable natural gas in industrial, transportation and
buildings sectors. The goal is to ensure the lowest possible carbon content to help reduce building and transportation emissions.","Promote low-carbon
energy supply and
products",no,CO2,88,table,,
Canada,CAN,NC7,2017,Ontario Cap-and-Trade Program,"Ontario’s cap and trade program is now in place. It limits greenhouse gas pollution, rewards innovative companies, generates opportunities for investment in Ontario and creates jobs while
moving Ontario to a low-carbon economy. Ontario’s first quarterly auction was held on March 22, 2017. On September 22, 2017, Ontario, Québec and California signed an agreement to link their
carbon markets effective January 1, 2018.
Ontario’s cap and trade program is designed to support achievement of the province’s emission reduction target of 15% below 1990 levels by 2020. The program covers over 80% of Ontario’s
GHG emissions, including emissions from home heating and transportation fuels. Proceeds raised through the auctioning of emission allowances are used to fund initiatives that reduce or
support the reduction of GHG emissions.","Reduce GHG
emissions across
Ontario’s economy",unclear,"CO2, CH4, N2O, PFCs, HFCs, SF6, NF3",89,table,,
Canada,CAN,NC7,2018,Strategic Interconnections of Electricity Grids,"The program provides financial support to large clean electricity generation and transmission projects that can transmit clean electricity from provinces and regions with abundant renewable
energy resources to provinces and regions seeking to reduce reliance on fossil fuels for electricity generation. Negotiations on Integrated Bilateral Agreement began in fall 2017; Infrastructure
Bank to be operational in 2018.",Support large clean electricity generation and transmission projects that significantly reduce GHG emissions,yes,CO2,93,table,Planned,
Canada,CAN,NC7,2018,Smart Grid program,"The program accelerates the transition to a clean growth economy by better utilizing the existing capacity of electricity assets, increasing the penetration of renewable generation, increasing the
reliability, resiliency, and flexibility of the power system while maintaining cyber security, and reducing GHG emissions. This is a Green Infrastructure program under the Investing in Canada Plan.
The program is expected to generate reductions of 900 kt in 2030—700 kt from deployment and 200 kt from demonstration.
This demonstration and deployment program is focused
on better utilizing the existing capacity of electricity
assets, increasing penetration of renewable energy, and
increasing the reliability, resiliency and flexibility of the
power system while maintaining cyber security. Budget
2017 announced funding of $100 million over 4 years,
and the program is scheduled to launch in winter 2017. ","Support the
deployment and
demonstration
of smart grid
technologies",yes,CO2,94,table,Planned,
