"","ISO","Module","Policy","year","Value","Policytype","Policytype_detail","diff","diff_2","introduction","diff_adj","diff_2_adj","source"
"253","NOR","Cross_sectoral","RDD_Hydrogen",2005,9,"MBI","Other MBI",3,0,0,1,0,"OECD"
"254","NOR","Electricity","ETS Electricity",2005,3,"MBI","Carbon Pricing",3,3,1,1,1,"OECD"
"255","NOR","Industry","ETS Industry",2005,3,"MBI","Carbon Pricing",3,3,1,1,1,"OECD"
"256","RUS","International","Ratification of Climate Treaties",2005,7,"Other","International Co-operation",2,4,0,1,0,"OECD"
"257","SWE","Electricity","ETS Electricity",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"258","SWE","Industry","ETS Industry",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"259","USA","Cross_sectoral","RDD_Hydrogen",2005,8,"MBI","Other MBI",2,0,0,1,0,"OECD"
"260","AUS","Electricity","AirEmissionStandards",2006,7,"NMBI","Performance Standards",2,5,0,1,0,"OECD"
"261","AUS","Industry","MEPS electric motors",2006,7,"NMBI","Performance Standards",4,4,0,1,1,"OECD"
"262","AUT","Cross_sectoral","RDD_Hydrogen",2006,8,"MBI","Other MBI",3,8,0,1,0,"OECD"
"263","AUT","Electricity","ETS Electricity",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"264","AUT","Industry","ETS Industry",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"265","BEL","Electricity","ETS Electricity",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"266","BEL","Industry","ETS Industry",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"267","BRA","Buildings","Labels Appliances",2006,8,"NMBI","Information",3,3,0,1,1,"OECD"
"268","CAN","Electricity","Feed-In-Tariffs",2006,5,"MBI","Subsidy",5,5,1,1,1,"OECD"
"269","CHE","Cross_sectoral","RDD_CCS",2006,3,"MBI","Other MBI",3,3,1,1,1,"OECD"
"270","DEU","Electricity","ETS Electricity",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"271","DEU","Industry","ETS Industry",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"272","DEU","International","UNFCCC Submission",2006,3,"Other","Climate data",1,2,0,0,1,"OECD"
"273","DNK","Cross_sectoral","RDD_EnergyEfficiency",2006,6,"MBI","Other MBI",2,2,0,1,1,"OECD"
"274","DNK","Cross_sectoral","RDD_Otherstorage",2006,5,"MBI","Other MBI",3,1,0,1,0,"OECD"
"275","DNK","Electricity","ETS Electricity",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"276","DNK","Industry","ETS Industry",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"277","DNK","International","UNFCCC Submission",2006,4,"Other","Climate data",1,2,0,0,1,"OECD"
"278","ESP","Cross_sectoral","RDD_Hydrogen",2006,2,"MBI","Other MBI",2,2,1,1,1,"OECD"
"279","ESP","Electricity","ETS Electricity",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"280","ESP","Industry","ETS Industry",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"281","FIN","Cross_sectoral","RDD_Nuclear",2006,8,"MBI","Other MBI",1,2,0,0,1,"OECD"
"282","FIN","Cross_sectoral","RDD_Renewables",2006,10,"MBI","Other MBI",2,1,0,1,0,"OECD"
"283","FIN","Electricity","ETS Electricity",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"284","FIN","Industry","ETS Industry",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"285","FRA","Cross_sectoral","RDD_CCS",2006,8,"MBI","Other MBI",2,3,0,1,1,"OECD"
"286","FRA","Cross_sectoral","RDD_Renewables",2006,6,"MBI","Other MBI",1,2,0,0,1,"OECD"
"287","FRA","Electricity","ETS Electricity",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"288","FRA","Electricity","Feed-In-Tariffs",2006,5,"MBI","Subsidy",2,2,0,1,1,"OECD"
"289","FRA","Industry","ETS Industry",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"290","GBR","Buildings","BuildingEnergyCodes",2006,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD"
"291","GBR","Electricity","ETS Electricity",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"292","GBR","Industry","ETS Industry",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"293","IND","Buildings","Labels Appliances",2006,3,"NMBI","Information",3,3,1,1,1,"OECD"
"294","ISR","Industry","MEPS electric motors",2006,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD"
"295","ITA","Cross_sectoral","RDD_CCS",2006,2,"MBI","Other MBI",2,2,1,1,1,"OECD"
"296","ITA","Cross_sectoral","RDD_EnergyEfficiency",2006,5,"MBI","Other MBI",2,2,0,1,1,"OECD"
"297","ITA","Cross_sectoral","RDD_Hydrogen",2006,6,"MBI","Other MBI",6,6,1,1,1,"OECD"
"298","ITA","Electricity","AirEmissionStandards",2006,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"299","ITA","Electricity","ETS Electricity",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"300","ITA","Industry","ETS Industry",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"301","JPN","Buildings","Labels Appliances",2006,10,"NMBI","Information",10,10,1,1,1,"OECD"
"302","JPN","Cross_sectoral","RDD_CCS",2006,5,"MBI","Other MBI",5,5,1,1,1,"OECD"
"303","JPN","Cross_sectoral","RDD_Otherstorage",2006,6,"MBI","Other MBI",2,1,0,1,0,"OECD"
"304","KOR","Cross_sectoral","RDD_EnergyEfficiency",2006,7,"MBI","Other MBI",2,3,0,1,1,"OECD"
"305","KOR","Cross_sectoral","RDD_Otherstorage",2006,7,"MBI","Other MBI",3,-1,0,1,0,"OECD"
"306","KOR","International","GHG Reporting Accounting",2006,5,"Other","Climate data",5,5,1,1,1,"OECD"
"307","KOR","Transport","Labels Passenger Cars",2006,10,"NMBI","Information",10,10,1,1,1,"OECD"
"308","KOR","Transport","MEPS Transport",2006,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"309","NLD","Electricity","ETS Electricity",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"310","NLD","Industry","ETS Industry",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"311","SWE","Cross_sectoral","RDD_Renewables",2006,9,"MBI","Other MBI",3,0,0,1,0,"OECD"
"312","SWE","Electricity","ETS Electricity",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"313","SWE","Electricity","Renewable energy certificates",2006,8,"MBI","Subsidy",1,2,0,0,1,"OECD"
"314","SWE","Industry","ETS Industry",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD"
"315","SWE","Transport","Congestion Charges",2006,4,"MBI","Other MBI",4,4,1,1,1,"OECD"
"316","USA","Cross_sectoral","RDD_CCS",2006,7,"MBI","Other MBI",2,3,0,1,1,"OECD"
"317","USA","Electricity","Feed-In-Tariffs",2006,2,"MBI","Subsidy",2,2,1,1,1,"OECD"
"318","AUS","Cross_sectoral","Methane Policies",2007,2,"NMBI","Other NMBI",2,2,1,1,1,"OECD"
"319","AUS","Cross_sectoral","RDD_CCS",2007,1,"MBI","Other MBI",1,1,1,0,0,"OECD"
"320","AUS","Cross_sectoral","RDD_Renewables",2007,6,"MBI","Other MBI",1,2,0,0,1,"OECD"
"321","AUS","International","Ratification of Climate Treaties",2007,7,"Other","International Co-operation",2,2,0,1,1,"OECD"
"322","AUT","Buildings","BuildingEnergyCodes",2007,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD"
"323","AUT","Transport","Excise Tax Transport",2007,7,"MBI","Carbon Pricing",2,2,0,1,1,"OECD"
"324","BRA","Buildings","Labels Appliances",2007,10,"NMBI","Information",2,5,0,1,0,"OECD"
"325","BRA","Buildings","MEPS of appliances",2007,10,"NMBI","Performance Standards",7,7,0,1,1,"OECD"
"326","CAN","Buildings","Carbon Tax Buildings",2007,2,"MBI","Carbon Pricing",2,2,1,1,1,"OECD"
"327","CAN","Electricity","AirEmissionStandards",2007,10,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"328","CAN","Electricity","Carbon Tax Electricity",2007,1,"MBI","Carbon Pricing",1,1,1,0,0,"OECD"
"329","CAN","Electricity","ETS Electricity",2007,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"330","CAN","Electricity","Renewable energy certificates",2007,1,"MBI","Subsidy",1,1,1,0,0,"OECD"
"331","CAN","Industry","Carbon Tax Industry",2007,1,"MBI","Carbon Pricing",1,1,1,0,0,"OECD"
"332","CAN","Industry","ETS Industry",2007,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"333","CAN","Transport","Carbon Tax Transport",2007,2,"MBI","Carbon Pricing",2,2,1,1,1,"OECD"
"334","CAN","Transport","MEPS Transport",2007,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"335","CHE","Electricity","AirEmissionStandards",2007,6,"NMBI","Performance Standards",2,2,0,1,1,"OECD"
"336","CHN","Cross_sectoral","Independent Advisory Body",2007,2,"Other","Governance",2,2,1,1,1,"OECD"
"337","DNK","Transport","Investment in Rail Infrastructure",2007,4,"NMBI","Other NMBI",2,0,0,1,0,"OECD"
"338","ESP","Cross_sectoral","RDD_CCS",2007,2,"MBI","Other MBI",2,2,1,1,1,"OECD"
"339","ESP","Cross_sectoral","RDD_Otherstorage",2007,2,"MBI","Other MBI",2,2,0,1,1,"OECD"
"340","FRA","Cross_sectoral","RDD_Otherstorage",2007,4,"MBI","Other MBI",2,2,0,1,1,"OECD"
"341","FRA","Cross_sectoral","RDD_Renewables",2007,7,"MBI","Other MBI",1,2,0,0,1,"OECD"
"342","GBR","Cross_sectoral","RDD_EnergyEfficiency",2007,2,"MBI","Other MBI",1,2,0,0,1,"OECD"
"343","GBR","Cross_sectoral","RDD_Hydrogen",2007,4,"MBI","Other MBI",1,2,0,0,1,"OECD"
"344","GBR","Cross_sectoral","RDD_Renewables",2007,6,"MBI","Other MBI",1,2,0,0,1,"OECD"
"345","IND","Buildings","BuildingEnergyCodes",2007,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"346","ITA","Cross_sectoral","RDD_Renewables",2007,5,"MBI","Other MBI",2,0,0,1,0,"OECD"
"347","KOR","Industry","MEPS electric motors",2007,7,"NMBI","Performance Standards",7,7,1,1,1,"OECD"
"348","NLD","Cross_sectoral","Methane Policies",2007,2,"NMBI","Other NMBI",2,2,1,1,1,"OECD"
"349","NLD","Cross_sectoral","RDD_CCS",2007,10,"MBI","Other MBI",5,2,0,1,1,"OECD"
"350","NOR","Cross_sectoral","RDD_Renewables",2007,5,"MBI","Other MBI",2,3,0,1,1,"OECD"
"351","SWE","Electricity","Renewable energy certificates",2007,9,"MBI","Subsidy",1,2,0,0,1,"OECD"
"352","USA","Buildings","MEPS of appliances",2007,10,"NMBI","Performance Standards",2,2,0,1,1,"OECD"
"353","USA","Cross_sectoral","RDD_Renewables",2007,5,"MBI","Other MBI",3,2,0,1,1,"OECD"
"354","AUS","Cross_sectoral","Methane Policies",2008,4,"NMBI","Other NMBI",2,4,0,1,0,"OECD"
"355","AUS","Electricity","Feed-In-Tariffs",2008,2,"MBI","Subsidy",2,2,1,1,1,"OECD"
"356","AUT","Cross_sectoral","RDD_CCS",2008,3,"MBI","Other MBI",2,2,0,1,1,"OECD"
"357","AUT","Cross_sectoral","RDD_EnergyEfficiency",2008,7,"MBI","Other MBI",3,2,0,1,1,"OECD"
"358","AUT","Cross_sectoral","RDD_Hydrogen",2008,5,"MBI","Other MBI",2,-3,0,1,0,"OECD"
"359","AUT","Cross_sectoral","RDD_Otherstorage",2008,5,"MBI","Other MBI",2,1,0,1,0,"OECD"
"360","AUT","Cross_sectoral","RDD_Renewables",2008,8,"MBI","Other MBI",2,2,0,1,1,"OECD"
"361","AUT","Electricity","ETS Electricity",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"362","AUT","Industry","ETS Industry",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"363","AUT","International","GHG Reporting Accounting",2008,5,"Other","Climate data",5,5,1,1,1,"OECD"
"364","AUT","Transport","Excise Tax Transport",2008,9,"MBI","Carbon Pricing",2,4,0,1,0,"OECD"
"365","BEL","Electricity","ETS Electricity",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"366","BEL","Industry","ETS Industry",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"367","CAN","Cross_sectoral","RDD_Hydrogen",2008,10,"MBI","Other MBI",2,1,0,1,0,"OECD"
"368","CHE","Buildings","Carbon Tax Buildings",2008,4,"MBI","Carbon Pricing",4,4,1,1,1,"OECD"
"369","CHN","Buildings","Labels Appliances",2008,10,"NMBI","Information",2,2,0,1,1,"OECD"
"370","CHN","Cross_sectoral","Methane Policies",2008,6,"NMBI","Other NMBI",6,6,1,1,1,"OECD"
"371","CHN","Industry","MEPS electric motors",2008,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD"
"372","CHN","Transport","Investment in Rail Infrastructure",2008,7,"NMBI","Other NMBI",2,3,0,1,1,"OECD"
"373","DEU","Cross_sectoral","RDD_CCS",2008,2,"MBI","Other MBI",2,2,0,1,1,"OECD"
"374","DEU","Electricity","ETS Electricity",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"375","DEU","Industry","ETS Industry",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"376","DEU","International","GHG Reporting Accounting",2008,5,"Other","Climate data",5,5,1,1,1,"OECD"
"377","DNK","Buildings","BuildingEnergyCodes",2008,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD"
"378","DNK","Buildings","Carbon Tax Buildings",2008,7,"MBI","Carbon Pricing",2,3,0,1,1,"OECD"
"379","DNK","Electricity","ETS Electricity",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"380","DNK","Industry","ETS Industry",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"381","DNK","Transport","Carbon Tax Transport",2008,7,"MBI","Carbon Pricing",2,3,0,1,1,"OECD"
"382","DNK","Transport","Excise Tax Transport",2008,9,"MBI","Carbon Pricing",1,2,0,0,1,"OECD"
"383","DNK","Transport","Investment in Rail Infrastructure",2008,6,"NMBI","Other NMBI",2,4,0,1,0,"OECD"
"384","ESP","Cross_sectoral","RDD_Hydrogen",2008,4,"MBI","Other MBI",1,2,0,0,1,"OECD"
"385","ESP","Electricity","ETS Electricity",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"386","ESP","Industry","ETS Industry",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"387","ESP","International","GHG Reporting Accounting",2008,5,"Other","Climate data",5,5,1,1,1,"OECD"
"388","ESP","Transport","Excise Tax Transport",2008,6,"MBI","Carbon Pricing",1,2,0,0,1,"OECD"
"389","FIN","Electricity","ETS Electricity",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"390","FIN","Industry","ETS Industry",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"391","FIN","International","GHG Reporting Accounting",2008,5,"Other","Climate data",5,5,1,1,1,"OECD"
"392","FRA","Cross_sectoral","RDD_Otherstorage",2008,6,"MBI","Other MBI",2,4,0,1,0,"OECD"
"393","FRA","Electricity","ETS Electricity",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"394","FRA","Industry","ETS Industry",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"395","FRA","International","GHG Reporting Accounting",2008,5,"Other","Climate data",5,5,1,1,1,"OECD"
"396","GBR","Cross_sectoral","Independent Advisory Body",2008,6,"Other","Governance",6,6,1,1,1,"OECD"
"397","GBR","Cross_sectoral","RDD_EnergyEfficiency",2008,3,"MBI","Other MBI",1,2,0,0,1,"OECD"
"398","GBR","Electricity","ETS Electricity",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"399","GBR","Industry","ETS Industry",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"400","ITA","Cross_sectoral","RDD_CCS",2008,5,"MBI","Other MBI",2,3,0,1,1,"OECD"
"401","ITA","Electricity","ETS Electricity",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"402","ITA","Industry","ETS Industry",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"403","ITA","International","GHG Reporting Accounting",2008,5,"Other","Climate data",5,5,1,1,1,"OECD"
"404","JPN","Cross_sectoral","RDD_CCS",2008,6,"MBI","Other MBI",2,1,0,1,0,"OECD"
"405","KOR","Cross_sectoral","RDD_CCS",2008,8,"MBI","Other MBI",2,3,0,1,1,"OECD"
"406","KOR","Cross_sectoral","RDD_Otherstorage",2008,8,"MBI","Other MBI",2,1,0,1,0,"OECD"
"407","NLD","Electricity","ETS Electricity",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"408","NLD","Electricity","Feed-In-Tariffs",2008,5,"MBI","Subsidy",2,2,0,1,1,"OECD"
"409","NLD","Industry","ETS Industry",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"410","NLD","International","GHG Reporting Accounting",2008,5,"Other","Climate data",5,5,1,1,1,"OECD"
"411","NOR","Electricity","ETS Electricity",2008,8,"MBI","Carbon Pricing",5,5,0,1,1,"OECD"
"412","NOR","Industry","ETS Industry",2008,8,"MBI","Carbon Pricing",5,5,0,1,1,"OECD"
"413","NOR","International","GHG Reporting Accounting",2008,5,"Other","Climate data",5,5,1,1,1,"OECD"
"414","SWE","Electricity","ETS Electricity",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"415","SWE","Industry","ETS Industry",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD"
"416","SWE","International","GHG Reporting Accounting",2008,5,"Other","Climate data",5,5,1,1,1,"OECD"
"417","USA","Cross_sectoral","RDD_CCS",2008,8,"MBI","Other MBI",2,1,0,1,0,"OECD"
"418","USA","Electricity","Auction",2008,4,"MBI","Subsidy",4,4,1,1,1,"OECD"
"419","AUS","Buildings","Labels Appliances",2009,3,"NMBI","Information",3,3,1,1,1,"OECD"
"420","AUS","Buildings","MEPS of appliances",2009,10,"NMBI","Performance Standards",2,2,0,1,1,"OECD"
"421","AUS","Cross_sectoral","RDD_CCS",2009,10,"MBI","Other MBI",9,9,0,1,1,"OECD"
"422","AUS","Cross_sectoral","RDD_Renewables",2009,7,"MBI","Other MBI",2,1,0,1,0,"OECD"
"423","AUT","Buildings","MEPS of appliances",2009,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"424","AUT","Cross_sectoral","RDD_EnergyEfficiency",2009,9,"MBI","Other MBI",2,5,0,1,0,"OECD"
"425","AUT","Transport","MEPS Transport",2009,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"426","BEL","Buildings","MEPS of appliances",2009,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"427","BEL","Transport","MEPS Transport",2009,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"428","BRA","Cross_sectoral","Methane Policies",2009,4,"NMBI","Other NMBI",2,2,0,1,1,"OECD"
"429","BRA","Industry","MEPS electric motors",2009,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD"
"430","CAN","Cross_sectoral","RDD_CCS",2009,10,"MBI","Other MBI",2,3,0,1,1,"OECD"
"431","CAN","Cross_sectoral","RDD_EnergyEfficiency",2009,8,"MBI","Other MBI",2,2,0,1,1,"OECD"
"432","CAN","Cross_sectoral","RDD_Otherstorage",2009,8,"MBI","Other MBI",4,5,0,1,1,"OECD"
"433","CAN","Cross_sectoral","RDD_Renewables",2009,9,"MBI","Other MBI",2,3,0,1,1,"OECD"
"434","CAN","International","GHG Reporting Accounting",2009,5,"Other","Climate data",5,5,1,1,1,"OECD"
"435","CHE","Buildings","Carbon Tax Buildings",2009,6,"MBI","Carbon Pricing",2,6,0,1,0,"OECD"
"436","CHE","Buildings","MEPS of appliances",2009,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"437","CHE","Cross_sectoral","RDD_CCS",2009,6,"MBI","Other MBI",2,3,0,1,1,"OECD"
"438","CHN","Electricity","Feed-In-Tariffs",2009,3,"MBI","Subsidy",3,3,1,1,1,"OECD"
"439","CHN","Transport","Labels Passenger Cars",2009,10,"NMBI","Information",10,10,1,1,1,"OECD"
"440","DEU","Buildings","BuildingEnergyCodes",2009,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD"
"441","DEU","Buildings","MEPS of appliances",2009,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"442","DEU","Cross_sectoral","RDD_CCS",2009,6,"MBI","Other MBI",4,6,0,1,0,"OECD"
"443","DEU","Cross_sectoral","RDD_EnergyEfficiency",2009,5,"MBI","Other MBI",2,2,0,1,1,"OECD"
"444","DEU","Cross_sectoral","RDD_Nuclear",2009,8,"MBI","Other MBI",1,2,0,0,1,"OECD"
"445","DEU","Cross_sectoral","RDD_Otherstorage",2009,3,"MBI","Other MBI",2,1,0,1,0,"OECD"
"446","DEU","Cross_sectoral","RDD_Renewables",2009,8,"MBI","Other MBI",2,3,0,1,1,"OECD"
"447","DEU","Transport","MEPS Transport",2009,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"448","DNK","Buildings","MEPS of appliances",2009,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"449","DNK","Cross_sectoral","RDD_CCS",2009,7,"MBI","Other MBI",3,3,0,1,1,"OECD"
"450","DNK","Cross_sectoral","RDD_Otherstorage",2009,10,"MBI","Other MBI",4,4,0,1,1,"OECD"
"451","DNK","Electricity","Feed-In-Tariffs",2009,3,"MBI","Subsidy",3,3,0,1,1,"OECD"
"452","DNK","Transport","MEPS Transport",2009,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"453","ESP","Buildings","MEPS of appliances",2009,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"454","ESP","Cross_sectoral","RDD_CCS",2009,5,"MBI","Other MBI",2,3,0,1,1,"OECD"
"455","ESP","Cross_sectoral","RDD_Renewables",2009,7,"MBI","Other MBI",2,3,0,1,1,"OECD"
"456","ESP","Transport","MEPS Transport",2009,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"457","FIN","Buildings","MEPS of appliances",2009,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"458","FIN","Cross_sectoral","RDD_Nuclear",2009,8,"MBI","Other MBI",2,1,0,1,0,"OECD"
"459","FIN","Transport","MEPS Transport",2009,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"460","FRA","Buildings","MEPS of appliances",2009,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"461","FRA","Cross_sectoral","RDD_CCS",2009,10,"MBI","Other MBI",2,2,0,1,1,"OECD"
"462","FRA","Cross_sectoral","RDD_EnergyEfficiency",2009,9,"MBI","Other MBI",1,2,0,0,1,"OECD"
"463","FRA","Cross_sectoral","RDD_Otherstorage",2009,8,"MBI","Other MBI",2,4,0,1,0,"OECD"
"464","FRA","Cross_sectoral","RDD_Renewables",2009,9,"MBI","Other MBI",2,2,0,1,1,"OECD"
"465","FRA","Transport","MEPS Transport",2009,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"466","GBR","Cross_sectoral","Independent Advisory Body",2009,9,"Other","Governance",3,9,0,1,0,"OECD"
"467","GBR","Cross_sectoral","RDD_CCS",2009,7,"MBI","Other MBI",6,0,0,1,0,"OECD"
"468","GBR","Cross_sectoral","RDD_EnergyEfficiency",2009,6,"MBI","Other MBI",3,4,0,1,1,"OECD"
"469","GBR","Cross_sectoral","RDD_Renewables",2009,7,"MBI","Other MBI",3,1,0,1,0,"OECD"
"470","GBR","Transport","MEPS Transport",2009,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"471","IND","Buildings","MEPS of appliances",2009,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"472","IND","Electricity","Renewable energy certificates",2009,3,"MBI","Subsidy",3,3,1,1,1,"OECD"
"473","ISR","Electricity","Feed-In-Tariffs",2009,7,"MBI","Subsidy",7,7,1,1,1,"OECD"
"474","ITA","Buildings","MEPS of appliances",2009,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"475","ITA","Cross_sectoral","RDD_EnergyEfficiency",2009,8,"MBI","Other MBI",2,3,0,1,1,"OECD"
"476","ITA","Transport","Investment in Rail Infrastructure",2009,9,"NMBI","Other NMBI",2,2,0,1,1,"OECD"
"477","ITA","Transport","MEPS Transport",2009,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"478","JPN","Cross_sectoral","RDD_CCS",2009,9,"MBI","Other MBI",3,5,0,1,0,"OECD"
"479","JPN","Industry","MEPS electric motors",2009,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD"
"480","KOR","Cross_sectoral","RDD_Renewables",2009,9,"MBI","Other MBI",1,2,0,0,1,"OECD"
"481","NLD","Buildings","MEPS of appliances",2009,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"482","NLD","Cross_sectoral","RDD_EnergyEfficiency",2009,9,"MBI","Other MBI",2,1,0,1,0,"OECD"
"483","NLD","Transport","MEPS Transport",2009,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"484","NOR","Buildings","MEPS of appliances",2009,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"485","NOR","Cross_sectoral","RDD_EnergyEfficiency",2009,6,"MBI","Other MBI",3,3,0,1,1,"OECD"
"486","NOR","Cross_sectoral","RDD_Hydrogen",2009,9,"MBI","Other MBI",2,0,0,1,0,"OECD"
"487","NOR","Cross_sectoral","RDD_Otherstorage",2009,8,"MBI","Other MBI",5,3,0,1,1,"OECD"
"488","NOR","Cross_sectoral","RDD_Renewables",2009,10,"MBI","Other MBI",5,5,0,1,1,"OECD"
"489","NOR","Transport","MEPS Transport",2009,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"490","SWE","Buildings","Bans and Phaseouts Fossil Fuels Heating",2009,3,"NMBI","Technology Standards",3,3,1,1,1,"OECD"
"491","SWE","Buildings","MEPS of appliances",2009,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"492","SWE","Cross_sectoral","RDD_EnergyEfficiency",2009,10,"MBI","Other MBI",2,2,0,1,1,"OECD"
"493","SWE","Cross_sectoral","RDD_Nuclear",2009,5,"MBI","Other MBI",1,2,0,0,1,"OECD"
"494","SWE","Cross_sectoral","RDD_Otherstorage",2009,7,"MBI","Other MBI",2,2,0,1,1,"OECD"
"495","SWE","Cross_sectoral","RDD_Renewables",2009,10,"MBI","Other MBI",2,2,0,1,1,"OECD"
"496","SWE","Transport","MEPS Transport",2009,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"497","USA","Cross_sectoral","Methane Policies",2009,6,"NMBI","Other NMBI",2,2,0,1,1,"OECD"
"498","USA","Cross_sectoral","RDD_CCS",2009,10,"MBI","Other MBI",2,4,0,1,0,"OECD"
"499","USA","Cross_sectoral","RDD_EnergyEfficiency",2009,9,"MBI","Other MBI",4,4,0,1,1,"OECD"
"500","USA","Cross_sectoral","RDD_Otherstorage",2009,9,"MBI","Other MBI",6,6,0,1,1,"OECD"
"501","USA","Cross_sectoral","RDD_Renewables",2009,10,"MBI","Other MBI",6,5,0,1,1,"OECD"
"502","USA","Electricity","ETS Electricity",2009,4,"MBI","Carbon Pricing",4,4,1,1,1,"OECD"
