Policy,URL,Description,Source,Last updated,Learn more,Topics,Policy types,Sectors,Technologies,End uses,Country,Year,Status,Jurisdiction,country_code
Incentives for Taxi fleet decarbonisation - Notice No. 1/2019,https://www.iea.org/policies/7186-incentives-for-taxi-fleet-decarbonisation-notice-no-12019,"The Notice No. 1/2019 establishes the terms and conditions to support the decarbonization of the taxi fleet in Portugal through the ""Public Transport Service Fund"". 5000 euros are granted for the purchase of a new 100% electric vehicle whose first registration was made on behalf of the beneficiary. Only full-electric vehicles are eligible for the financial incentive given by the Notice No. 1/2019. The support may increase if the beneficiary delivers a used taxi with a valid transit permit during the last 3 years and with a minimum of 20.000 km traveled in the last year.  More than 10 years old - 2.500 euros in addition.More than 15 years old- 5.000 euros in addition.More than 20 years old - 7.500 euros in addition.",Undefined,23 October 2019,http://www.imt-ip.pt/sites/IMTT/Portugues/Paginas/FundoparaoServicoPublicodeTransportes.aspx,Energy Efficiency,"Payments, finance and taxation|Payments and transfers",Transport|Road transport|Passenger transport (Road),Road vehicles|Drive train or engine|Plug-in hybrid|Transport technologies|Battery technologies,Undefined,Portugal,2019,In force,National,PRT
MOVES Program,https://www.iea.org/policies/7698-moves-program,"The MOVES Programme, with a budget of €45 million, falls within the scope of application of Directive 2014/94/EU of the European Parliament and of the Council of 22 October 2014.  The aim of this programme, managed by the IDAE (Institute for Energy Diversification and Saving), is to finance actions to support mobility based on criteria for energy efficiency, sustainability and promotion of alternative sources of energy, including the availability of electric vehicle charging infrastructure.  The following actions are eligible for subsidies:  Purchase of alternative-energy vehicles, with compulsory scrapping of the vehicle (older than 10 years in the case of M1 vehicles or older than 7 years in the case of N1 vehicles).  Deployment of electric vehicle charging infrastructure.  Deployment of electric bicycle hire systems.  Deployment of measures contained in company commuter transport plans.",Undefined,13 November 2020,https://www.electrive.com/2019/02/27/spain-subsidizing-electric-mobility-with-e45-million/,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road)|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Transport technologies|Electric charging infrastructure",Undefined,Spain,2019,In force,National,ESP
New Delhi EV Policy,https://www.iea.org/policies/11649-new-delhi-ev-policy,"In June 2020, the New Delhi Government announced incentives for the purchase of battery operated two-wheelers by up to Rs 10,000 and the purchase of electric autos by Rs 30,000 in its electric vehicle policy, which aims at curbing vehicular pollution by adding 500,000 (5 lakh) new electric vehicles in five years. The government provides a grant of 100% for the purchase of charging equipment, up to Rs 6,000 per charging point for the first 30,000 charging points.",Undefined,11 February 2022,https://transport.delhi.gov.in/sites/default/files/All-PDF/Delhi_Electric_Vehicles_Policy_2020.pdf,Electrification,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),Road vehicles|2 and 3 wheelers (motorised)|Drive train or engine|Battery electric|Transport technologies|Electric charging infrastructure,Undefined,India,2019,In force,State/Provincial,IND
Ownership Tax for Electric Vehicles,https://www.iea.org/policies/6938-ownership-tax-for-electric-vehicles,"The local government of Mexico City collects the ownership tax for private vehicles. Every year, the municipality determines the tax rate used to calculate the contribution according to the vehicle's market price.  In 2019, as in the previous years, the owners of hybrid or full-electric vehicles have been excepted from the payment of the ownership tax, as well as from the charges of vehicular control services provided by the city (number plate, vehicle registration, and transit permits). Federal states have the right to determine their own tax rates for the ownership tax.",Undefined,21 October 2019,https://s3.amazonaws.com/cdmxassets/media/Nuevas+imagenes/Control+vehicular/HIBR_ELEC_2019+ok_2.pdf,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Mexico,2019,In force,State/Provincial,MEX
Project ELBE (incentive programme for EV charging infrastructure),https://www.iea.org/policies/8540-project-elbe-incentive-programme-for-ev-charging-infrastructure,"Project ELBE is an incentive programme for EV charging infrastructure and integrating EV chargers into buildings. ELBE stands for ""ELektrifizierung von GeBäuden für Elektrische Fahrzeug"" (In English, ""Electrifying Buildings for Electric Vehicles"").  In Hamburg, 7,000+ intelligently controlled charging stations are to be installed. Through ChargePoint, a sub-component of the programme, 4,500 charging points are to be installed by 2020. What is being funded?By September 2020, incentive recipients will receive 40% to 60% of the eligible costs for: the purchase of charging stations electrical system upgrades in buildings The grants can be used to cover the cost of:  the charging station and its installation, connection to the local power grid, running costs including maintenance, and24/7 hotline and billing services.",Undefined,25 November 2019,https://emea.chargepoint.com/Projekt-ELBE?LSD=Website,Cities|Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies|Electric charging infrastructure,Undefined,Germany,2019,In force,City/Municipal,DEU
Reduced GST on purchase of EVs,https://www.iea.org/policies/11650-reduced-gst-on-purchase-of-evs,Purchases of battery electric vehicles (BEVs) face a lower Goods and Services Tax (GST) rate of 12% in comparison to the 28% GST that these vehicles were earlier subject to.,Undefined,11 February 2022,https://pib.gov.in/newsite/PrintRelease.aspx?relid=192337,Energy Efficiency|Electrification,"Payments, finance and taxation|Taxes, fees and charges|Tax credits and exemptions",Transport|Road transport,Drive train or engine|Battery electric|Hybrid|Plug-in hybrid|Fuel cell|Alternative propulsion (incl. hyperloop),Undefined,India,2019,In force,National,IND
Registration Tax Benefit for All-Electric Vehicles,https://www.iea.org/policies/6775-registration-tax-benefit-for-all-electric-vehicles,"The ISV (Imposto Sobre Veiculos) is a registration tax that is only paid once when the vehicle is first registered in Portugal. ISV is calculated on the basis of two criteria: the engine cubic capacity and CO2 emissions. Some types of vehicles, such as commercial and motorcycles, pay ISV based on the engine feature only. In Portugal, there are no taxes for buying an used car - only pay the registration fee. There are no regional taxes too. All-electric vehicles do not pay ISV nor IUC (Imposto Único Circulação / circulation tax).",Undefined,25 October 2019,https://impostosobreveiculos.info/english/portuguese-taxes-on-cars/,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Portugal,2019,In force,National,PRT
Subsidies for electric vehicles for private persons,https://www.iea.org/policies/7441-subsidies-for-electric-vehicles-for-private-persons,"The Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology in cooperation with the Car Importers Association, Association of Bike Importers and Sports Article Industry are granting a subsidy for the purchase of electric vehicles (BEV, FCEV and PHEV). The application is open to private persons. The program is planned for the years 2019 and 2020.",Undefined,5 July 2021,https://www.bmk.gv.at/themen/alternative_verkehrskonzepte/elektromobilitaet/foerderungen/e-mobilitaet2020.html,Energy Efficiency,"Strategic plans|Payments, finance and taxation|Urban planning|Targets, plans and framework legislation",Transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies|Battery technologies,Undefined,Austria,2019,Ended,National,AUT
Tax reduction of  CO2 based motor tax,https://www.iea.org/policies/6705-tax-reduction-of-co2-based-motor-tax,"In Ireland, the price paid for road tax is based on two different assessments; engine size if the car was manufactured before July 2008, or CO2 emissions output if the car was manufactured after July 2008. Motor tax can be taxed for a period of three months, six months or a full 12 months.",Undefined,5 November 2017,https://www.carzone.ie/news/motoringadvice/Motor-and-Road-Tax-Prices-Ireland-2017-1437.html,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Ireland,2019,In force,National,IRL
2018 Incentive to promote the introduction of low-emission vehicles - Motorcycles,https://www.iea.org/policies/7182-2018-incentive-to-promote-the-introduction-of-low-emission-vehicles-motorcycles,Regulation No 1607/2018 established the conditions for the allocation of the 2018 financial incentive to promote the introduction of low-emission vehicles in Portugal. The incentive was allocated as follows: Motorcycles/Mopeds Total applications received: 47Applications allocated: 41Applications excluded: 6Applications not assessed due to budget limitations: 0Total allocation: 16.396 euros,Undefined,23 October 2019,https://www.fundoambiental.pt/avisos-2018/incentivo-pela-introducao-no-consumo-de-veiculos-de-baixas-emissoes.aspx,Energy Efficiency,"Payments, finance and taxation|Payments and transfers",Transport|Road transport|Passenger transport (Road),Road vehicles|2 and 3 wheelers (motorised)|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Portugal,2018,Ended,National,PRT
"Bonus-malus system for passenger cars, light trucks and light buses",https://www.iea.org/policies/2844-bonus-malus-system-for-passenger-cars-light-trucks-and-light-buses,"The Government and Parliament have decided on a bonus malus system for new passenger cars class I and II (motorhomes), light buses and light trucks. When it comes to Class II passenger cars, there is no upper limit on the total weight. The amendment applies from July 1, 2018 and only affects new vehicles registered in the Road Traffic Register as of that date. Only new class I and II passenger cars, light buses and light trucks are affected by bonus malus. When it comes to Class II passenger cars, there is no upper limit on the total weight. The vehicle tax remains unchanged for the cars rolling on the roads today. By new is meant vehicles that become taxable (taken into traffic) for the first time on July 1, 2018 or later. (The vehicle must not have been parked before, either in Sweden or abroad.) For malus, the car also has vehicle year 2018 or later. Bonus - for cars with low emissions: Environmentally adapted vehicles with relatively low carbon dioxide emissions of up to 60 g / km, are rewarded with a bonus of a maximum of SEK 60,000. Malus - increased vehicle tax: Malus means an increased vehicle tax during the first three years for petrol and diesel class I and II passenger cars, light buses and light trucks. The system entails the following changes: 1. The five-year vehicle tax exemption for environmental cars is removed. The vehicles that currently have a five-year tax exemption are not affected. But no new cars will be exempt from tax after the bonus malus has come into force.2. The super-environment car premium is replaced by a bonus for so-called climate bonus cars with low emissions.3. For petrol- and diesel-powered vehicles with vehicle year 2018 or later, an increased vehicle tax - malus - is levied during the first three years from the time the vehicle becomes taxable (taken into traffic) for the first time on July 1, 2018 or later.4. For diesel-powered vehicles that are put into service for the first time on or after July 1, 2018, the fuel factor is replaced with a fuel supplement. The fuel surcharge is calculated by multiplying the total number of grams of carbon dioxide emitted by the vehicle in mileage by 13.52.",Undefined,24 March 2021,https://www.transportstyrelsen.se/bonusmalus,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Feebate|Externality taxation|GHG taxation",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Sweden,2018,Ended,National,SWE
Company tax benefits,https://www.iea.org/policies/6629-company-tax-benefits,"The deductibility from corporate income of expenses related to the use of company cars will be calculated on the basis of CO2 emissions. This measure will encourage to buy vehicles with zero or low emissions as a company car. All company cars are liable to two different types of taxes, a registration tax and a vehicle tax. The former, amounting to €50, must be paid on any newly registered car. The latter is calculated by multiplying three elements together: (1) the value of the CO2 emissions in g/km; (2) a value of 0.9 for cars with a diesel engine, or 0.6 for cars with a non-diesel engine; and (3) a value of 0.5 for vehicles whose CO2 is less than 90 g/km, increasing by 0.1 for each additional 10g of CO2.",Undefined,19 November 2019,https://guichet.public.lu/en/entreprises/fiscalite/impots-benefices/impots-divers/vehicules-automoteurs.html,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Tax credits and exemptions",Transport|Road transport|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Luxembourg,2018,In force,National,LUX
Draft Delhi Electric Vehicle Policy 2018,https://www.iea.org/policies/2867-draft-delhi-electric-vehicle-policy-2018,"In 2013, Government of India launched a National Electric Mobility Mission Plan 2020. Under the mission plan, the Scheme for Faster Adoption and Manufacturing of (Hybrid&) Electric Vehicles in India (‘FAME India’) was launched in March, 2015 for two years as Phase-I, which has subsequently been extended up to 31 March, 2019. Several states have also announced an EV policy (e.g., Karnataka, Kerala, Telangana, Maharashtra and Andhra Pradesh and Uttar Pradesh) to complement national policy and address state specific needs.Despite Central and State government incentives, pure electric vehicle penetration currently (i.e., in 2017) remains quite low in India, about 0.1% for cars, ~0.2% for 2 wheelers and practically nil for commercial vehicles. This is largely driven by following critical hurdles: a) high upfront purchase price of EVs, b) almost non-existent public charging infrastructure, c) lack of products comparable to ICE vehicles (especially in the 2 wheeler category) and d) low levels of investment in EV manufacturing capacity.The Draft Delhi EV Policy 2018, to be notified by the Government of the National Capital Territory of Delhi (‘GNCTD’) and which will remain valid for five years from the date of notification, recognises that a new approach is required to kick-start EV adoption in Delhi. It will therefore seek to put in place measures that address the key hurdles to EV adoption. The GNCTD will also develop a communication plan focused on driving awareness regarding the benefits of adopting electric vehicles and the key elements of this policy.This policy will apply exclusively to Battery Electric Vehicles (as defined in Annexure -1, FAME India). Mild Hybrid, Strong Hybrid and Plug-in Hybrid Electric Vehicles will not be targeted by this policy. ‘FAME India’ in this policy refers to the Scheme for Faster Adoption and Manufacturing of (Hybrid &) Electric Vehicles in India as notified on 13th March, 2015 by the Govt. of India and any subsequent amendments thereof.Objectives include:• The primary objective of the Delhi EV Policy 2018 is to bring about a material improvement in Delhi’s air quality by bringing down emissions from transport sector. To do so, this policy will seek to drive rapid adoption of Battery Electric Vehicles (BEVs) in a manner where they contribute to 25% of all new vehicle registrations by 2023.• This policy will also seek to put in place measures to support the creation of jobs in driving, selling, financing, servicing and charging of EVs.",Undefined,12 May 2021,http://transport.delhi.gov.in/sites/default/files/All-PDF/Electric%20Policy%202018.pdf,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport,Drive train or engine|Battery electric|Hybrid|Plug-in hybrid|Transport technologies,Undefined,India,2018,In force,National,IND
EVSE support Tokyo,https://www.iea.org/policies/6649-evse-support-tokyo,"Tokyo's metropolitan government set a subsidy programme in 2018 to accelerate the installation of charging stations for electric vehicles (pure electric and plug-in hybrid vehicles) at condominiums in the capital. Condominium owners, associations and developpers can request financial support for the purchase and installation of EV charging facilities. The installation of solar panel systems and battery systems can be additionally funded under this subsidy programme if combined with the installation of charging stations. The aim of the programme, managed by Tokyo Environmental Public Service Corporation, is to raise the share of Evs in the total new car sales in the capital up to 50% by 2030.  Up to September 2019, the programme supported the installation of 57 charging facilities.",Undefined,16 October 2019,https://www.tokyo-co2down.jp/individual/subsidy/mansion-evcharge/index.html,Cities|Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies|Electric charging infrastructure|Private chargers,Undefined,Japan,2018,Ended,City/Municipal,JPN
"Ordinance (2017: 1317) on grants to private individuals for the purchase of electric bikes, mopeds, motorcycles and outboard motors",https://www.iea.org/policies/7159-ordinance-2017-1317-on-grants-to-private-individuals-for-the-purchase-of-electric-bikes-mopeds-motorcycles-and-outboard-motors,"Currently suspended due to lack of funding (2019)  Subsidy for an electrically driven outboard engine may include that battery or, if the engine's function requires several batteries at the same time, the batteries needed for the engine to be used for the ship's progress from the engine being new until the battery or batteries have worn out. The grant may only be given to a private person who is registered in Sweden and if   1. the engine and the battery or batteries are new and purchased at the earliest on April 12, 2018,   2. the engine and the battery or batteries are CE marked,   3. the engine has a unique identification number or other information enabling it to be identified;   4. the engine has a power of at least one kilowatt;   5. the engine is intended to be used as the main engine for operating a vessel; and   6. the engine and battery or batteries have not been the basis for other public support.",Undefined,4 November 2019,https://www.riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/forordning-20171317-om-bidrag-till_sfs-2017-131717-om-bidrag-till_sfs-2017-1317,Energy Efficiency,"Payments, finance and taxation|Payments and transfers",Transport|Road transport|Passenger transport (Road),Road vehicles|2 and 3 wheelers (motorised)|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Sweden,2018,In force,National,SWE
Plug-in motorcycle grant,https://www.iea.org/policies/3215-plug-in-motorcycle-grant,"The OLEV Plug in Motorcycle Grant (PIMG) only applies to a new motorcycle or scooter that meets all of the eligibility criteria for the scheme, as set out on OLEVs website, and that has been approved by OLEV. These criteria are updated regularly, for example, during the course of the grant scheme new safety requirements or European regulations or standards come into force for motorcycles or scooters.  New variants of a vehicle that is already eligible for the grant are not automatically eligible. A variant of a vehicle that requires new type approval documentation will need to be approved separately. Manufacturers should apply for these new variants to be approved under the grant scheme. If the applicant is unsure whether a new variant of a vehicle needs to be approved, please contact olev.enquiries@olev.gsi.gov.uk.",Undefined,5 November 2017,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/767134/pimg-dft-guidance.pdf,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),Road vehicles|Commercial vehicles|2 and 3 wheelers (motorised)|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,United Kingdom,2018,In force,National,GBR
Purchase Subsidies Bulgaria,https://www.iea.org/policies/6742-purchase-subsidies-bulgaria,"A purchase grant of EUR 10.000 for a BEV, since January 2018. The list of EVs eligible for purchase under the programme has been significantly expanded. The subsidies are:  per medium class M1 (vehicles with up to 8 seats) and N1 (cargo vehicles with a permissible maximum weight of up to 3,5 tons) EV – BGN 20,000 the small L7e – BGN 20,000 minibuses – BGN 40,000 class M1 and N1 (6+ 1 and 7+ 1 seats) – BGN 30,000 up to BGN 3,000 for the purchase of various types of superstructures for cleaning, cargo transportation, and watering the small L7e.",Undefined,5 November 2019,https://www.eafo.eu/countries/bulgaria/1725/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Bulgaria,2018,In force,National,BGR
Subsidy for electric delivery vans in The Hague,https://www.iea.org/policies/7225-subsidy-for-electric-delivery-vans-in-the-hague,"Until 1 January 2019, entrepreneurs in The Hague could apply for subsidies to purchase a fully electric delivery van. Vans could be new or second-hand. The municipality granted a subsidy of 3,000 euros for second-hand vans and 5,000 euros for new vans, limited to 50% of the purchase price.  The total available subsidy amount was 300,000 euros.",Undefined,21 October 2019,https://www.tln.nl/actueel/nieuws/Paginas/Subsidie-voor-elektrische-bestelauto-in-Den-Haag.aspx,Cities|Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Netherlands,2018,Ended,City/Municipal,NLD
The Low-Emission Transport Fund,https://www.iea.org/policies/12223-the-low-emission-transport-fund,"The task of the Low-Emission Transport Fund is to finance projects to develop electromobilty (electric vehicles, charging infrastructure) and transport based on alternative fuels (CNG, LNG, biofuels and other renewable fuels). The revenues of the Fund will consist of a target grant from the state budget in an amount of up 1.5% of the revenues planned in the previous budget year from the excise duty on motor fuels and the resources provided by the electricity transmission system operator in an amount of 0.1% of the justified return of capital employed in the economic activity carried out in the area of electricity transmission.",Undefined,16 September 2020,https://www.gov.pl/web/klimat/fundusz-niskoemisyjnego-transportu,Undefined,Payments|finance and taxation,Transport|Road transport,Road vehicles|Transport technologies|Electric charging infrastructure,Undefined,Poland,2018,In force,National,POL
Controlled Vehicular Access (CVA) Fee Exemption,https://www.iea.org/policies/6694-controlled-vehicular-access-cva-fee-exemption,Regulation exempts EVs from Controlled Vehicular Access (CVA) system designed to reduce congestion.The Malta congestion charge is a fee for motorists entering Valletta. It was launched in May 2007 with the aim of increasing accessibility to the capital city.The Controlled Vehicular Access (CVA) system uses number plate recognition technology along to monitor vehicles entering and exiting the zone. The system calculates the fee due depending on the amount of time within the zone.,Undefined,9 September 2019,https://www.autoalert.me.uk/about-the-malta-cva-congestion-zone/,Cities|Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Use and activity charges|Road usage charges",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Malta,2017,In force,City/Municipal,MLT
Accelerated Capital Allowances Scheme for Energy Efficient Equipment,https://www.iea.org/policies/6628-accelerated-capital-allowances-scheme-for-energy-efficient-equipment,"A tax incentive for companies paying corporation tax is in place in the form of Accelerated Capital Allowances for Energy Efficient Equipment.  Since 2008, this scheme has been allowing companies to write off 100% of the purchase value of qualifying energy efficient equipment against their profit in the year of purchase. The scheme supports the purchase of BEVs, PHEVs, hybrid vehicles and the associated charging equipment.",Undefined,14 September 2020,http://www.budget.gov.ie/Budgets/2018/Documents/ACA_Scheme_for_EEE_Review.pdf.,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Payments and transfers|Tax credits and exemptions",Transport|Road transport|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Ireland,2017,In force,National,IRL
Circulation Tax for BEV,https://www.iea.org/policies/6702-circulation-tax-for-bev,"Road tax exemption / reduction depending on local policies. Main city councils (eg Madrid, Barcelona, Zaragoza, Valencia etc) are reducing the annual circulation tax (ownership tax) for electric and fuel efficient vehicles by 75%.",Undefined,14 October 2019,https://computerhoy.com/reportajes/motor/impuestos-pagas-coche-electrico-va-parar-cada-euro-363719,Cities|Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Transport technologies",Undefined,Spain,2017,In force,City/Municipal,ESP
Company Car Tax Benefits for EV and Hybrid Vehicles,https://www.iea.org/policies/2883-company-car-tax-benefits-for-ev-and-hybrid-vehicles,"The TVS Tax (Taxe sur les véhicules de société) is applicable to company (passenger) cars. It is made of two components. The first component is based on CO2 Emissions (or Horse Power for older vehicles), and is calculated using a staggered approach and is exempted for vehicles <60g CO2 / km. The second component is based on environmental impact and is also staggered, and much higher for (older) diesel vehicles.  The straggered approach was aimed at encouraging companies to renew their fleet in favor of less polluting vehicles. The tax exemption was originally valid for a period of 24 months after registration.  Electric vehicles are fully exempt from the company vehicle tax (TVS). This exemption only applies to vehicles emitting less than 60g/km of CO2. Since January 1, 2018, hybrid vehicles that use both gasoline and natural gas fuel or liquefied petroleum gas are exempted permanently (if the CO2 emission rate is less than or equal to 60 grams / km) or temporarily (if CO² emission between 60 and 100 grams / km) of the first component of the TVS rate.",Undefined,2 December 2019,https://www.service-public.fr/professionnels-entreprises/vosdroits/F22203,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Company car tax|Product taxation",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,France,2017,In force,National,FRA
EV Purchase Subsidies in Ireland,https://www.iea.org/policies/6749-ev-purchase-subsidies-in-ireland,"A maximum grant of €5,000 is available for qualifying electric vehicles when purchased privately. Approved EVs with a List Price of less than €14,000 will not receive a grant. The grant level applies to Battery Electric Vehicles (BEV) and Plugin Hybrid Electric Vehicles (PHEV). It depends on the list price of the vehicle. This is the full non-discounted price in the absence of VRT relief or grant support.In addition, grants  of up to €12,500 are available to stimulate take-up of electric vehicles in the taxi /hackney/limousine sector (scheme administered by the National Transport Authority)",Undefined,14 September 2020,https://www.seai.ie/grants/electric-vehicle-grants/grant-amounts/.,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Passenger transport (Road),Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies|Battery technologies,Undefined,Ireland,2017,In force,National,IRL
EV Registration Tax Benefits in Malta,https://www.iea.org/policies/6773-ev-registration-tax-benefits-in-malta,"Registration Tax of vehicles is based on Lengh of vehicles, Emissions and Age. For Electric Vehicles Emission Tax is zero. Direct CO2 emission values are used to calculate the Vehicle Registration Tax (VRT) and annual Motor Tax bands for vehicles.Battery Electric Vehicles (BEV) have no tail pipe emissions of CO2Plugin Hybrid Electric Vehicles (PHEV) should have CO2 emissions circa 60g/km",Undefined,5 November 2017,https://www.seai.ie/grants/electric-vehicle-grants/grant-amounts/,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Malta,2017,In force,National,MLT
Exemption congestion zone,https://www.iea.org/policies/2972-exemption-congestion-zone,"All purely electric cars, vans and other vehicles are currently Congestion Charge-exempt, because they have zero tailpipe emissions. This means if you purchase a fully electric vehicle, you won’t have to pay the London Congestion Charge. Examples of fully electric cars are the Renault ZOE, Nissan Leaf and Volkswagen e-Golf.Plug-in hybrid-electric vehicles (PHEVs) are also Congestion Charge exempt, as none currently on sale exceeds the 75g/km limit. So the likes of the Hyundai Ioniq Plug-In, Mitsubishi Outlander PHEV and Kia Niro PHEV are all exempt from the charge as well.Larger wheels increase tailpipe emissions, and individual options and trim levels are taken into account when working out Congestion Charge exemption. In some cases, these could push a PHEV over the limit.Hybrid cars aren't automatically Congestion Charge exempt. It depends on the model and trim level in question.",Undefined,5 November 2017,https://www.drivingelectric.com/your-questions-answered/90/london-congestion-charge-and-electric-cars,Cities|Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Use and activity charges|Road usage charges",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,United Kingdom,2017,In force,City/Municipal,GBR
Government fleet ZEV,https://www.iea.org/policies/6977-government-fleet-zev,"Starting inthe 2019-2020 fiscal year, 75 % of new light-duty administrative fleet vehiclepurchases will be ZEVs or hybrid, with the objective that the Government’sadministrative fleet comprises at least 80 % ZEVs by 2030.",Undefined,5 November 2017,http://www.ieahev.org/assets/1/7/HEV_TCP_Report2018-web.pdf,Energy Efficiency,"Payments, finance and taxation|Public procurement|Payments and transfers",Transport|Road transport|Passenger transport (Road),Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Canada,2017,In force,National,CAN
Grants to Purchase Low CO2 Emission Cars and Remove Old Inefficient Cars from Roads,https://www.iea.org/policies/6755-grants-to-purchase-low-co2-emission-cars-and-remove-old-inefficient-cars-from-roads,"The scrappage scheme, which this year has an allocation of €1.5 million. New M1 Vehicles or M1 Hybrid Vehicles are eligible for this scheme when de-registering and scrapping a vehicle from the same category. This grant varies from €800 to €2,000. The sum of €800 is given to applicants registering new M1 Category Vehicles with CO2 emissions between 101 and 130g/km while M1 Vehicles with CO2 emissions up to 100g/km are eligible for €900 or the sum equivalent to the amount paid for registration tax for the same vehicle up to a maximum of €1,500. When an applicant is registering an M1 Hybrid Vehicle with CO2 emissions between 40 and 65g/km, they are eligible for a grant up to €2,000",Undefined,5 November 2017,https://www.transport.gov.mt/news/transport-schemes-2019-2772,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Malta,2017,In force,National,MLT
