index,country_code,Policy type,Sector,Policy,Description,Year/Date of decision,Source,cos_dup
59,JPN,financial support,Transport,Eco-Car Tax Break and Subsidies for Vehicles,"The effectiveness of the standards is enhanced by financial incentives—such as progressive taxes levied on the vehicle weight and engine displacement. Early compliance of this sort is rewarded through tax breaks for vehicles exceeding their targets ahead of schedule.
 In addition to the tax-break program, Japan also has a subsidy program. In its fiscal year 2016 the budget will be ¥15 billion for the subsidy program, down from ¥20 billion in fiscal year 2015. Currently, subsidies for clean diesel vehicles stand at up to ¥160,000 per unit.",2009,CPD,"28,29"
60,ZAF,taxation,Transport,Carbon Emissions Motor Vehicles tax,Legislative. Carbon tax for new passenger cars emitting more than 120 gCO2 per km.,2010,CPD,NA
61,GRC,taxation,Transport,"Law 3831/2010 on Revision of the vehicle taxes regime for vehicles, abolishment of the vehicles recycling measures (scrappage scheme) and measures for tackling atmospheric pollution",Legislative,2010,CPD,NA
62,KOR,financial support,Transport,Tax Reduction per Vehicle,"Tax reduction per vehicle (2016, 2017) (unit : KRW)
 BEV ~4,000,000, PHEV ~2,700,000, HEV ~2,700,000, FCV ~7,200,000 (See reference below for details.) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",2012,CPD,NA
63,DNK,"taxation, financial support",Transport,Vehicle Registration Tax Derogation,"Introduced derogations as well as a schedule for their phase-out. They have been modified by following regulations. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",2015,CPD,NA
64,DNK,taxation,Transport,Differentiated Registration Tax,"In 2016, the government decided to gradually phase in a vehicle registration tax for BEVs: 20% of the full registration tax in 2016, 40% in 2017, 65% in 2018, 90% in 2019 and 100% in 2020. The registration tax for cars has also decreased since 2015.",2015,CPD,24
65,TUR,taxation,Transport,Turkish Vehicle Registration Tax (ÖTV),"Turkey imposes two taxes on vehicles: a Special Consumption Tax (ÖTV), similar to a Registration Tax, as well as a Value-Added Tax (VTA). ÖTV rates are applied to a vehicle’s net price and vary between 3% for a battery-electric car and 160% for a conventional combustion engine car with an engine displacement larger than 2.0 l. The tax rate is not indexed on CO2 emissions, but on engine displacement and car price. (For the particular case of BEVs and HEVs, see specific entry).",2016,CPD,NA
66,ESP,taxation,Transport,Registration Tax Based on CO2 Emissions,"Registration taxes in Spain are calculated according to the level of CO2 emissions: 0% for vehicles emitting less than 120 g/km; 4,75% for vehicles emitting between 120 g/km and 160 g/km; 9,75% for vehicles emitting between 160 g/km and 200 g/km; 14,75% for vehicles emitting more than 200 g/km. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",2017,CPD,19
67,GBR,taxation,Transport,CO2 Emission-Based Vehicle Tax Fates,"The change doesn’t affect any vehicle registered before 1 April 2017, but drivers can check the vehicle tax rates to make sure they know what they need to pay. Vehicle tax for the first year is based on CO2 emissions. After the first year, the amount of tax that needs to be paid depends on the type of vehicle. The rates are: £140 a year for petrol or diesel vehicles; £130 a year for alternative fuel vehicles (hybrids, bioethanol and LPG); £0 a year for vehicles with zero CO2 emissions. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",2017,CPD,NA
68,DNK,taxation,Transport,Green Owner Tax,"The tax is paid twice per year. It depends on the fuel economy, is different for diesel and gasoline vehicles and depends on weight. Owners of EVs also pay the tax.
 For more information, see: https://www.iea.org/policies/3013-green-owner-tax?country=Denmark&qs=den IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",2017,CPD,NA
69,TUR,taxation,Transport,Motor Vehicle Tax (MTV),"Engine displacement, age of a car, and as of 2018, net price, are the main determinants of MTV. The tax sharply decreases for older vehicles, especially if the engine displacement is high. There is no difference in the annual tax for diesel, gasoline, or hybrid-electric cars. For more details, see reference below.",2018,CPD,NA
70,FRA,taxation,Transport,Corporate Vehicle Tax (TVS) with benefits for electric and hybrid vehicles,"The TVS (Taxe sur les véhicules de société) applies to passenger transport vehicles owned by for-profit French companies. The vehicles overarched for this tax are cars, multi-use (N1 category - light good and passenger transportation) and pick ups. 
 The tax is based on 2 components, each one bringing a tariff: CO2 emissions rate (or horse power for older vehicles) and Environmental impact (air pollution level) according type of engine and fuel.
 Electric vehicle that only runs on electric power and emits less than 60 g / km of CO2 is exempted. Hybrid vehicles (gasoline + natural gas or LPG) are definitively exempted from the tariff of the first component if they emit less than 60 g / km of CO2 or temporarily if emit between 60 and 100 g / km of CO2.",2019,CPD,NA
71,ITA,financial support,Transport,Decree 20 March 2019 - Financial incentive for acquisition of low carbon or electric vehicles 'Ecobonus',"It is an incentive fund for the purchase of low-emissions LDV vehicles - car and vans - and motorcycles (categories M1 and L). The decree gives a higher incentive the lower emission the vehicle produces. In 2021, the Budget Law (2021-2023) introduced a special incentive for electric-only and added light trucks (N1 category).",2019,CPD,NA
