Country,Policy types,Sectors,Policy,Description,Year,country_code,Source,Comment
United Kingdom,"Infrastructure investments, Procurement rules, Grants and subsidies, Loans, Advice or aid in implementation, Information provision, Policy support, Strategic planning, Research & Development and Deployment (RD&D), Demonstration project, Technology deployment and diffusion, Technology development","Electricity and heat, Renewables, Buildings, General",Low Carbon Industrial Strategy (LCIS) United Kingdom (2009),NA,2009,GBR,CPD,
United Kingdom,"Direct investment, Grants and subsidies, Policy support, Institutional creation, Strategic planning, Regulatory Instruments, Research & Development and Deployment (RD&D)","Electricity and heat, Renewables, Buildings, General",Low Carbon Transition Plan United Kingdom (2009),NA,2009,GBR,CPD,
United Kingdom,"Feed-in tariffs or premiums, Policy support, Institutional creation, Strategic planning, Regulatory Instruments, Technology deployment and diffusion, Technology development, GHG reduction target, Renewable energy target","Electricity and heat, Renewables, Transport, General",Renewable Energy Strategy United Kingdom (2009),"The UK Renewable Energy Strategy 2009 is a white paper outlining how the UK will meet its legally-binding target to ensure 15% of energy comes from renewable energy sources by 2020.
Under the 2008 Climate Change Act, the UK must meet legally binding carbon ""budgets"", committing the UK to cuts its emissions by 34% by 2020 and 80% by 2050.
The Strategy comprises three primary 2020 targets:
Over 30% of electricity to be generated from renewable energy sources, mostly from wind power, with biomass, hydro, wave and tidal power playing important roles;
12% of heat to be generated from renewable energy sources, from a large range of sources (biomass, biogas, solar, heat pumps);
10% of transport energy to come from renewable energy sources.
The key measures to achieve the targets are:
An expansion and extension of the Renewables Obligation, requiring energy suppliers to sell larger amounts of renewable energy. New measures to increase financial support for offshore wind will also be considered.
Introducing payment schemes to support the production of renewable heat and small-scale clean electricity generation by households, industry, businesses and communities.
New guaranteed payments will be provided through feed-in tariff schemes from 2010 onwards, and a Renewable Heat Incentive from 2011 onwards. Before the schemes take effect, GBP 45 million in grants have been committed.
The Renewable Transport Fuel Obligation will be amended or replaced, taking into account sustainability issues, to ensure transport fuels contain a rising amount of renewable biofuels.",2009,GBR,CPD,
United Kingdom,"Payments, finance and taxation|Performance-based payments|Payments and transfers|Feed-in tariffs/premiums","Power, Heat and Utilities|Power generation|Combined heat and power|Heating and Cooling|Electricity and heat generation",Feed-in Tariffs for renewable electricity for PV and non-PV technologies,"As of April 2010, the UK government offers feed-in tariffs (FITs) for small-scale (less than 5 MW) low-carbon electricity produced from a variety of renewable energy technologies installed by householders, businesses and communities, even if the electricity is not fed back into the electricity grid but consumed on-site. Additional payment is provided for electricity fed into the grid.FIT levels very according to technology and size of the plant.FIT payments last for 10 to 25 years and are adjusted for inflation.Technologies eligible to benefit from FIT are: hydro, anaerobic digestion, wind and solar PV technologies under 5 MW, and a pilot scheme for micro CHP has also been launched as part of the FIT.Electricity suppliers are responsible for paying the FIT to the eligible generators.Feed-in tariff rates for new installations are adjusted on a quarterly basis for PV and non-PV generators.The scheme is administered by Ofgem. Ofgem websites provide information on most current FIT levels. Feed-in tariff payments for eligible PV installations coming on-line in below periodsTechnologyCapacityMounting typeApril 2015 – 30 September 2015 in p/kWhJuly 2015 –1 October 2015 in p/kWhSolar PV< 4 kWNew building before first occupationsH: 13.39M: 12.05L: 6.16H: 12.92M: 11.63L: 5.94Already occupied buildingH: 13.39M: 12.05L: 6.16H: 12.92M: 11.63L: 5.944 kW – 10 kW-H: 12.13M: 10.92L: 6.16H: 11.71M: 10.54L: 5.9410 kW – 50 kWH: 11.71M: 10.54L: 6.16H: 11.71M: 10.54L: 5.9450 kW – 100 kWH: 9.98M: 8.98L: 6.16H: 9.63M: 8.67L: 5.94100 kW – 150 kWH: 9.98M: 8.98L: 6.16H: 9.63M: 8.67L: 5.94150 kW – 250 kWH: 9.54M: 8.59L: 6.16H: 9.21M: 8.29L: 5.94> 250 kW – 5 MW6.165.94Any stand-alone installation6.164.44Additional export tariff payment4.854.85 Feed-in tariff payments for eligible non-PV installations coming on-line in below periodsTechnologyCapacityApril 2015 to 31 March 2016 in p/kWhAnaerobic digestion< 250 kW10.13250 kW – 500 kW9.36> 500 kW8.68Hydro< 15 kW17.1715 kW – 100 kW16.03100 kW – 500 kW12.67500 kW – 2 MW9.902 MW – 5 MW2.70Wind< 1.5 kW16.261.5 kW – 15 kW14.4515 kW – 100 kW14.45100 kW – 500 kW12.05500 kW – 1.5 MW6.541.5 Mw – 5 MW2.77CHP< 2 kW13.45Additional export tariff payment 4.85",2010,GBR,IEA,
United Kingdom,"Strategic plans|Targets, plans and framework legislation","Power, Heat and Utilities|Power generation|Combined heat and power|Economy-wide (Multi-sector)|Heating and Cooling|Electricity and heat generation",National Renewable Energy Action Plan (NREAP),"Under the EU Directive 2009/28/EC, member countries of the European Union were obliged to draft, and submit to the European Commission, National Renewable Action Plans (NREAPs) outlining pathways that will allow them to meet their 2020 renewable energy targets.UK targets by 2020: 15% share of energy generated from renewable sources in gross final energy consumption;12% of heat consumption met by renewable sources;31% of electricity demand met by electricity generated from renewable energy sources;10% of energy demand met by renewable energy sources.The UK renewables policy framework relies on three main components:Ficial support for renewables;Removing barriers (administrative, policy uncertainty, etc.);Supporting and developing emerging technologies;Measures that will allow UK to achieve its targets:Continuation of the Renewables Obligation (RO);System of feed-in tariffs;Introduction of Renewable Heat Incentive (RHI);Cooperation with the European Investment Bank (EIB) and the Green Investment Bank for funding provision for renewable projects;Support to R&D in the sectors of renewable energy technologies and energy efficiency;Continuation of financial schemes providing support to various technologies in different sectors;Please note that as the plan was submitted in 2010 it does not encompass more recent policy developments.",2010,GBR,IEA,
United Kingdom,Fiscal or financial incentives,"Electricity and heat, CCS",Energy Act United Kingdom (2010),Legislative,2010,GBR,CPD,
United Kingdom,Feed-in tariffs or premiums,"Electricity and heat, Renewables",Feed-in Tariffs for renewable electricity United Kingdom (2010),"This policy applies to hydropower, anaerobic digestion, wind and solar PV technologies under 5MW. The FiT lasts between 10 and 25 years, according to the technology. A scheme was also implemented for micro CHP (end of application period on 31 March 2019: https://energysavingtrust.org.uk/renewable-energy/electricity/micro-chp).
For details, refer to the sources below.",2010,GBR,CPD,
United Kingdom,"Policy support, Strategic planning, Target, Renewable energy target, Formal & legally binding renewable energy target","Electricity and heat, Renewables, General",National Renewable Energy Action Plan (NREAP) United Kingdom (2010),"Under the EU Directive 2009/28/EC, member countries of the European Union were obliged to draft, and submit to the European Commission, National Renewable Action Plans (NREAPs) outlining pathways that will allow them to meet their 2020 renewable energy targets.
UK targets by 2020:
15% share of energy generated from renewable sources in gross final energy consumption;
12% of heat consumption met by renewable sources;
31% of electricity demand met by electricity generated from renewable energy sources;
10% of energy demand met by renewable energy sources. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",2010,GBR,CPD,
United Kingdom,Advice or aid in implementation,Electricity and heat,Smart Metering Implementation Programme United Kingdom (2010),NA,2010,GBR,CPD,
United Kingdom,"Strategic plans|Regulation|Codes and standards|Payments, finance and taxation|Performance-based payments|Payments and transfers|Feed-in tariffs/premiums|Targets, plans and framework legislation","Power, Heat and Utilities|Power generation|Economy-wide (Multi-sector)|Electricity and heat generation",Energy White Paper 2011,"The UK White Paper presents the overall reform of the UK electricity system,aiming at designing a smart, flexible and responsive electricity system that provides for secure, low-carbon and affordable electricity supply. The UK power system needs to tackle 5 main challenges, namely:- Supply security, as old and polluting generation plants are bound to close (20GW by 2020) and as the system needs to adapt to higher levels of intermittent (wind) and inflexible generation (nuclear).- The need for electricity mix decarbonisation to reach 2020 RE targets -15% of primary energy needs from RE.- The increase in generation capacity to meet rising demand (transport sector electrification needs) in parallel with energy savings and efficiency practices.- Great need for cost-efficient investments to avoid high increases in cost of electricity, considering that carbon price and environmental policies are likely to lead to higher bills in the future.The government has identified several key tools, central to the reform strategy, that would allow for the transition to a decarbonised energy system to happen, namely:- The Feed in tariffs with Contract for Difference, expected to start by 2014, will provide a clear, stable and predictable revenue stream for investors. None of the tariff adjustments are retroactive.- The Carbon Price Floor, expected to be in force by 2013, would guarantee a fair price on carbon and provide a stronger incentive to encourage investment in low carbon generation.- The Emission Performance Standard (EPS) expected to be in force by 2013, equivalent to 450g CO2/kWh at baseload, to limit the amount of carbon new fossil-fuel power plants can emit.Engaging with energy consumers to reduce demand will also become a priority both in the electricity and the heating sectors, where the Green deal will help to reduce cost and carbon emissions in buildings, with smart electricity and gas meters. On the short term, the market design reform shall allow for a smooth transition and investments to continue. Therefore, the existing Renewables Obligation will continue for existing projects supported by the scheme (principle of no retrospective change) and new ones until March 31st 2017. Between 2011 and 2017 new renewable energy generators will have a one-off choice between Renewable obligation support of feed-in tariff. The reform will also be included in the devolution process at the national scale.",2011,GBR,IEA,
United Kingdom,"Payments, finance and taxation|Performance-based payments|Payments and transfers|Feed-in tariffs/premiums",Heating and Cooling,Renewable Heat Incentive (RHI) for domestic and non-domestic generators,"The Renewable Heat Incentive (RHI) was introduced in UK in March 2011 to support renewable heat installations with fixed payment for each generated kWth. Initially the scheme was supporting only non-domestic installations. The scheme was expanded on 9th of April 2014 in order to support domestic renewable heat generators as well.RHI payments are awarded for period of 20 years. Non-domestic Renewable Heat Incentive (phase 1):RHI payments for non-domestic generators are awarded for period of 20 years.Technologies eligible include: aerothermal energy, biogas, hydrothermal energy, biomass, geothermal and solar thermal installations.The incentive is open for: industrial and commercial sectors, public, not-for-profit organisations and communities",2011,GBR,IEA,
United Kingdom,"Fiscal or financial incentives, Regulatory Instruments","Buildings, Electricity and heat, CCS, Renewables",Energy Act United Kingdom (2011),Legislative,2011,GBR,CPD,
United Kingdom,"Fiscal or financial incentives, Grants and subsidies","Electricity and heat, Renewables, Transport, Low-emissions mobility",UK Renewable Energy Roadmap United Kingdom (2011),Executive,2011,GBR,CPD,
United Kingdom,CO2 taxes,"Electricity and heat, Coal, Gas, Oil",Finance Act United Kingdom (2011),Legislative,2011,GBR,CPD,
United Kingdom,Feed-in tariffs or premiums,"Electricity and heat, Renewables",Renewable Heat Incentive (RHI) for domestic and non-domestic generators United Kingdom (2011),"Eligible technologies: Aerothermal, Hydrothermal, Biogas, Biomass, Geothermal and Solar thermal",2011,GBR,CPD,
United Kingdom,"CO2 taxes, Feed-in tariffs or premiums, Policy support, Institutional creation, Strategic planning, Codes and standards","Electricity and heat, Renewables",Energy White Paper United Kingdom (2011),NA,2011,GBR,CPD,
United Kingdom,Regulation,"Power, Heat and Utilities|Power generation|Electricity and heat generation",Electricity Market Reform (EMR),"Electricity Market Reform is a package of reforms for the electricity sector of UK introduced in April 2013.The main four measures regulated and introduced by the EMR are:Contracts-for-Difference (CfD) for renewable electricity generators designed to gradually replace Renewable Obligation (RO) system. CfD provide a premium payment for renewable electricity paid on top of the wholesale market price to reach the agreed payment level (strike price). If the market price is higher than the agreed “strike price”, renewable generator must pay back the difference. CfD is accompanied by capacity auctions structure.Capacity auctions set a market for future capacity.Emission Performance Standard (EPS) is an emission cap for new power plants and banned the construction of non-CCS coal plants.Carbon Price Floor (CPF) designed to be gradually increased (starting from 2103) and augment EU carbon price. The CPF was set on the level of GBP 15.70 per CO2 tonne in 2013 and to be increased to GBP 30 per CO2 tonne by 2020.",2013,GBR,IEA,
United Kingdom,Regulation,"Buildings|Power, Heat and Utilities|Existing buildings and retrofits",Energy Company Obligation,"The Energy Companies Obligation (ECO) was introduced in January 2013 to reduce the UK's energy consumption and support people living in fuel poverty. It will run until 2017, supporting the installation of energy efficiency measures in low-income households and areas, and in properties that are harder to treat. The ECO replaces two previous schemes, the Carbon Emissions Reduction Target (CERT) and the Community Energy Saving Programme (CESP). ECO places legal obligations on the larger energy suppliers to deliver energy efficiency measures to domestic energy users. It operates alongside the Green Deal (see separate entry), which is designed to help people make energy efficiency improvements to buildings by allowing them to pay the costs through their energy bills rather than upfront. The Green Deal and the ECO will help reduce carbon emissions from the UK's domestic building stock, which is an essential part of the UK's plan to meet its statutory domestic carbon emission reduction targets by 2050.The ECO is intended to work alongside the Green Deal to provide additional support in the domestic sector, with a particular focus on vulnerable consumer groups and hard-to-treat homes. Under the rules of ECO, energy suppliers are obliged to help improve the energy efficiency of their domestic customers' buildings in three distinct areas:1. Carbon Emissions Reduction ObligationUnder the Carbon Emissions Reduction Obligation, energy companies must concentrate efforts on hard-to-treat homes and measures that cannot be fully funded through the Green Deal. Solid wall insulation and hard-to-treat cavity wall insulation are the primary areas for focus under this target. Other insulation measures and connections to district heating systems are also eligible if they are promoted as part of a package that includes solid wall insulation or hard-to-treat cavity wall insulation.2. Community ObligationUnder the Carbon Saving Community Obligation, energy companies must focus on the provision of insulation measures and connections to domestic district heating systems supplying areas of low income. This target has a sub-target, which states that at least 15% of each supplier's Carbon Saving Community Obligation must be achieved by promoting measures to low income and vulnerable households living in rural areas.3. Home Heating Cost Reduction ObligationUnder the Home Heating Cost Reduction Obligation, energy suppliers are required to provide measures that improve the ability of low income and vulnerable households (the ""Affordable Warmth Group"") to heat their homes. This includes actions that result in heating savings, such as the replacement or repair of a boiler for example.",2013,GBR,IEA,
United Kingdom,"Payments, finance and taxation|Payments and transfers|Loans / debt finance|Finance|Grants","Buildings|Residential|Services|Power, Heat and Utilities|Power generation|Heating and Cooling|Electricity and heat generation",Green Deal,"The Green Deal provides a framework of accredited market participants, through which people pay for some of the cost of improving their homes and businesses using a type of loan that is paid back with the savings they can expect to make on their fuel bills. Prior to signing a Green Deal Plan, an assessor will recommend improvements that are appropriate for a property and indicate whether they can be expected to pay for themselves through reduced energy bills.  Green Deal Providers (the companies offering loans) will discuss with the consumer whether a Green Deal Plan is right for him/her and provide a quote for the recommended improvements. Consumers can get as many quotes as they like, and they do not have to choose all of the recommendations made to them. Once they have chosen a Green Deal Provider, the Provider will write up a Green Deal Plan.   The plan is a contract between the consumer and the Provider, it sets out the work that will be done and the repayments. Installation must be carried out by an authorised installer. The Green Deal Provider will help calculate the repayments, including interest, which the consumer will need to make. While the repayments should be no more than what a typical bill-payer should save, the actual savings will depend on how much energy the consumer uses and the future costs of energy. If the consumer moves, the new bill-payer will benefit from the improvements, and so will take on the repayments.    A requirement on larger energy suppliers ""the Energy Company Obligation (ECO)"" will work alongside the Green Deal to provide additional support for viable packages of energy efficiency measures that are unlikely to be fully financed by the Green Deal. These packages could include insulation of hard-to-treat cavities or solid walls. The ECO will also provide insulation and heating measures to low-income and vulnerable households and insulation measures to low income communities.  An innovative brokerage system has been put in place to extend the availability of ECO funding beyond the energy companies themselves.",2013,GBR,IEA,
United Kingdom,"CO2 taxes, Regulatory Instruments","Electricity and heat, Renewables",Electricity Market Reform (EMR) United Kingdom (2013),NA,2013,GBR,CPD,
United Kingdom,"Infrastructure investments, Fiscal or financial incentives, CO2 taxes","Electricity and heat, CCS, Coal, Renewables",Energy Act United Kingdom (2013),Legislative,2013,GBR,CPD,
United Kingdom,"Grants and subsidies, Loans, Direct investment","Electricity and heat, Renewables",Green Deal United Kingdom (2013),NA,2013,GBR,CPD,
United Kingdom,CO2 taxes,Electricity and heat,Carbon Price Floor United Kingdom (2013),"The Carbon Price Floor (CPF) is a UK Government policy implemented to support the EU Emissions Trading System (EU ETS). The CPF taxes fossil fuels used to generate electricity via Carbon Price Support rates set under the Climate Change Levy. The price floor consists of two components which are paid for by energy generators in two different ways: (i) The EU ETS allowance price; and (ii) the Carbon Support Price (CPS), which tops up the EU ETS allowance prices, as projected by the Government, to the carbon floor price target.
At Budget 2014 the Government announced that the CPS component of the floor price would be capped at a maximum of £18/tCO2 from 2016 to 2020 to limit the competitive disadvantage faced by business and reduce energy bills for consumers. This price freeze was extended to 2021 in Budget 2016.",2013,GBR,CPD,
United Kingdom,"Payments, finance and taxation|Performance-based payments|Payments and transfers|Feed-in tariffs/premiums","Power, Heat and Utilities|Power generation|Combined heat and power|Heating and Cooling|Electricity and heat generation",Contract for Difference (CfD),"Contract for Difference (CfD) was introduced in UK in October 2014 aiming to replace Renewable Obligations system in the UK. CfD scheme is designed to support deployment of large scale renewable projects (more than 5MW).The CfD is based on a difference between the market price and an agreed “strike price”.If the “strike price” is higher than a market price, the CfD Counterparty must pay renewable generator the difference between the “strike price” and the market price. If the market price is higher than the agreed “strike price”, renewable generator must pay back the CfD Counterparty the difference between the market price and the “strike price”.CfDs are concluded between the renewable generator and Low Carbon Contracts Company (LCCC), a government-owned company.CfD contracts are awarded for period of 15 years.Generators that want to participate in the CfD scheme must participate in allocation rounds.Technologies eligible to participate in the CfD scheme are: onshore and offshore wind, solar PV, geothermal parts, hydropower, ocean power (tidal and wave), lnadfill gas, sewage gas, anaerobic digestion, biogas, biomass and CHP plants.The CfD scheme is currently in place in Great Britain only. Until 31 March 2017, RES-E generators are able to choose between Renewables Obligation (RO) and CfD schemes. From April 2017 the CfD scheme will be the only support scheme for all new RES-E plants over 5MW.",2014,GBR,IEA,
United Kingdom,"Strategic plans|Targets, plans and framework legislation","Buildings|Services|Industry|Machinery|Power, Heat and Utilities",UK National Energy Efficiency Action Plan 2014,The National Energy Efficiency Action Plan sets out the UK's energy efficiency policy and programmes and action that will be taken to meet the targets and other legislative requirements of the EU Energy Effciency Directive and includes the Building Renovation Strategy also required by the Directive.,2014,GBR,IEA,
United Kingdom,Feed-in tariffs or premiums,"Electricity and heat, Renewables",Contract for Difference (CfD) United Kingdom (2014),NA,2014,GBR,CPD,
United Kingdom,"Direct investment, Infrastructure investments, Fiscal or financial incentives, Policy support, Institutional creation, Regulatory Instruments","Electricity and heat, Gas, Oil, Renewables",Energy Act United Kingdom (2016),"The Energy act (2016) supersedes the previous versions. It makes provision and establishes the Oil and Gas Authority and its functions. Also, the act regulates the onshore wind power. 
 ",2016,GBR,CPD,
United Kingdom,Strategic planning,Electricity and heat,Scottish Energy Strategy United Kingdom (2017),"This long-term Strategy is designed to guide decision making between now and the middle of the century – over 30 years in the future. It sets two new targets for the Scottish energy system by 2030: • The equivalent of 50% of the energy for Scotland’s heat, transport and electricity consumption to be supplied from renewable sources; • An increase by 30% in the productivity of energy use across the Scottish economy.",2017,GBR,CPD,
United Kingdom,"Payments, finance and taxation|Grants","Power, Heat and Utilities|Power generation|Electricity and heat generation",Funding for the development of Advanced Modular nuclear Reactors,"The UK government announced GBP 40 million of funding to develop the next generation of nuclear energy technology, and create jobs in R&D and manufacturing. GBP 30 million will be going towards the development of three Advanced Modular Reactors (AMR) projects in Oxfordshire, Cheshire and Lancashire. AMRs are smaller than traditional nuclear plants and produce low-carbon electricity. Due to their size, they can be used at remote locations, and can produce enough energy to power anything from a small village to a medium-sized city. The remaining £10 million will be invested into unlocking smaller research, design, and manufacturing projects to create up to 200 jobs.",2020,GBR,IEA,
United Kingdom,"Payments, finance and taxation|Targets, plans and framework legislation","Power, Heat and Utilities|Heat generation",Green Gas Levy,"The Government introduced a Green Gas Levy to help fund the use of greener fuels, increase the Climate Change Levy that businesses pay on gas, and reopen and extend the Climate Change Agreement scheme by two years. This will accelerate the greening of the gas grid.  The government will consult on introducing levy-funded support for biomethane production to increase the proportion of green gas in the grid.",2020,GBR,IEA,
United Kingdom,"Strategic plans|Payments, finance and taxation|Payments and transfers|Targets|Grants","Power, Heat and Utilities|Power generation|Electricity and heat generation",Ten Point Plan for a Green Industrial Revolution - Point 1: Offshore Wind Power,"As part of the Ten Point Plan for a Green Industrial Revolution (with an expected budget of 12 billion GBP) announced by the UK's Prime Minister Boris Johnson, :     Point 1 : Advancing Offshore Wind   By 2030, plan to quadruple offshore wind capacity, including 1 GW of innovative floating offshore wind. The UK will continue using its Contract for Differences auction to realize this target, leveraging around 20 billion GBP of private investment by 2030. The government will also support:- investment of 160 million GBP in modern ports and manufacturing infrastructure.- an Offshore Transmission Network Review in 2021- a forthcoming Energy White Paper, that plans for smart systems and introducing competition in onshore networks 11 March 2021 update:Government investment in offshore wind ports- £95 million government investment for 2 new offshore wind ports to be constructed in the Humber region and Teesside, creating 6,000 new jobs - GE Renewable Energy first company confirmed to build new factory at the new Teesside port First major step in delivering Prime Minister’s green pledge to provide enough energy from offshore wind to power every home in the UK by 2030 9 August 2021 update: The government and the private sector will spend 266 million GBP to boost offshore wind manufacturing industry. Offshore wind manufacturers Siemens Gamesa and GRI Renewable Industries will receive grant funding from the government’s £160 million Offshore Wind Manufacturing Investment Support scheme. Both companies will be supplying key components to offshore wind farms providing clean power across the UK – as well as for trading generated power around the world.",2020,GBR,IEA,
United Kingdom,"Strategic plans|Regulation|Payments, finance and taxation|Framework legislation|Targets, plans and framework legislation","Power, Heat and Utilities|Power generation|Economy-wide (Multi-sector)|Electricity and heat generation",Ten Point Plan for a Green Industrial Revolution - Point 3: New and Advanced Nuclear Power,"As part of the Ten Point Plan for a greener economy, the government has declared its intention to develop nuclear power, in order to meet the expected doubling in electricity demand by 2050.       Point 3 includes:- up to GBP 385 million for the Advanced Nuclear Fund, of which up to 215 million GBP is dedicated to Small Modular Reactors. The goal is to develop a domestic smaller-scale power plant technology design that could potentially be built in factories and then assembled on site.- up to GBP 170 million for a R&D programme on Advanced Modular Reactors, which would operate at 800°C for the efficient production of hydrogen and synthetic fuels. The ambition is to build a demonstration project by early 2030s- an additional GBP 40 million investment in developing the regulatory frameworks and supporting UK supply chains.       The plans aims to leverage up to 300 million GBP of investment from the private sector for these projects.",2020,GBR,IEA,
United Kingdom,"Strategic plans|Regulation|Framework legislation|Emission standards|Targets, plans and framework legislation","Buildings|Power, Heat and Utilities|Heat and steam distribution (incl. district heating)",Ten Point Plan for a Green Industrial Revolution - Point 7: Greener Buildings,"As part of the ten point plan, the UK will develop increase buildings' energy efficiency.  The plan will increase funding by 1 billion GBP by:- extending the Green Homes Grant for another year, - increasing spending within the Public Sector Decarbonisation Scheme, - upgrading heat systems in rural areas through the Homes Upgrade Grant, - committing further funding for the Social Housing Decarbonisation Fund to continue upgrading the least efficient social housing.  The policy will also:- implement Future Home Standard (70-80% lower emissions than today),- consult on increased standards for non-domestic buildings,- upgrade EE standards of household products, including by launching an improved Energy Technology List website.  and move away from - reform pricing and regulations to reinforce the shift from fossil fueled boilers, especially for off-grid homes (target for 600 000 heat pump installations per year by 2028) - extend Energy Company Obligations for energy efficiency and addressing fuel poverty to 2026- introduce mandatory disclosure requirements for lenders on the energy performance of homes on which they lend and setting voluntary improvement targets.  Expected results: - Help improve EE of around 2.8 million homes- leverage around 11 billion GBP of private investment in the 2020s - savings of 71 MtCO2e between 2023 and 2032, or 16% of 2018 UK emissions 2021: set out Heat and Buildings Strategy 2021: Launch a world class energy related products policy framework. Push for products to use less energy, resources and materials, saving carbon and helping households and businesses to reduce their energy bills with minimum effort. By 2032: ensure that the public sector has reduced its direct emissions by 50% compared to a 2017 baseline.",2020,GBR,IEA,
United Kingdom,"Payments, finance and taxation|Investment in assets|Finance","Power, Heat and Utilities|Combined heat and power|Downstream|Transmission|Electricity and heat generation",UK Budget 2020 - Heat Networks Investment Project,"The government added GBP 96 million to the budget for the last year of the scheme, which ends in March 2022.  A further GBP 270 million will be invested in a new Green Heat Networks Scheme. It will enable new and existing heat networks to switch to low carbon sources and connect to waste heat that would otherwise be released into the atmosphere.",2020,GBR,IEA,
United Kingdom,"Payments, finance and taxation|Payments and transfers|Grants",Buildings|Services|Heating and Cooling|Existing buildings and retrofits,UK Plan for Jobs - Public Sector Decarbonisation Scheme,"The Clean Growth Strategy (published 2017) set out the government’s ambition to halve greenhouse gas emissions from the public sector by 2032.  To help achieve this and support economic recovery, the government invested £1 billion in 2020 in a Public Sector Decarbonisation Scheme that will offer grants to public sector bodies, including schools and hospitals, to fund both energy efficiency and low carbon heat upgrades. It was followed by £75 million of funding for 2021/2022 then £1.425 billion for 2022/2025.",2020,GBR,IEA,
United Kingdom,"Climate strategy, Policy support, Strategic planning, GHG reduction target","Buildings, Electricity and heat, Industry, Transport",Energy White Paper United Kingdom (2020),"The Energy White Paper puts in place a strategy for the wider energy system that transforms UK's energy and supports green recovery. The main points of the strategy is to transform the energy system by moving away from coal and investing in clean sources for energy supply, such offshore wind energy, pledging to generate carbon-free electricity by 2050. The document outlines investment in technologies as Carbon Capture and Storage (CCS), hydrogen and electric vehicles to decarbonise industry and transport sector. In the building sector, a gradual move away from fossil fuel boilers replace such appliances for lower carbon intensive alternatives. Finally, the document lays out a plan to establish the UK-ETS in order to replace the EU-ETS.",2020,GBR,CPD,
United Kingdom,"Policy support, Strategic planning","Electricity and heat, CCS, Gas, Oil, Renewables, Industry, Fossil fuel exploration and production, Industrial energy related",Oil and Gas Strategy United Kingdom (2021),"The central obligation is to take appropriate steps to assist the Secretary of State in meeting the net zero target, including by reducing greenhouse gas emissions from sources such as flaring, venting and power generation, supporting carbon capture and storage projects, and unlock clean hydrogen production.
OGA encourages and supports industry to be proactive in identifying and taking the steps necessary to reduce their greenhouse gas emissions as far as reasonable in the circumstances;",2020,GBR,CPD,
United Kingdom,"Economic instruments, Market-based instruments, GHG emissions allowances","Electricity and heat, General, Industry, Transport, Air",The Greenhouse Gas Emissions Trading Scheme Order United Kingdom (2020),"This order established a new UK emissions trading regime. The new UK- ETS applies to GHG emissions from power and heat generations, energy intensive industries, and aviation.  It also provides details on the rules governing the issuance of ""allowances"".",2020,GBR,CPD,
United Kingdom,"Policy support, Strategic planning","Transport, Industry, Electricity and heat, Renewables, Buildings, Agriculture and forestry, Forestry",National Infrastructure Strategy United Kingdom (2020),"As part of its COVID-19 economic response, the UK government has announced a National Infrastructure plan, which aims at developing national infrastructure to enable the country reaching its carbon neutrality goal.  Key measures include:
• Significant investment in offshore wind and into modern ports and manufacturing infrastructure to expand the share of energy generation from
renewables;
• Providing up to £525 million to bring forward large-scale nuclear and invest in the development of advanced nuclear technologies;
• £1 billion to support the establishment of carbon capture and storage in four industrial clusters;
• Investing in hydrogen to scale up the UK’s capacity to produce both ‘blue’ and ‘green’ hydrogen;
• Investing £1.3 billion in charging infrastructure to accelerate the mass adoption of electric vehicles ahead of ending the sale of new petrol and diesel cars by 2030;
• Enabling heat decarbonisation by supporting the roll-out of existing technologies like heat pumps and development of emerging technologies like
hydrogen;
• Funding to help England to meet its share of the Climate Change Committee’s recommendations to plant 30,000 hectares of trees a year in the UK; and
• Investing £5.2 billion by 2027 to better protect 336,000 properties and boost resilience of communities to the increased risk of flooding and coastal erosion resulting from climate change.",2020,GBR,CPD,
United Kingdom,"Economic instruments, Direct investment, Infrastructure investments, RD&D funding, Policy support, Strategic planning","Electricity and heat, Gas, Oil, Industry",North Sea Transition Deal United Kingdom (2021),"Aligned with the Energy White Paper and Ten Point Plan, this document aims at 60Mt reduction of greenhouse gas emissions including 15Mt through the progressive decarbonisation of UK Continental Shelf production, investment up to £14-16 billion by 2030 in new energy technologies (e.g. hydrogen and CCUS) and supporting energy efficiency measures. 
The North Sea Transition Deal, will enable the oil and gas sector to drive the energy transition, securing jobs and supporting decarbonisation of industries and the whole supply chain across the UK.",2021,GBR,CPD,
United Kingdom,"Policy support, Strategic planning, Target","Electricity and heat, Renewables, Industry, Transport",Hydrogen Strategy United Kingdom (2021),"This strategic policy document sets out a target of 5GW of low-carbon hydrogen production capacity in the UK by 2030. According to the government, the use of low carbon hydrogen enabled by 5GW production capacity could deliver total emissions savings of around 41MtCO2
e between 2023 and 2032, equivalent to the carbon captured by 700 million trees over the same time period.",2021,GBR,CPD,
