"","...1","Column1","Country","Country.Code","Year","Policy.Name","Policy.Description","Link","Year:.implementation","Year:.decision","Year:.end","Indicator.database.source"
"1288",1296,1296,"Switzerland","CHE",2000,"The CO2 Act / Federal Law on the Reduction of CO2","Adopted by Parliament in October 1999 and in force since May 2000, the CO2 Act covering_x000D_
energy-related CO2 emissions provides the principal legal basis for compliance with Switzerland<U+2019>s_x000D_
Kyoto commitments. To limit the use of fossil fuels accounting for about 75% of Switzerland<U+2019>s_x000D_
GHG emissions, the CO 2 Act stipulates reduction targets for 2010 compared to 1990 levels. Apart_x000D_
from an overall reduction target of 10%, emissions from heating/process fuels are to be lowered by_x000D_
15% and emissions from transport fuels by 8%. In lowering fossil fuel consumption, priority is to_x000D_
be given to voluntary action. However, if voluntary and other CO 2 -related measures do not suffice,_x000D_
the Federal Council is authorized to resort to an incentive tax. The tax rates depend on the_x000D_
shortfalls in meeting the sectoral targets and require the approval of Parliament. Net revenues are to_x000D_
be fully redistributed to the population on a per-capita basis and to businesses as a percentage of_x000D_
wages paid. The need for a CO 2 tax is determined by means of energy projection models (see_x000D_
Section 5.1.1). In assessing how far CO2 reduction targets have been met, all relevant measures in_x000D_
other policy sectors are to be taken into account. The CO2 Act allows for the use of flexible_x000D_
mechanisms supplemental to domestic action. The implementation of this provision is regulated in_x000D_
an ordinance. The way in which flexible mechanisms may be used with a view to meeting the_x000D_
Kyoto target is summarized in Section 5.5.2.",NA,NA,NA,NA,"UNFCCC National Communications NC4"
"1289",1297,1297,"Switzerland","CHE",1998,"Federal Energy Act","The Federal Energy Act of 1998 and the associated ordinances provide the legal framework for_x000D_
federal energy policy. This policy calls for extensive cooperation with the private sector, reaffirms_x000D_
the principle of subsidiarity for state intervention and gives priority to voluntary measures. In_x000D_
addition, the division of responsibilities between the federal government and the cantons is_x000D_
regulated. The Confederation can provide funds for cantons that have established programmes_x000D_
promoting energy efficiency and renewable forms of energy. In the context of voluntary_x000D_
agreements, the tasks of coordination, evaluation, monitoring and reporting are delegated to private_x000D_
energy agencies. This is compatible with the spirit of the CO 2 Act (see Section 4.2.2), which gives_x000D_
priority to voluntary action over a command-and-control approach. To some extent, voluntary_x000D_
agreements covered by the Energy Act coincide with private-sector initiatives to avoid the need for_x000D_
a CO2 tax, on the one hand, and to gain exemption if such a tax is introduced, on the other.",NA,NA,NA,NA,"UNFCCC National Communications NC4"
"1290",1298,1298,"Switzerland","CHE",NA,"The ""2000-watt society"" - a vision for Switzerland","The realization of a <U+201C>2000-watt society<U+201D> is an ambitious vision for Switzerland<U+2019>s future energy_x000D_
landscape, deriving from the Federal Council<U+2019>s Sustainable Development Strategy. Energy_x000D_
consumption in Switzerland currently corresponds to a continuous output of 6,000 watts per_x000D_
person. According to the Federal Commission for Energy Research (CORE), it would be_x000D_
technically feasible for primary consumption of fossil-based energy to be reduced to a level_x000D_
corresponding to less than 2,000 watts by 2050. Fully realizing the <U+201C>2000-watt society<U+201D>, however,_x000D_
would take considerably longer, as this would require a reduction of total primary energy_x000D_
consumption to 2,000 watts and a decrease in annual CO2 emissions to 1 tonne per capita. For the_x000D_
latter goal to be achieved, only 500 of the 2,000 watts could be based on fossil fuels. With the aid_x000D_
of technology roadmaps, CORE is seeking to plot a course towards this goal and to identify_x000D_
research needs in vital areas of technology (SFOE 2004).",NA,NA,NA,NA,"UNFCCC National Communications NC4"
"1291",1299,1299,"Switzerland","CHE",NA,"MINERGIE lable for energy-efficient buildings","The concept of <U+201C>MINERGIE<U+201D> refers to the rational use of energy and renewables",NA,NA,NA,NA,"UNFCCC National Communications NC4"
"1292",1300,1300,"Switzerland","CHE",NA,"Article 89 of the Federal Constitution","Paragraph 89 of the Swiss Federal Constitution declares that the government_x000D_
has to provide for a sufficient, well assorted, secure, economic and environmentally friendly_x000D_
energy supply, and for the rational and efficient use of energy. In addition, the distribution_x000D_
of competencies between the federal government and the cantons are regulated. T",NA,NA,NA,NA,"UNFCCC National Communications NC3"
"1293",1301,1301,"Switzerland","CHE",1991,"Energy 2000 programme, 1991 - 2000","The <U+2018>Energy 2000<U+2019> progamme started in 1991 and lasted until the end of 2000. It_x000D_
is now being followed up by the <U+2018>SwissEnergy<U+2019> action plan. Considerable experience,_x000D_
and many products from <U+2018>Energy 2000<U+2019> have been carried over into the <U+2018>SwissEnergy<U+2019>_x000D_
action plan. The main changes are in the structural organisation and the brand._x000D_
In this section the products and results of <U+2018>Energy 2000<U+2019> are described, and in_x000D_
section 4.4.2 the targets and organisation of the <U+2018>SwissEnergy<U+2019> action plan, which_x000D_
started in 2001, are shown._x000D_
The <U+2018>Energy 2000<U+2019> programme aimed to stabilise total fossil fuel consumption and_x000D_
CO2 emissions at 1990 levels by 2000, and then to reduce them by 10 per cent_x000D_
by 2010. This aim is compatible with the CO2 Law (under the commitments made_x000D_
at the Kyoto climate conference in December 1997). A continuous reduction in_x000D_
the growth rate of electricity consumption during the 1990s, and stabilisation_x000D_
of demand after 2000 were also foreseen. Thirdly, the proportion of renewable_x000D_
energy was to be increased by 0.5 per cent for electricity generation, and by 3 per_x000D_
cent for heat generation, by the year 2000. At the same time, the production of_x000D_
hydropower was to be increased by 5 per cent and the capacity of existing nuclear_x000D_
plant by 10 per cent. The <U+2018>Energy 2000<U+2019> programme induced many activities (not specially described_x000D_
here), such as energy management (for instance in hospitals), energy audits in companies,_x000D_
supporting the use of renewable energy, encouraging energy efficiency, information_x000D_
partnership in the building sector, energy saving services for small and medium enterprises,_x000D_
optimisation of construction technologies. <U+201E>Energy 2000<U+201C> is based on the following_x000D_
three principles._x000D_
1. Voluntary measures for the efficient use_x000D_
of energy and for the use of renewable_x000D_
forms of energy._x000D_
2. State framework conditions for a supply_x000D_
of energy which is sufficient, safe, and_x000D_
acceptable economically and_x000D_
environmentally, and also for a non-_x000D_
wasteful, efficient use of energy._x000D_
3. Discussion of controversial themes (e.g_x000D_
nuclear energy, measures for saving_x000D_
energy) with interest groups and those_x000D_
affected._x000D_
<U+201E>Energy 2000<U+201C> is based on partnership with_x000D_
all spheres affected. Cantons, communes,_x000D_
business and private individuals promote_x000D_
energy efficiency and the use of renewable_x000D_
sources of energy through voluntary_x000D_
measures and with financial contributions.",NA,NA,NA,NA,"UNFCCC National Communications NC3"
"1294",1302,1302,"Switzerland","CHE",2001,"Federal Law on the Electricity Market","liberalisation of the Swiss energy marked. A public referendum on this will take place in 2002. The law provides substantial_x000D_
support for renewable electricity production. However, falling electricity prices might_x000D_
offset incentives to use energy more efficiently. A law on the natural gas market is also_x000D_
in preparation.",NA,NA,NA,NA,"UNFCCC National Communications NC3"
"1295",1303,1303,"Switzerland","CHE",1991,"Cantons guiding priciples for target oriented energy policy harmonisation","Several cantons have adopted guiding principles for a target oriented energy_x000D_
policy. Since 1991, the energy regulations on heat and electricity consumption have been_x000D_
amended in almost all cantons in accordance with current technology. In most cantons, new_x000D_
energy regulations are under discussion or have already been enforced (including extended_x000D_
requirements for new buildings). The national development of specimen regulations for_x000D_
cantonal energy policy is an important prerequisite for harmonisation. Unfortunately,_x000D_
the changeover from the federal responsibility on energy use in buildings to cantonal_x000D_
regulations has led to rescinding of important clauses. This was specifically the case_x000D_
for the consumption-related billing of heating costs in existing buildings. Most cantons_x000D_
promote energy efficiency and the use of renewable energy through their own promotion_x000D_
programmes. The enforcement of energy policy measures is facilitated in nearly all cantons_x000D_
by the production of implementation aids (implementation files, forms), information and_x000D_
training events, and regular monitoring of results. Quality assurance of energy measures_x000D_
in the building sector (checks on building sites) is still unsatisfactory. However, in the_x000D_
course of the last decade personnel resources at the cantonal level have generally been_x000D_
on the decline.",NA,NA,NA,NA,"UNFCCC National Communications NC3"
"1296",1304,1304,"Switzerland","CHE",1991,"Energienutzungsbeschluss (ENB) Decree on Energy Use","With the Decree on Energy_x000D_
Use (<U+201E>Energienutzungsbeschluss<U+201C> ENB) of_x000D_
14th December 1990, and the planned_x000D_
Energy Law, efforts to decrease the use of_x000D_
electricity and of fossil fuels are intensified,_x000D_
thereby reducing air pollutant emissions, and_x000D_
other adverse environmental effects. T",NA,NA,NA,NA,"UNFCCC National Communications NC2"
"1297",1305,1305,"Switzerland","CHE",1992,"Individual heating and hot water metering (new buildings)","This measure holds for new buildings (from_x000D_
1992) and for existing buildings (from 1998)_x000D_
with five or more heating accounts. e_x000D_
actual consumption of heat and hot water is registered using meters and taken into_x000D_
account in calculating the cost of heating._x000D_
This can lead to energy-saving behaviour_x000D_
which can reduce the consumption of energy_x000D_
in the residential sector by about 5-7 %, and_x000D_
in service sector buildings by about 10 %.",NA,NA,NA,NA,"UNFCCC National Communications NC2"
"1298",1306,1306,"Switzerland","CHE",1998,"Individual heating and hot water metering (existing buildings)","This measure holds for new buildings (from_x000D_
1992) and for existing buildings (from 1998)_x000D_
with five or more heating accounts. e_x000D_
actual consumption of heat and hot water is registered using meters and taken into_x000D_
account in calculating the cost of heating._x000D_
This can lead to energy-saving behaviour_x000D_
which can reduce the consumption of energy_x000D_
in the residential sector by about 5-7 %, and_x000D_
in service sector buildings by about 10 %.",NA,NA,NA,NA,"UNFCCC National Communications NC2"
"1299",1307,1307,"Switzerland","CHE",1995,"value added tax on fuel and electricity","In 1995 Switzerland changed over to value_x000D_
added tax (from a previous tax on the_x000D_
turnover of businesses) and at this point the_x000D_
rate of taxation was increased from 6.2 to_x000D_
6.5 % and tax was imposed on fuel, and_x000D_
electricity, which had both previously been_x000D_
exempt from tax. Since 1st January 1995,_x000D_
based on a Federal Ordinance, tax_x000D_
allowances have been specified towards the_x000D_
costs of investments in existing private_x000D_
buildings for the efficient use of energy and_x000D_
the use of renewable sources.",NA,NA,NA,NA,"UNFCCC National Communications NC2"
"1300",1308,1308,"Switzerland","CHE",NA,"Declarations for installations, automobiles_x000D_
automobiles and appliances_x000D_
energy-using equipment",NA,NA,NA,NA,NA,"UNFCCC National Communications NC1"
"1301",1309,1309,"Switzerland","CHE",NA,"Limit/Target Values for_x000D_
new buildings and_x000D_
conversions_x000D_
of buildings","Reduction of energy_x000D_
needed for heating;_x000D_
private households, crafts and_x000D_
services, agriculture",NA,NA,NA,NA,"UNFCCC National Communications NC1"
"1302",1310,1310,"Switzerland","CHE",NA,"Maximum values of con-_x000D_
values for heating installations heating systems, including standby  mode",NA,NA,NA,NA,NA,"UNFCCC National Communications NC1"
"1303",1311,1311,"Switzerland","CHE",NA,"Emission limit values for heating installations",NA,NA,NA,NA,NA,"UNFCCC National Communications NC1"
"1304",1312,1312,"Switzerland","CHE",NA,"Support for the recovery of_x000D_
heat loss",NA,NA,NA,NA,NA,"UNFCCC National Communications NC1"
"1305",1313,1313,"Switzerland","CHE",NA,"Support for renewable energy",NA,NA,NA,NA,NA,"UNFCCC National Communications NC1"
"1306",1314,1314,"United Kingdom","GBR",2008,"UK Climate Change Act","The UK passed the Climate Change Act in November 2008, introducing the world<U+2019>s first long-_x000D_
term legally binding framework to reduce GHG emissions. The Act is the central piece of_x000D_
legislation that governs the UK approach to tackling climate change._x000D_
The Act specifies that the UK must reduce its emissions by at least 80% by 2050 relative to_x000D_
1990 levels (the international baseline) and by at least 34% by 2020. The Act requires carbon_x000D_
budgets be set providing a framework for meeting our statutory targets by setting a maximum_x000D_
emissions limit over each five-year period._x000D_
The Act established the Committee on Climate Change (CCC) <U+2013> an independent body that_x000D_
advises the government on emissions targets, and reports to Parliament on progress made in_x000D_
reducing GHG emissions, which the Government is required to respond to._x000D_
Scotland has set targets to reduce Scottish emissions of greenhouse gases by 80% by 2050_x000D_
with an interim target of 42% by 2020 in the Climate Change (Scotland) Act 2009. Delivery of_x000D_
these targets is supported by a framework of annual targets set in secondary legislation.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1307",1315,1315,"United Kingdom","GBR",NA,"Carbon Abatement technologies","The focus of the UK government<U+2019>s approach on carbon abatement technologies is the_x000D_
development of carbon capture usage and storage (CCUS). CCUS is a chain of technologies_x000D_
designed to remove the CO2 from power and industrial sources and either use it as a feedstock,_x000D_
or transport it for safe permanent storage in saline aquifers or depleted oil and gas fields. It is_x000D_
the only approach that has the potential to turn high carbon fuels into genuinely low carbon_x000D_
electricity and to decarbonise many industrial activities._x000D_
The UK government believes CCUS could play a significant role in low carbon electricity_x000D_
generation, low carbon hydrogen production, and decarbonising energy intensive industry. The_x000D_
Government has set out the approach to CCUS in the Clean Growth Strategy112_x000D_
, including the_x000D_
ambition to have the option of deploying CCUS at scale during the 2030s, subject to global cost_x000D_
reductions.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1308",1316,1316,"United Kingdom","GBR",NA,"Non-Domestic Green Deal and energy efficiency","The Sixth National Communication reported on the establishment of the Green Deal, which_x000D_
enables consumers to take out loans to pay for energy efficiency improvements in their_x000D_
properties, with repayments made through their energy bill. Repayments are made on a Pay-_x000D_
As-You-Save (PAYS) basis: after the improvement has been made, the consumer begins to save_x000D_
energy, their energy bills are less than they would have been without the improvement, and_x000D_
these savings are used to repay the loan._x000D_
The National Communication reported some early interest in the Green Deal. At that stage,_x000D_
there had been over 100,000 Green Deal Assessments in properties (the first step before taking_x000D_
out a Green Deal loan). The initial interest was in domestic properties, and the Government_x000D_
had envisaged that the non-domestic Green Deal market would take longer than the domestic_x000D_
market to develop._x000D_
In the event, uptake across both sectors was significantly below expectations. In July 2015,_x000D_
the Government announced there would be no further public investment in the scheme. The_x000D_
Framework set up to support the programme, however, remained in place to service existing_x000D_
Green Deal Plans and for any private finance providers wishing to enter the market._x000D_
The Government is now considering options for the future of the Green Deal Framework in the_x000D_
light of a number of factors. There may be several reasons why the uptake of the Green Deal_x000D_
was below expectations, and the Government will learn from these. The Government believes,_x000D_
however, that the PAYS mechanism at the heart of the Green Deal could still play a valuable role,_x000D_
in both the domestic and non-domestic market. A key factor for optimism that PAYS can play_x000D_
a role is the interest from a number of finance providers, not least from the new owners of the_x000D_
Green Deal Finance Company, which was the vehicle originally created to finance Green Deal_x000D_
loans and in which the Government ended public investment during 2015._x000D_
In October 2017, the Government launched a <U+201C>Call for Evidence on the reform of the Green Deal_x000D_
Framework<U+201D>. The outcomes of this call for evidence will help to inform Government decisions on_x000D_
the future of the Green Deal, including for the non-domestic sector.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1309",1317,1317,"United Kingdom","GBR",2018,"Scotland's Energy Efficiency Programme (SEEP)","Scotland<U+2019>s Energy Efficiency Programme (SEEP) which will operate across Scotland will be_x000D_
launched in 2018 with substantial annual public funding drawing on the commitment to provide_x000D_
over half a billion pounds over the next four years and by the end of 2021 Scottish Government_x000D_
will have allocated over <U+00A3>1 billion since 2009 on tackling fuel poverty and energy efficiency measures. It will be a co-ordinated programme to improve the energy efficiency of homes and_x000D_
buildings in the commercial, public and industrial sectors. Initial estimates suggest required_x000D_
overall investment of around <U+00A3>10bn from a range of public and private sources._x000D_
The Scottish Government<U+2019>s existing advice, support and loan services for residential (Home_x000D_
Energy Scotland) and the business and public sectors (Resource Efficient Scotland) will continue_x000D_
to deliver during the design phase of SEEP. As SEEP develops over the longer term, the future_x000D_
provision of advice and information to homes, businesses, and the public sector, to support_x000D_
them in improving the energy efficiency and decarbonising the heat supply of their buildings will_x000D_
be considered.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1310",1318,1318,"United Kingdom","GBR",NA,"Energy from waste","The incineration of energy from waste (EfW) is supported under the RHI through the biomass_x000D_
tariff and so links to the energy supply section. The RHI pays a tariff for the proportion of_x000D_
heat generated from the biomass in municipal solid waste (MSW), which is typically 50% or_x000D_
higher. Currently, other types of waste, such as commercial and industrial waste are excluded._x000D_
However, other types of waste are supported under the Renewables Obligation (RO)._x000D_
Energy from waste has the dual benefit of producing renewable energy and avoiding harmful_x000D_
CH4 emissions when the biodegradable proportion of this waste decays in landfill. The main_x000D_
input fuels for incineration are currently waste collected by local authorities , commercial and_x000D_
industrial waste, and in some cases construction and demolition waste._x000D_
The Government wishs to align the RO with the RHI and not present additional barriers to_x000D_
participants already complying with the RO requirements. It will therefore extend support_x000D_
under the RHI to energy from commercial and industrial wastes where not more than 90% of_x000D_
the waste is, or is derived, from fossil fuel (i.e. waste has a biomass content of at least 10%)._x000D_
Participants will receive support only on the biomass proportion of their waste and will therefore_x000D_
have to demonstrate what proportion of the waste is biomass.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1311",1319,1319,"United Kingdom","GBR",2000,"Warm Front","Warm Front installed heating and insulation measures_x000D_
to make homes warmer and more energy efficient for_x000D_
private sector households in England vulnerable to fuel_x000D_
poverty. The scheme offered a package of heating and_x000D_
insulation measures of up to <U+00A3>3,500 (or <U+00A3>6,000 where_x000D_
oil central heating or other alternative technologies are_x000D_
recommended).",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1312",1320,1320,"United Kingdom","GBR",2001,"Climate Change Levy (CCL)","The Climate Change Levy (CCL) was introduced in_x000D_
2001. It is levied on the supply of energy to business and_x000D_
public sector consumers. Each of the four main groups_x000D_
of taxable commodities (electricity, gas, solid fuels, and_x000D_
liquefied petroleum gas [LPG]) has its own main rate per_x000D_
unit of energy. The main rates of the CCL are intended to_x000D_
incentivise businesses to reduce their energy consumption._x000D_
Eligible energy-intensive industries may pay reduced main_x000D_
rates of CCL through CCAs, or be exempt from the CCL for_x000D_
mineralogical/metallurgical processes.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1313",1321,1321,"United Kingdom","GBR",2002,"New Energy Supply_x000D_
policies 1","Grouped savings produced by a selection of post-2009_x000D_
energy supply policies as indicated in this table with a_x000D_
label <U+2018>1<U+2019>.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1314",1322,1322,"United Kingdom","GBR",2002,"Renewables Obligation 1","Sets an annual obligation on electricity suppliers to source_x000D_
a proportion of their generation from renewable sources._x000D_
Targets can be met by providing Renewable Energy_x000D_
Certificates (ROCs) or paying into the RO buy-out fund._x000D_
The RO closed to new applicants on 31 March 2017.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1315",1323,1323,"United Kingdom","GBR",2002,"Building Regulations Part_x000D_
L (2002+2005/6) *","Building Regulations set minimum energy performance_x000D_
standards for new buildings and when people carry out_x000D_
controlled <U+2018>building work<U+2019> to existing properties including_x000D_
extensions, conversions and certain categories of_x000D_
renovation and replacement windows and boilers.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1316",1324,1324,"United Kingdom","GBR",2002,"Carbon Trust measures","The Carbon Trust provides a range of measures from_x000D_
general advice to in-depth consultancy and accreditation,_x000D_
to reduce emissions and save energy and money to_x000D_
businesses and public sector organisations of all sizes.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1317",1325,1325,"United Kingdom","GBR",2002,"Energy Efficiency Commitment EEC1, EEC2 (2002-_x000D_
2008) & Baseline_x000D_
Carbon Emissions_x000D_
Reductions Target (CERT)_x000D_
(2008-2010)","Energy Efficiency Commitment I (EEC I): GB wide regulation_x000D_
that required all electricity and gas suppliers with 15,000_x000D_
or more domestic customers to achieve a combined_x000D_
energy saving of 62 TWh by 2005 by incentivising their_x000D_
customers to install energy-efficiency measures in homes._x000D_
EEC II <U+2013> energy suppliers with more than 50,000 domestic_x000D_
customers required to deliver a total of 130 TWh lifetime_x000D_
energy use reductions in GB households, primarily through_x000D_
the promotion of energy efficiency measures. Carbon_x000D_
Emission Reduction Target (CERT) <U+2013> GB regulation that_x000D_
required all domestic energy suppliers with a customer_x000D_
base in excess of 50,000 domestic customers to make_x000D_
savings in the amount of CO2 emitted by householders.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1318",1326,1326,"United Kingdom","GBR",2004,"Public Sector Energy_x000D_
Efficiency Loans Scheme *","The Public Sector Energy Efficiency Loans Scheme,_x000D_
managed by Salix Finance Ltd, provides interest-free_x000D_
loans in England to public sector organisations for energy_x000D_
efficiency schemes. These loans are intended to provide_x000D_
the capital cost of energy efficiency retrofit work and other_x000D_
measures to be installed. These loans have a payback_x000D_
period of five years (eight for schools) during which the_x000D_
repayments are met with the energy bill savings from the_x000D_
energy efficiency measures. Thus, once the loan has been_x000D_
paid off, the organisations continue to benefit from energy_x000D_
savings for the lifetime of these measures. This funding is_x000D_
then recycled once it has been returned to the Scheme and_x000D_
once again loaned out. BEIS provides the most amount of_x000D_
funding to the Scheme but there is also some funding from_x000D_
Scotland, Wales and the Department for Education.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1319",1327,1327,"United Kingdom","GBR",2004,"Small and Medium_x000D_
Enterprises (SME) Loans *","he Carbon Trust provided interest free loans of <U+00A3>3,000_x000D_
<U+2013> <U+00A3>400,000 for small and medium sized businesses to_x000D_
invest in energy efficiency equipment and renewable_x000D_
technologies. These loans were designed so that in most_x000D_
cases the forecast reduction in energy costs would be_x000D_
similar to the total repayment amount.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1320",1328,1328,"United Kingdom","GBR",2005,"EU Emissions_x000D_
Trading System","It sets an emissions target (cap) for installations covered_x000D_
by the system (across the EU), with the carbon market_x000D_
determining the carbon price, and therefore where_x000D_
emissions can be reduced most cheaply. It guarantees that_x000D_
total emissions in the sectors covered will not exceed the_x000D_
cap set, and in doing so drives investments in low-carbon_x000D_
technologies, leading to cutting emissions of carbon_x000D_
dioxide (CO2_x000D_
) and other greenhouse gases at least cost.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1321",1329,1329,"United Kingdom","GBR",2007,"Large Combustion_x000D_
Plant Directive","The Large Combustion Plant Directive (LCPD, 2001/80/EC)_x000D_
sets limits on emissions of sulphur dioxide, nitrogen oxides,_x000D_
and dust from combustion plants with a thermal capacity of_x000D_
50 MW or greater. Has now been replaced by the Industrial_x000D_
Emissions Directive.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1322",1330,1330,"United Kingdom","GBR",2007,"Energy Performance of_x000D_
Buildings Directive (EPBD)","Energy Performance Certificates (EPCs) are required_x000D_
when any building is sold, rented out or constructed, and_x000D_
sometimes after refurbishment work. EPCs give information_x000D_
on a building<U+2019>s energy efficiency in a sliding scale from <U+2018>A<U+2019>_x000D_
(very efficient) to <U+2018>G<U+2019> (least efficient) Energy Performance_x000D_
Certificates (EPCs) are required when any building is_x000D_
sold, rented out or constructed, and after refurbishment_x000D_
when construction work is undertaken to a building and_x000D_
the modifications change the number of parts designed_x000D_
or altered for separate use and include the provision or_x000D_
extension of any fixed services for heating, hot water,_x000D_
air-conditioning and mechanical ventilation. EPCs give_x000D_
information on a building<U+2019>s energy efficiency in a sliding_x000D_
scale from <U+2018>A<U+2019> (very efficient) to <U+2018>G<U+2019> (least efficient).",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1323",1331,1331,"United Kingdom","GBR",2009,"Additional renewables in_x000D_
generation (Renewable_x000D_
Energy Strategy) 1","Increases Renewable Obligation (RO) targets in_x000D_
electricity supply so as meet the UK<U+2019>s overall renewables_x000D_
target for 2020 as set  out in the Renewalbles Directive (RED, 2009/28/EC)",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1324",1332,1332,"United Kingdom","GBR",2009,"Community Energy Saving_x000D_
Programme (CESP) *","Community Energy Saving Programme (CESP) <U+2013> area_x000D_
based regulation that targeted households across Great_x000D_
Britain, in areas of low income, to improve energy efficiency_x000D_
standards, and reduce fuel bills. CESP was funded by an_x000D_
obligation on larger energy suppliers and also the larger,_x000D_
electricity generators.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1325",1333,1333,"United Kingdom","GBR",2010,"Feed in Tariffs (FITS) *","Feed-in Tariffs (FITs) support organisations, businesses,_x000D_
communities and individuals to generate low-carbon_x000D_
electricity using small-scale (5 MW or less total installed_x000D_
capacity) systems. Electricity suppliers are obliged to pay_x000D_
the regulated tariffs to eligible generators.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1326",1334,1334,"United Kingdom","GBR",2010,"Building Regulations 2010_x000D_
Part L *","Building Regulations set minimum energy performance_x000D_
standards for new buildings and when people carry out_x000D_
controlled <U+2018>building work<U+2019> to existing properties including_x000D_
extensions, conversions and certain categories of_x000D_
renovation and replacement windows and boilers.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1327",1335,1335,"United Kingdom","GBR",2010,"CRC Energy Efficiency Scheme","the Carbon Reduction Commitment (CRC) is a mandatory_x000D_
UK-wide emissions trading scheme (launched in 2010)._x000D_
It encourages the uptake of energy efficiency measures_x000D_
in large non-energy intensive private and public sector_x000D_
organisations that use energy not covered by the EU ETS_x000D_
or Climate Change Agreements. It covers 1800-1900 large_x000D_
users of energy across the business and public sector. The_x000D_
scheme is split into phases. Phase 1 ran from 1 April 2010_x000D_
until 31 March 2014. Phase 2 runs from 1 April 2014 until_x000D_
31 March 2019. In the 2016 Spring Budget, the Chancellor_x000D_
announced the closure of the CRC after Phase 2 (i.e._x000D_
following the 2018/19 compliance year).t",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1328",1336,1336,"United Kingdom","GBR",2010,"Carbon Emissions Reduction Target (CERT) Uplift and Extension (2010-12)","CERT extension <U+2013> increased the targets originally set under_x000D_
CERT by 20% and required domestic energy suppliers_x000D_
with a customer base in excess of 50,000 (later increased_x000D_
to 250,000) to make savings in the amount of CO2 emitted_x000D_
by householders. The extension also refocused subsidy_x000D_
towards insulation measures and away from electricity_x000D_
saving measures such as low energy lighting <U+2013> and_x000D_
introduced a super priority group (households in receipt of_x000D_
certain means-tested benefits) to make energy reductions_x000D_
in low income and vulnerable households.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1329",1337,1337,"United Kingdom","GBR",2011,"Renewable Heat Incentive","The Non-Domestic Renewable Heat Incentive (RHI)_x000D_
provides financial incentives to increase the uptake of_x000D_
renewable heat by businesses, the public sector and_x000D_
non-profit organisations. Eligible installations receive_x000D_
quarterly payments for 20 years based on the amount_x000D_
of heat generated. The Domestic RHI is a government_x000D_
financial incentive to promote the use of renewable heat._x000D_
Eligible installations receive quarterly payments for seven_x000D_
years for the amount of renewable heat it is estimated their_x000D_
system produces.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1330",1338,1338,"United Kingdom","GBR",2012,"Smart Metering","The smart metering programme will replace 53 million_x000D_
meters with smart electricity and gas meters in all domestic_x000D_
properties, and smart or advanced meters in smaller_x000D_
non domestic sites in Great Britain by the end of 2020._x000D_
Smart meters will deliver consumers with near-real time_x000D_
information on their energy consumption to help them_x000D_
control energy use, and avoid wasting energy and money._x000D_
It will deliver energy networks with better information upon_x000D_
which to manage and plan current activities. Smart meters_x000D_
will also assist the move towards smart grids which support_x000D_
sustainable energy supply and will help reduce the total_x000D_
energy needed in the system.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1331",1339,1339,"United Kingdom","GBR",2013,"Carbon Price Floor 1 *","The Carbon Price Floor (CPF) is designed to further reduce_x000D_
the use of emission-intensive fossil fuels and increase the_x000D_
proportion of electricity generation and supply from low_x000D_
carbon sources.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1332",1340,1340,"United Kingdom","GBR",2013,"Building Regulations 2013_x000D_
Part L","Building Regulations set minimum energy performance_x000D_
standards for new buildings and when people carry out_x000D_
controlled <U+2018>building work<U+2019> to existing properties including_x000D_
extensions, conversions and certain categories of_x000D_
renovation and replacement windows and boilers.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
