Policy,URL,Description,Source,Last updated,Learn more,Topics,Policy types,Sectors,Technologies,End uses,Country,Year,Status,Jurisdiction,country_code
Danish Energy Agreement for 2012-2020,https://www.iea.org/policies/606-danish-energy-agreement-for-2012-2020,"The Agreement establishes a framework for the policy on climate and energy up to 2020 and outlines the direction  Denmark will take until 2050. According to the Agreement in 2020 half of the electricity consumption will come from wind power, enabling a share of 35% renewable energy in gross energy consumption in 2020. Moreover, the energy consumption is to decrease by more than 12 % in 2020 compared to 2006. The initiatives in the Agreement will lead to CO2 emissions in 2020 being  34% lower than they were in 1990. At the same time, the Agreement is to ensure a stable framework for the business community as a whole, and the energy sector in particular.   Renewable energy in power generation The Agreement secures substantial expansion of wind power, corresponding to the annual consumption of 1 ½ million households. Thus in 2020, wind power will account for approximately 50% of Danish electricity consumption. The Agreement implies that: 600 MW offshore wind turbines will be built at Kriegers Flak and 400 MW offshore wind turbines will be built at Horns Rev before 2020; a further 500 MW offshore wind turbines will be installed near the coast before 2020; new planning tools will encourage development of onshore wind turbines with a total capacity of 1,800 MW up until 2020; over a period of four years, a total of DKK 100 million will be committed to funding development and use of new renewable energy technologies for electricity production (solar, waves ,etc.) as well as DKK 25 million for wave power demonstration facilities. Energy-efficiency  measures With the Agreement initiatives, in 2020 Denmark will have reduced its final energy consumption (excluding consumption for transport) by almost 8% compared to 2010. The Agreement contains the following elements: energy companies must realise specific energy savings exceeding today requirements, e.g. by consulting energy experts and by offering subsidies to e.g. households and businesses; energy companies must increase efforts by 75% from 2013 to 2014, and by 100% from 2015 to 2020 compared to 2010-12; a comprehensive strategy for energy renovation of all Danish buildings will be developed. Green heating measures: converting from coal to biomass at large-scale power plants will be made more attractive by amending the Heating Supply Act; the smaller open-field plants that are struggling in the wake of high heating prices will be allowed to produce cheap heating based on biomass; DKK 35 million will be committed to promoting new renewable technologies, e.g. geothermal energy and large heat pumps. Renewable energy in buildings   The Agreement supports the phasing-out of oil-fired boilers in existing buildings by: banning installation of oil-fired boilers and natural gas boilers in new buildings from 2013; banning installation of new oil-fired boilers in existing buildings in areas where district heating or natural gas is available from 2016; committing DKK 42 million in 2012-15 to fund the conversion from oil-fired boilers and natural gas boilers in existing buildings to renewable energy. Renewable energy in industry Industry must also convert to a greener energy system. Therefore the Agreement lays down that: -                a subsidy should be given to help promote investment in energy efficient use of renewable energy in the production processes of enterprises. In the period 2014 to 2020, the subsidy will be increased to DKK 500 million a year from DKK 250 million in 2013: -                  funding of DKK 30 million per year from 2013 to 2020 will be introduced to maintain and promote industrial CHP in industries and greenhouses. Deployment of Smart Grids Large electricity consumption in combination with wind power requires an intelligent energy system. Therefore the Agreement lays down that: a comprehensive strategy for establishing smart grids in Denmark is to be drawn up; An expansion of biogas is also to be implemented. In order to create momentum in this must improve the economic conditions for biogas production and biogas must to a greater extent than today could be used outside the cogeneration sector. The parties are, therefore, agree that it total support for biogas used for cogeneration or sent out into the natural gas network should be able toreceive support of DKK 115 / GJ in 2012;  In the long term, the transport sector must undergo a radical transformation from fossil fuels to new ones propellants such as electricity and biomass; Investments in research, development and demonstration are prerequisites for Danish companies in so that they can develop and sell green solutions and create green jobs in the long term.",IEA/IRENA Renewables Policies Database,14 September 2020,https://ens.dk/sites/ens.dk/files/EnergiKlimapolitik/aftale_22-03-2012_final_ren.doc.pdf,Energy Efficiency|Technology R&D and innovation|Renewable Energy,"Regulation|Payments, finance and taxation|Targets, plans and framework legislation","Buildings|Industry|Power, Heat and Utilities",Geothermal electricity|Electricity generation and CHP technologies,Undefined,Denmark,2012,Ended,National,DNK
"Building Renovation Program (Das Gebäudeprogramm, Le Programme Bâtiments)",https://www.iea.org/policies/5024-building-renovation-program-das-gebaudeprogramm-le-programme-batiments,"The Building Programme has been implemented to encourage energy efficient renovation of old buildings with the purpose of lowering greenhouse gas emissions (mostly CO2). The Building Programme is executed together with almost all of Switzerland's cantons, who encourage the use of renewable energy, waste heat, improved building technology and also total building renovation. A small portion of the CO2-levy from the use of fossil fuels in stationary applications (Fr. 30 million per year) is administered directly by the Confederation to encourage the direct use of geothermal energy for heating purposes in buildings provided their greenhouse gas emissions (particularly CO2) are reduced.",IEA/IRENA Renewables Policies Database,19 July 2018,http://www.dasgebaeudeprogramm.ch/index.php/fr,Renewable Energy,"Payments, finance and taxation|Funds to sub-national governments|Payments and transfers|Grants","Buildings|Power, Heat and Utilities|Power generation|Combined heat and power|Heating and Cooling|Electricity and heat generation",Combined heat and power (CHP),Undefined,Switzerland,2010,Ended,National,CHE
Energy efficiency measures for fuel poverty alleviation (Living Better Programme),https://www.iea.org/policies/8515-energy-efficiency-measures-for-fuel-poverty-alleviation-living-better-programme,"Habiter mieux is a program of the ANAH (Agence national de l'habitat) which finance a set of renovation interventions aiming at realising comprehensive thermal renovations of homes of low-income households. The maximum amount of funding for a recepient is between 7000 and 10000 euros according to the income of the recipient.  ""Very low-income households"" are entitled to: 50% of the renovation expenses up to 10000 euros a premium of 10% of the total amount of renovation expenses up to 2000 euros ""Low-income households"" are entitled to: 35% of the renovation expenses up to 7000 euros a premium of 10% of the total amount of renovation expenses up to 1600 euros In order to define which are the best renovation interventions the occupying owner is accompanied by a consultant-operator. In order to finance this procedure a grant of 573 euros is provided. This support scheme can be combined with other support schemes such as Crédit d’Impôt pour la Transition Energétique (CITE) et l’Eco-prêt à taux zéro (Eco-PTZ),",Undefined,7 November 2019,https://www.eceee.org/library/conference_proceedings/eceee_Summer_Studies/2015/6-policies-and-programmes-towards-a-zero-energy-building-stock/alleviating-fuel-poverty-through-energy-efficiency-measures-the-french-programme-habiter-mieux/,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Buildings|Residential|Existing buildings and retrofits,Building envelope technologies,Undefined,France,2010,Ended,National,FRA
National commitment to the environment - Grenelle 2,https://www.iea.org/policies/408-national-commitment-to-the-environment-grenelle-2,"Grenelle 2 is the law establishing France ""national commitment to the environment,"" and corresponds to the implementation of part of the Grenelle Environment Forum suggestions. Objective: design and construct buildings more energy-conscious and better coordinated with the planning policies of housing, commercial development and transportation, while improving the quality of life for residents. Action taken: Support technological advancements, promote efficient urban land resources and energy use, organise transport to provide for public mobility needs while being environmentally friendly. Beginning in 2020, new buildings must be energy positive. Starting in 2013, renovation of old buildings must happen at a rate of 400,000 per year. Objective: upgrade transport infrastructure and behaviour. Action taken: Develop urban public transport, suburban and high speed, develop electric vehicles and plug-in hybrids, experiment with congestion charging, and encourage rail freight and shipping, reduce energy consumption and their carbon emissions. Objective: drastically reduce emissions of greenhouse gases by saving energy and making cities more carbon-free.Action taken: Promote the development of renewable energy, enforce and expand mandatory environmental labelling on products, conduct assessments of greenhouse gas emissions and develop an action plan to reduce them, and extend energy efficiency certificates. Objective: ensure a proper functioning of ecosystems by protecting species and habitats. Aciton taken: develop the Green and Blue, make agriculture sustainable, protect wetlands and drinking water catchments, supervise on-site sanitation and fight against water losses in networks, protect the sea and coastline and work to preserve biodiversity. Objective: establish the necessary tools to start an ecological democracy, as in the private sector in the public sphere.Action taken: develop reports on social and environmental aspects, in addition to financial reports; strengthen public consultation guidelines; reform the EESC and the CESR; designate representative environmental associations to participate in institutional dialogues; and enforce risk control, waste treatment, and health maintenance. Objective: Protect the health of everyone and respect the environment by preventing risks, fighting against all forms of pollution, and managing waste more sustainably. Action taken: fight against air pollution, light pollution, and noise; extend the means to fight against floods; consider emerging risks (nanosubstances, electromagnetic waves); implement a sustainable waste management system.",IEA/IRENA Renewables Policies Database,7 November 2019,https://www.ademe.fr/expertises/batiment/elements-contexte/politiques-vigueur/lois-grenelle-transition-energetique-croissance-verte,Energy Efficiency|Renewable Energy,"Regulation|Information and education|Payments, finance and taxation",Buildings|Transport|Economy-wide (Multi-sector),Undefined,Undefined,France,2010,In force,National,FRA
Special fund to support the implementation of energy efficiency targets,https://www.iea.org/policies/750-special-fund-to-support-the-implementation-of-energy-efficiency-targets,"Decree-Law of 25 March 2010, No 40, established a special fund for the implementation of objectives related to energy efficiency, environmental protection and workplace safety in 2010.The Decree of 26 March 2010 specifies the activities towards which funding is dedicated.For energy efficiency, this fund provides incentives for the following:High efficiency appliances (EUR 110 million): As part of funding for kitchen renovations, up to 10% of the cost to a maximum of EUR 1000 are provided - only class A appliances can be purchased to be eligible for the incentive. Up to 20% of the cost to replace dishwashers (up to EUR 130), electric furnaces (up to EUR 80) and hot water equipment (up to EUR 400) with a Class A appliance or piece of equipment.Replacing motorcycles with class Euro 0 or Euro 1 with motorcycles class Euro 3 (EUR 2 million): Up to 10% of the cost to a maximum of EUR 750. For electric motorcylces (hybrid or pure), the incentive covers 20% of the cost to a maximum of EUR 1500.Purchase of new buildings with Class A and Class B, according to Italian Energy Certification Schemes (EUR 60 million): For Class A buildings, EUR 116/m2 of usable area up to a maximum of EUR 7000. For Class B buildings, EUR 83/m2 up to a maximum of EUR 5000.Purchase and installation of inverters, high efficiency motors, uninterruptible power sources (UPS) and capacitors (EUR 10 million): 20% of the cost for inverters between 0.75 and 75 kW (up to EUR 40), of the cost for high efficiency engines (IE2) between 1 and 5 kW (up to EUR 50), for high-efficiency UPS up to 10kVA (up to EUR 100) and for battery capacitors that contribute to loss reduction on medium and low voltage electricity networks (up to EUR 200).Purchase of newer and more efficient farm machinery and machinery for construction and boats: For replacement of old outboard motors with low environmental impact ones up to 75kW, 20% of the cost up to EUR 1000. 10% of the price of certain agricultural machinery replacing those constructed before the year 2000 and that use 50% of the power of the scrapped machinery. 20% (up to EUR 30,000) for the replacement of construction tower cranes put in operation before January 1985.",Undefined,5 November 2017,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legge:2010-03-25;40!vig=,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Targets|Targets, plans and framework legislation|Grants",Buildings|Residential|Industry,"Space, water and process heating technologies|Appliances|Cooking|Washing machines|Industry sector-specific processes and technologies|Manufacuturing technologies and systems|Motors",Undefined,Italy,2010,Ended,National,ITA
Finance Law 2009: Sustainable energy provisions,https://www.iea.org/policies/4782-finance-law-2009-sustainable-energy-provisions,"The 2009 Finance Law contains various provisions to increase support of renewable energy. Some of the primary measures are described below. Eco-loan: 0% loan for energy-efficient renovation (Art. 99) The Law also creates a zero-interest loan programme for major renovation activities. The aim is for energy savings to allow repayment of the loans capital. Activities that can be covered under the loan include: -Thermal insulation for roofs, exterior walls, and exterior glass surfaces; -Installation, regulation or replacement of heating or hot water systems; -Installation of heating or hot water systems using renewable energy. The loan amount is limited to EUR 30 000. Biofuels (Articles 16 and 17) The Law also includes some provisions targeting biofuels. Ethanol E85 is to benefit from progressively reduced consumption taxes; these are EUR 23.85 per hectolitre as of 1 January 2009, going down to EUR 20.69 as of 1 January 2010, and EUR 17.29 as of 1 January 2011. In addition, a new category of biofuel blend known as E10 is recognised, a low-lead fuel containing 10% ethanol and 22% ethers. It also provides for a consumption tax reduction on a variety of biofuels, ranging from EUR 15 to 21 in 2009, EUR 11 to 18 in 2011, and EUR 8 to 14 in 2012.",IEA/IRENA Renewables Policies Database,12 July 2012,http://www.assemblee-nationale.fr/13/dossiers/loi_fices_2009.asp,Renewable Energy,"Regulation|Payments, finance and taxation|Taxes, fees and charges|Payments and transfers|Tax credits and exemptions|Loans / debt finance|Finance",Buildings|Economy-wide (Multi-sector)|Heating and Cooling,Undefined,Undefined,France,2009,In force,National,FRA
Green Investment System (GIS),https://www.iea.org/policies/1371-green-investment-system-gis,"In 2009 two sub-programmes were initiated under the Green Investment Scheme (GIS) to facilitate energy rationalisation of residential buildings:   the Climate-friendly Home Panel Sub-programme; andthe Energy Efficiency Sub-programme.   The objective of these sub-programmes is to provide investment grants for work that contributes to the reduction of residential energy comsumption, moderating the overhead burdens for households and also reducing greenhouse gas emissions. Activities eligible for grants include energy-efficiency improvements in buildings (heat insulation, replacement of doors and windows, building engineering solutions) the modernisation of equipment and utilisation of renewable energy sources. The key objective of the sub-programmes is the renovation of houses built by pre-fabricated technology to achieve energy savings through retrofitting.The prerequisite for receiving a subsidy in the GIS Panel Sub-Plan is that the buildings should have lower CO2 emissions and be more energy efficient once the project is completed. The better results are achieved the higher the subsidy is (Climate bonus subsidy). The system rewards the bidder depending on the complexity and efficiency of the project. The bidders for the ""Climate Friendly Home Panel Sub-Programme"" under GIS were similar to those for the tender ""Subsidy for the Energy Efficient Modernization of Pre-fabricated Buildings"" managed by the Ministry of Local Government. Applications under the Energy Efficiency Sub-programme opened 15 December 2009 and closed on 30 October 2010. Applications under the Panel Sub-programme opened 4 August 2009 and closed 31 December 2009.",IEA/IRENA Renewables Policies Database,5 November 2017,http://zbr.kormany.hu/zbr-es-kvotaertekesitesi-rendszer,Energy Efficiency|Renewable Energy,"Payments, finance and taxation|Payments and transfers|Loans / debt finance|Finance|Grants","Buildings|Residential|Power, Heat and Utilities|Power generation|Economy-wide (Multi-sector)|Heating and Cooling|Electricity and heat generation",Undefined,Undefined,Hungary,2009,In force,National,HUN
Renove Tourism Plan 2009,https://www.iea.org/policies/1445-renove-tourism-plan-2009,"As part of Spains ""Plan E"" economic stimulus package, and in line with Spains 2008-12 tourism plan which seeks to establish a competitive and sustainable tourism sector by 2020, the Renove Tourism Plan aims to help rebuild Spains tourism sector along more sustainable lines. The Plan offers low-interest loans in partnership with Spains Official Credit Institute (ICO) for tourism sector companies to undertake renovation and improvement, including measures that improve energy savings or the implementation of environmental quality management systems. Up to 90% of investment costs will be financed, to a maximum of EUR 1 million (varies according to amortisation period chosen), and with a fixed interest rate of 1.5%. In February 2009, the initial EUR 400 million earmarked for the plan was exhausted, and an additional EUR 600 million allocated.",Undefined,5 November 2017,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2013-9326,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Loans / debt finance|Finance",Buildings|Services,Undefined,Undefined,Spain,2009,In force,National,ESP
More with less Programme,https://www.iea.org/policies/697-more-with-less-programme,"The ""More with Less"" programme is a joint initiative from the Dutch government, energy retailers, social housing providers, construction and installation companies. It aims to make 500 000 buildings 30% more energy efficient in the period 2008 - 2011, increasing to 2.4 million buildings by the year 2020 The programme is supported by home owner and consumer representative organisations and aims at specific target groups, home owners, tenants, housing companies and building owners, ensuring that all market parties involved participate and send out the same message. ""More with Less"" attempts to tackle the obstacles to energy conservation within each target group. The energy efficiency measures and programme benefits are provided at periods within the regular renovation cycle, that is in the case of removal and renovation, when people are already inclined to invest. The programme focuses on enabling building owners to conserve energy with the least possible effort. The entire process, from receiving an certified energy advice up to installing the required energy efficiency measures, is taken care of by the contact person of the building owner. The contact person can be the contractor, the energy counselor, the installor, the architect; it is s/he who is a one-stop contact point and can if needed arrange for various aspects of the programme, subsidies, energy label, offers, finance, etc. To overcome financial barriers the programme ensures fixed monthly expenses. In other words, the increase of monthly expenses for energy efficiency investments will be at least set-off by the monthly gains in terms of reduction of the energy bill. This is accompanied with education in cooperation with consumer organisations and feed back on energy use every two weeks.",Undefined,5 November 2017,http://www.meermetminder.nl,Energy Efficiency,"Regulation|Information and education|Public information|Government provided advice|Payments, finance and taxation|Voluntary approaches|Negotiated agreements (public-private sector)",Buildings|Residential|Existing buildings and retrofits,Undefined,Undefined,Netherlands,2008,In force,National,NLD
Brussels region: Exemplary Buildings contest,https://www.iea.org/policies/1818-brussels-region-exemplary-buildings-contest,"Since 2007, the Brussels-Capital region has launched an annual contest for the design and construction or renovation of buildings meeting strong environemental criteria, including energy use. Known as ""exemplary buildings"", winning applications receive EUR 100/m2 of built area (EUR 90 for the contracting authority and EUR 10 for the design team), to a maximum of EUR 1 million. They also benefit from technical support provided by the region to meet their stringent energy and environmentl targets. In 2007 and 2008, 76 projects won the competition, totalling over 200 000 m2 of built area. The buildings consume up to 10 times less energy than conventional ones, and are built with ecological materials. In 2009, EUR 5 million is available to distribute amongst winning applicants.",Undefined,5 November 2017,http://www.environnement.brussels/thematiques/batiment/sinspirer-des-batiments-exemplaires/vous-cherchez-un-projet-batex,Energy Efficiency,"Regulation|Information and education|Public information|Government provided advice|Payments, finance and taxation|Payments and transfers|Grants",Buildings|Residential|New buildings|Existing buildings and retrofits,Undefined,Undefined,Belgium,2007,Ended,State/Provincial,BEL
Flanders - building renovation,https://www.iea.org/policies/1500-flanders-building-renovation,"The Flemish region offers a subsidy for building renovation work including energy efficiency improvements (including insulating glass, high-efficiency boilers and solar heaters; wall, floor and roof insulation and heat pumps are not eligible). The subsidy is accessible to owners-occupants with income below a certain limit. Additionally, the Flemish government offers financial support for building rehabilitation. Like the renovation subsidy, this subsidy covers work of diverse nature, including insulation of external walls and roof.",Undefined,5 November 2017,http://www.energiesparen.be,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Buildings|Residential,Undefined,Undefined,Belgium,2007,In force,State/Provincial,BEL
ecoENERGY Retrofit - Homes,https://www.iea.org/policies/2259-ecoenergy-retrofit-homes,"ecoENERGY Retrofit - Homes encourages the existing low-rise housing sector in Canada to become more energy efficient, reduce emissions produced through energy use, and contribute to clean air, water and energy and a healthy environment for Canadians. ecoENERGY Retrofit - Homes provides property owners with the information they need to make good home energy retrofit decisions, and rewards energy and water saving measures with a grant. At the beginning of the programme, funding was sufficient to provide 140,000 homes with an average CAD 1070 grant. As part of the Government of Canada's 2009 Economic Action Plan, an additional CAD 300 million was invested in the programme. This allowed as many as 200,000 more homeowners to participate in the programme from 2009 - 2011. A CAD 285 million funding expansion was announced in 2010. As part of the Government of Canada 2011 Budget, an additional CAD 400 million is being invested into the programme. This allowed as many as 250,000 homeowners to participate in the programme from 2011  -2012. In total, ecoENERGY Retrofit-Homes helped over 640,000 Canadians increase the energy efficiency of their homes. Homeowners reduced their energy consumption by an average of 20% for ongoing savings of more than CAD 400 million a year.Under ecoENERGY Retrofit  -Homes, grants are provided to homeowners of low-rise residential properties who improve the energy performance of dwellings. This includes owner-occupied as well as rental units. Housing on First Nations territories and band-owned lands, social housing and housing cooperatives also qualify. The programme uses a third-party delivery system with energy assessment services under license to Natural Resources Canada. These organizations hire and train energy advisors and quality control personnel and provide local energy audit services. Energy advisors perform pre-retrofit assessments and provide a checklist of recommended upgrades, along with an EnerGuide for Houses home energy rating to the property owner, who chooses from the recommend retrofits and implements these within an 18 month time period. Energy advisors perform post-retrofit assessments, determine that retrofits have been done, and submit the grant application for the property owner. The grant is based on the total of the amounts allocated for each of the eligible retrofits. The programme is supported by stakeholders such as provincial, territorial and municipal governments and utilities who may partly subsidise the audits and/or offer complementary grants. These and other stakeholders (e.g. environmental and community groups, product suppliers and manufacturers, renovation and mechanical contractors, home inspectors, trade associations, etc.) also promote the programme. It is anticipated that the programme will save 0.75 megatonnes of greenhouse gas emissions in 2011-2012.This initiative builds upon the core services related to the energy rating tool, technical support, and quality assurance provided by the ecoENERGY for Buildings and Houses initiative, which ran from 2007  -2011.",Undefined,5 November 2017,http://oee.nrcan.gc.ca/residential/6551,Energy Efficiency,"Regulation|Information and education|Public information|Government provided advice|Payments, finance and taxation|Payments and transfers|Grants",Buildings|Residential,Undefined,Undefined,Canada,2007,In force,National,CAN
Energy Conservation in Buildings,https://www.iea.org/policies/1141-energy-conservation-in-buildings,"Within its 11th Five-Year Period, China plans to reduce residential and public buildings energy consumption by 50%, saving 50 million tons of standard coal. The federal plan for energy conservation in buildings formally mandates: - the quick technical reform of heat-supply systems nation-wide; - renewed efforts to promoting building energy efficiency technology and related products; and - renovation of existing buildings in the nations cold northern regions, with particular focus on hotels.",Undefined,16 April 2021,http://ghs.ndrc.gov.cn/15ghgy/t20060529_70793.htm,Energy Efficiency,"Regulation|Codes and standards|Information and education|Public information|Payments, finance and taxation|Operational funding for institutions|Investment in assets",Buildings|Residential|Services,Undefined,Undefined,People's Republic Of China,2006,In force,National,CHN
Grants for Renovation of Prefabricated-Panel Residences,https://www.iea.org/policies/1266-grants-for-renovation-of-prefabricated-panel-residences,"The ""Panel Program"" grant funds the renovation of residential buildings built with prefabricated panels; these are large, 10 storey buildings with low thermal U value. The grant includes some funds for renovation of roads, parking areas, playgrounds and parks in the buildings vicinity. Eligible energy conservation actions include change of doors and windows, thermal insulation of walls and ceilings, modernisation of HVAC systems. The Hungarian state will refund renovation expenses to a maximum of one third of the total investment, an amount not to exceed HUF 500.000 per residence. The remaining two-thirds of the investment can come from the local municipality and from the dweller (own contribution). Emissions avoided by this efficiency upgrade may qualify for trade.",Undefined,5 November 2017,http://www.energycentre.hu,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Buildings|Residential,Undefined,Undefined,Hungary,2006,In force,National,HUN
New Széchenyi Plan and Environment and Energy Operative Programme,https://www.iea.org/policies/2209-new-szechenyi-plan-and-environment-and-energy-operative-programme,"The programme uses EU and Hungarian government funds to provide subsidies for energy efficiency and renewable energy investments.  Various sectors are targeted, including energy production, transport, distribution and end use, with a special focus on public buildings.The programme aims to improve energy efficiency across sectors,  based on calls for proposals within a certain budget. Applications are open until the budget is used up.In 2012-2013, interventions for energy efficiency were made in  the following areas:KEOP-2012-5.6.0 Energy efficiency investments in central government agencies (budget: HUF 20 billion);KEOP-2012-5.5.0/A: Building energy development and energy-efficient lighting transformation (budget: HUF 15.5 billion);KEOP-2012-5.5.0/B: Combined building energy and renewable energy developments (budget: HUF 11.5 billion);KEOP-2012-5.4.0: District heating energy modernisation (budget:  HUF  2.08 billion).The programmes are open only to the non-residential sector. The share of aid, in line with EU rules, is maximised.  For the residential sector a different scheme is available.   The main source comes only from national income from CO2 quota trading.   KEOP 7.9.0/12 supports the establishment of national energy efficiency action plans and six high priority projects:  Project title  SupportProject owner  Analysis of energy management tools in the public sector and development of an extensive programme  HUF 599 740 000Ã‰MI Non-Profit LlcEstablish a sustainable urban energy management model and development programme for cities over 40 000 populationHUF 599 144 000Ã‰MI Non-Profit LlcSurvey of residential building energy efficiency potentialHUF 1 196 019 189Pro Regio Central Hungary Regional Development Company Ltd.A national survey of industrial energy efficiency potential for 2014-2020 support planningHUF 500 000 000Virtual Power Plant Program Nonprofit Ltd.Development of the 2014-2020 budget period CO2 savings-clearing model concept versionHUF 800 000 000Virtual Power Plant Program Nonprofit Ltd.Development of annual development programme and action plan for public buildings' energy efficiency renovation in 2014-2020HUF 1 196 243 500Pro Regio Central Hungary Regional Development Company Ltd.The programme also aims to increase the share of renewable energy to 13% by 2020.  Small- and medium-sized enterprises, public institutions and non-profit organisations can apply for the subsidy. The programmes support the following planned activities in the field of renewable energy:Supporting biomass-utilisation,  waste utilisation,  biological waste based biogas production and utilisation,  geothermal electric and/or thermal energy generation and utilisation,  heat pump systems,  solar power;Improving existing water power plants' life span, efficiency, and energy conversion efficiency, as well as supporting the establishment of smaller water power plants;Electric energy production via wind power;The introduction and application of tools and regulatory measures that support the integration of renewable energy sources into the electricity and other energy networks",Undefined,5 November 2017,http://www.nfu.hu/new_hungary_development_plan,Energy Efficiency,"Payments, finance and taxation|Funds to sub-national governments|Payments and transfers|Grants","Buildings|Industry|Power, Heat and Utilities|Economy-wide (Multi-sector)",Undefined,Undefined,Hungary,2006,In force,National,HUN
Renovation of multiapartment buildings,https://www.iea.org/policies/12737-renovation-of-multiapartment-buildings,"This policy is a compensation mechanism under the government's multi-apartment building renovation programme. It is aimed at reducing thermal energy consumption, encouraging rational use of energy resources ensuring efficient use of housing, and improving the living environment and quality of life for the population. It is planned to reduce heating consumption in multi-apartment and public buildings by 30-40% by 2020 and compared to 2011 to save heat from 2 to 3 TWh per year. The financing for renovation (modernisation) of multi-apartment and public buildings is provided from different financial schemes supported from the Climate Change Programme, JESSICO Holding Fund, and the Energy Efficiency Fund.",IEA/IRENA Renewables Policies Database,19 March 2022,http://www.betalt.lt/veiklos-sritys/programos/daugiabuciu-namu-atnaujinimo-modernizavimo-programa/102,Renewable Energy,"Codes and standards|Payments, finance and taxation|Payments and transfers|Framework legislation|Targets, plans and framework legislation|Grants",Buildings,Undefined,Undefined,Lithuania,2005,In force,National,LTU
Energy subsidies,https://www.iea.org/policies/385-energy-subsidies,"Since 2004, Brussels-Capital Region offers to individuals and businesses a set of  'Energy 'subsidies for renovation projects or for energy efficient appliances.The subsidies concern renewable energy facilities (solar boiler and photovoltaic panels), CHP, district heating, energy audit, insulation, super-insulating glazing, high-performance boilers, green rooftops or façades, ventilation, energy efficient appliances (refrigerator, washing machines, etc.). Specific aid supports new construction to the passive standard (heating demand",Undefined,5 November 2017,http://www.environnement.brussels/thematiques/energie/primes-et-incitants,Energy Efficiency,"Regulation|Information and education|Public information|Government provided advice|Payments, finance and taxation|Payments and transfers|Grants",Buildings|Residential|Existing buildings and retrofits,Undefined,Undefined,Belgium,2004,In force,State/Provincial,BEL
Medium and Long-term Plan of Energy Conservation: 10 Energy Conservation Programmes,https://www.iea.org/policies/709-medium-and-long-term-plan-of-energy-conservation-10-energy-conservation-programmes,"Launched in 2004, the Medium and Long-term Plan of Energy Conservation covers the 2005-10 and the 2010-20 period. It details energy conservation aims and implementation plans to be undertaken during the 11th five year period (2006-10) and beyond. The Plan puts forward ten key energy conservation programmes.These include programmes to upgrade coal-burning kilns and electric motor systems, improve district co-generation, and undertake fuel switching and conservation activities (see separate entries). The other six programmes are:Residual heat and pressure useIron and steel enterprises are to apply coke dry quenching and recover waste energy from blast furnaces for energy production, as well as renovate blast furnace gas power generation and implement converter gas recovery.Optimise energy systems in major industries, primarily metallurgical, petrochemicals and chemicals.Adopt energy conservation standards for buildings (see separate entry).Promote energy conservation in government agencies, including through building efficiency as well as equipment and vehicle procurement.Monitoring and Technical Services: Energy and energy-saving monitoring centres in provinces and major industries are to be improved, through upgrading of equipment, training of personnel, and promoting energy service contracts.Such centres would provide a range of energy services, from diagnosis, design, financing, renovation, operation and management.Green Lighting: Replacement of ordinary incandescent lamps with high-efficiency compact fluorescent light bulbs (CFLs), replacement of traditional electromagnetic ballast with electronic ballast, and using light emitting diodes (LEDs) in traffic lights.",Undefined,16 April 2021,http://en.ndrc.gov.cn/,Energy Efficiency,"Regulation|Codes and standards|Payments, finance and taxation|Operational funding for institutions|Public procurement",Buildings|Residential|Services|Industry|Transport,Industry sector-specific processes and technologies|Manufacuturing technologies and systems|Motors,Undefined,People's Republic Of China,2004,In force,National,CHN
