Policy,URL,Description,Source,Last updated,Learn more,Topics,Policy types,Sectors,Technologies,End uses,Country,Year,Status,Jurisdiction,country_code
Environmental vehicle premium,https://www.iea.org/policies/1026-environmental-vehicle-premium,"As from 1 July 2009, new vehicles with lower emissions of carbon dioxide (green vehicles according to the old green vehicle definition) are exempt from annual vehicle tax for the first five years. On 1 January 2013, more stringent criteria for the five-year exemption, involving weight-based carbon dioxide emission requirements, were introduced. The tax exemption was also extended to include motorhomes, light goods vehicles and light buses. This means that passenger cars, motorhomes, light goods vehicles and light buses brought into use in Sweden for the first time on or after 1 January 2013 are exempt from annual vehicle tax for the first five years, provided that their carbon dioxide emissions (according to data in the Road Traffic Registry) do not exceed a maximum level calculated in relation to the vehicle weight (green vehicles according to the new definition). At the beginning of 2012, a super-green vehicle rebate of up to SEK 40,000 was introduced for new vehicles emitting a maximum of 50 g CO2/km (super-green vehicles).",Undefined,5 November 2017,http://www.transportstyrelsen.se/sv/Vag/Fordon/Fordonsskatt/Femarig-skattebefrielse/,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport,Undefined,Undefined,Sweden,2010,In force,National,SWE
Lower vehicle taxes - NSW,https://www.iea.org/policies/3137-lower-vehicle-taxes-nsw,In 2010 changes to vehicle tax were introduced for vehicles that have a lower impact on the environment.These ‘lower taxed vehicles’ include:manufacturer designated petrol-electric hybridsdiesel-electric hybridsplug-in hybridselectric vehicles with CO2 emissions no higher than 150 grams/kilometre (g/km) in the 'combined' driving cyclepreviously eligible lower taxed vehicles with a rating of 4½ or 5 stars.Private vehicles that have been modified for wheelchair transport are also eligible for the reduced vehicle tax rate.The reduced rate is applied when the vehicle is registered.,Undefined,5 November 2017,https://www.service.nsw.gov.au/transaction/lower-taxed-vehicles,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Australia,2010,In force,State/Provincial,AUS
Eco-Car Tax Break and Subsidies for Vehicles,https://www.iea.org/policies/13826-eco-car-tax-break-and-subsidies-for-vehicles,"With the Eco-Car Tax Break, clean energy vehicles enjoy a tax reduction/exemption with respect to three vehicles taxes: motor vehicle tonnage tax, automobile acquisition tax and motor vehicle tax (ownership). Eligible vehicle types include high fuel efficiency internal combustion engine vehicles, electric vehicles, fuel-cell powered vehicles, plug-in hybrid vehicles, natural gas vehicles and clean diesel passenger vehicles.  Different levels of subsidy will also be provided to plug-in hybrid vehicle as follows:- Up to 400 thousand JPY for electric and fuel-cell powered vehicles;- Up to 200 thousand JPY for plug-in hybrid vehicles;- Up to 150 thousand JPY for clean diesel passenger vehicles; - Up to 2.3 million JPY for fuel cell vehicles.The scheme will also support the deployment of charging infrastructure.",Undefined,17 November 2022,https://www.mlit.go.jp/jidosha/jidosha_fr1_000028.html,Energy Efficiency|Electrification,"Payments, finance and taxation|Taxes, fees and charges|Payments and transfers|Tax credits and exemptions|Rebates",Transport|Road transport,Drive train or engine|Internal combustion engine (ICE)|Battery electric|Hybrid|Plug-in hybrid|Transport technologies|Fuel cell,Undefined,Japan,2009,In force,National,JPN
Eco-Car Tax Break and Subsidies for Vehicles,https://www.iea.org/policies/1995-eco-car-tax-break-and-subsidies-for-vehicles,"Eco-Car Tax BreakClean energy vehicles can enjoy tax reduction / exemption with respect to three vehicles tax, such as motor vehicle tonnage tax, automobile acquisition tax and motor vehicle tax (ownership). Eligible vehicle types depend on high fuel efficiency internal combustion engine vehicles or other technology power trains – such as electric vehicles, fuel-cell powered vehicles, plug-in hybrid vehicles, natural gas vehicles and clean diesel passenger vehicles. Since October 2019, automobile acquisition tax rate will be revised. New automobile acquisition tax rate will depend on fuel efficiency.The details of tax reduction rate with each vehicle taxies are explained below.Classification of tax reduction rate*Those eligible vehicles can enjoy the highest tax rate waiver. *In case of internal combustion engine vehicles, eligible ones’ fuel efficiency level should be higher than the efficiency standard (under the top-runner program). Incentives for such vehicles are determined according to fuel efficiency level. *Tax reduction rate are below.Within 20% to 100% of tax (depending on type of vehicle tax and fuel efficiency level)Subsidy for new clean energy vehicles (EV, FCV etc) Japanese government offers subsidy for new clean energy vehicles, such as electric vehicles, fuel-cell powered vehicles, plug-in hybrid vehicles and clean diesel passenger vehicles, in order to reduce fossil fuel and CO2 emissions from the transport sector. Calculations of subsidy are determined up by vehicle type. For example, electric vehicles’ subsidy is determined by vehicle mileage. On the other hand, fixed level of subsidy is provided to plug-in hybrid vehicle. The upper limit of subsidy amount by vehicle type are as follows.i- electric vehicles and fuel-cell powered vehiclesup to 400 thousand yenii- plug-in hybrid vehiclesup to 200 thousand yeniii- clean diesel passenger vehiclesup to 150 thousand yenAmount of expenditureFY2019, 16 billion yen (FY2018, 13 billion yen)",Undefined,8 April 2019,http://www.mlit.go.jp/jidosha/jidosha_fr1_000028.html,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Road vehicles|Transport technologies,Undefined,Japan,2009,In force,National,JPN
Law No. 28/2009 on Motor Vehicle Fuel Tax,https://www.iea.org/policies/16920-law-no-282009-on-motor-vehicle-fuel-tax,"As included in the Law No. 28/2009 regarding Regional Taxes and Regional Levies, the Motor Vehicle Fuel Tax (PBBKB) applies to premium gasoline (RON 88) and to diesel (diesel Solar) used for road transportation. The PBBKB is levied as an ad-valorem rate capped at 5% of the sale prices of motor fuels. This regulation is still enforced until 2025, as specified in the most recent Law on financial Relations No. 1/2022: ""Provisions concerning Motor Vehicle Tax [...] that is compiled based on Law Number 28 of 2009 concerning Taxes Regional and regional levies are still valid until with 3 years from the date of the promulgation of this Law""",Undefined,6 December 2022,http://https/peraturan.bpk.go.id/Home/Details/38763/uu-no-28-tahun-2009,Undefined,"Payments, finance and taxation|Taxes, fees and charges|Excise taxes|Product taxation",Transport|Road transport,Undefined,Undefined,Indonesia,2009,In force,National,IDN
Support for electric mobility development,https://www.iea.org/policies/7153-support-for-electric-mobility-development,"The German government provides a range of incentives and funding support for electric mobility, including:  Purchase grant (environmental bonus): The Federal Government has earmarked a maximum of €600 million to support the purchase of at least 300,000 electric vehicles by 2019. The carmakers are contributing an equal amount. A bonus of €4,000 is paid for the purchase of a new all-electric vehicle. Buyers of plug-in hybrid vehicles receive a bonus of €3,000. Applications for the environmental bonus can be submitted directly to the Federal Office for Economic Affairs and Export Control (BAFA). Support for the roll-out of charging stations: The Federal Government is providing €300 million in funding to promote the roll-out of rapid and standard recharging points. The goal: many more rapid recharging points, which are particularly expensive, are to be available along the major transport routes and in the big cities by 2020. More electric vehicles in the public-sector vehicle fleet: The public sector will set a good example by increasing the number of electric vehicles in its fleet. The share of electric vehicles to be purchased by the Federal Government is to rise to at least 20% by 2019. €100 million has been earmarked for this. Extension of the vehicle tax exemption: from five to ten years.",Undefined,12 November 2019,https://www.bmwi.de/Redaktion/EN/Dossier/electric-mobility.html,Energy Efficiency,"Payments, finance and taxation|Payments and transfers",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies|Electric charging infrastructure,Undefined,Germany,2009,In force,National,DEU
Sustainable Transport - Better Infrastructure Strategy,https://www.iea.org/policies/2213-sustainable-transport-better-infrastructure-strategy,"The Danish government's long-term Sustainable Transport and Infrastructure strategy has as one of its objectives to reduce CO2 emissions from road transport, combining initiatives on green car taxes, investment in public transport, intelligent traffic systems and new roads. The elements of the plan are to be implemented over the next 10-15 years, aiming for a thorough shift towards a sustainable transport system. For road vehicles, the government will undertake a fundamental restructuring of vehicle taxation to encourage the purchase of energy-efficient cars. This will be combined with a road pricing policy to make it more expensive to drive in urban areas during rush hour, thus increasing the demand for public transport. The strategy also supports the introduction of electric vehicles by introducing a tax exemption until 2012 and subsequent tax reductions in the following years to 2015.",Undefined,5 November 2017,http://www.trm.dk/EN/Publications/2008/Sustainable+transport.aspx,Energy Efficiency,"Payments, finance and taxation|Investment in assets|Taxes, fees and charges|Payments and transfers|Tax credits and exemptions|Finance",Transport|Road transport|Passenger transport (Road)|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Transport technologies",Undefined,Denmark,2009,In force,National,DNK
Amendment of Car Tax and Annual Vehicle Tax Regimes,https://www.iea.org/policies/1392-amendment-of-car-tax-and-annual-vehicle-tax-regimes,"Car taxation was reformed in Finland in 2007 and the reform entered into force in 2008. The tax on passenger vehicles was differentiated according to vehicle-specific emissions (CO2/g/km). The lowest tax rate (5%) applies to cars with zero carbon dioxide emissions while the highest tax rate (50%) applies to cars with carbon dioxide emissions exceeding 360 g/km. The Vehicle Tax Act was also reformed at the end of 2007. In this reform, the basic part of the tax was differentiated according to carbon dioxide emissions of each vehicle just like in the car taxation reform. The basic part of the emission-based vehicle tax is EUR 43-606 per year, depending on the car specific carbon dioxide emissions. This taxation model benefits, irrespective of the technology used, all low-emission cars.",Undefined,26 November 2019,https://www.nordicenergy.org/wp-content/uploads/2018/05/NordicEVOutlook2018.pdf,Energy Efficiency,"Regulation|Payments, finance and taxation|Payments and transfers",Transport|Road transport|Passenger transport (Road),Road vehicles|Transport technologies,Undefined,Finland,2008,In force,National,FIN
Car registration tax linked to CO2 emissions,https://www.iea.org/policies/1406-car-registration-tax-linked-to-co2-emissions,"Until late 2007, the passenger car registration tax was linked to the cylinder capacity of the vehicle. From 1st January 2008, Law 34/2007 on Air Quality and the Protection of Atmosphere establishes a new calculation method for the registration tax of passenger cars in Spain, linked to car CO2 emissions/fuel consumption. For this purpose, the Ministry of the Environment led an inter-ministerial working group with the participation of the Ministries of Industry, Development, Consumption and the IDAE, where the specifications of this new registration tax were studied and defined. A new rating for the vehicle registration tax will vary according to the cars CO2 emissions, with the least polluting vehicle being the least taxed. The new tax rates are as follows: - 0% on the vehicle market price for vehicles with emissions under or up to 120 gCO2/km. - 4.75% for vehicles with emissions over 120 and up to 160 gCO2/km. - 9.75% for vehicles with emissions over or equal to 160 and up to 200 gCO2/km. - 14.75% for vehicles with emissions over or equal to 200 gCO2/km. In December 2008, the new tax scheme was extended to two-wheeled vehicles such as motorcycles. The tax rates are as follows: - 0% on the vehicle market price for those with emissions under 80gCO2/km - 4.75% for vehicles with emissions over or equal to 80 and up to 100 gCO2/km - 9.75% for vehicles with emissions over or equal to 100 and up to 120 gCO2/km - 14.75% for vehicles with emissions over or equal to 120 gCO2/km, or those with over 100 horsepower (74kW).",Undefined,5 November 2017,"Law 34/2007, dated on 15th November 2007, on Air Quality and the Protection of Atmosphere",Energy Efficiency,"Regulation|Payments, finance and taxation|Payments and transfers",Transport|Road transport|Passenger transport (Road),Road vehicles|Transport technologies,Undefined,Spain,2008,In force,National,ESP
Hong Kong - Tax Incentives for Environmentally Friendly Commercial Vehicles,https://www.iea.org/policies/2110-hong-kong-tax-incentives-for-environmentally-friendly-commercial-vehicles,"As of 1 April 2008, Hong Kongs Environmental Protection Department (EPD) has implemented an incentive scheme to encourage investment in environmentally friendly commercial vehicles meeting Euro V emission standards for heavy-duty and light-duty diesel vehicles.Owners of such vehicles are offered a reduction in their First Registration Tax (FRT).Under the tax concession scheme commercial vehicles include taxis, light-, medium- and heavy-goods vehicles, public and private light buses, public and private non-franchised buses and special purposes vehicles.The rates of reduction of the FRT for different vehicle classes are as follows:100% for taxis, light buses, non-franchised buses and special purpose vehicles;50% for goods vehicles (except van-type goods vehicles up to 1.9 tonnes permitted gross vehicle weight); and30% for van-type goods vehicles up to 1.9 tonnes permitted gross vehicle weight.The waivers will range from 3.7% of the vehicles market value for taxis to 35% for vans.The tax concessions will also be subject to caps ranging from HKD 8 500 to HKD 78 000 depending on the type of vehicle.The tax reduction can be claimed by authorised vehicle dealers, parallel importers or individuals.8Vehicles will need to be sold with ""Environment-Friendly Commercial Vehicle Certificates"" in order to qualify for the tax waiver.Currently, four models of Toyota vans and three Mercedes-Benz trucks are the only vehicles to receive the certificate. Qualification under the scheme is temporary, as it will be reviewed each year and should requirements be tightened, the vehicle will have to meet the new qualifying standards for the incentive to be received.",Undefined,16 April 2021,http://www.epd.gov.hk/epd/english/environmentinhk/air/prob_solutions/environment_friendly_commercial_vehicles.html,Energy Efficiency,"Regulation|Payments, finance and taxation|Payments and transfers|Tax credits and exemptions",Transport|Road transport,"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Heavy trucks|Transport technologies",Undefined,People's Republic Of China,2008,In force,State/Provincial,CHN
Plug-in Electric Drive Motor Vehicle Tax Credit,https://www.iea.org/policies/695-plug-in-electric-drive-motor-vehicle-tax-credit,"The Plug-in Electric Drive Motor Vehicle Tax Credit is for the purchase of a new qualified plug-in electric drive motor vehicle that draws propulsion using a traction battery that has at least four kilowatt hours of capacity, uses an external source of energy to recharge the battery, has a gross vehicle weight rating of up to 14,000 pounds, and meets specified emission standards. The minimum credit amount is USD 2,500, and the credit may be up to USD 7,500, based on each vehicles traction battery capacity and the gross vehicle weight rating. The credit will begin to be phased out for each manufacturer in the second quarter following the calendar quarter in which a minimum of 200,000 qualified plug-in electric drive vehicles have been sold by that manufacturer for use in the US. This tax credit applies to vehicles acquired after December 31, 2009.As of January 1, 2016, 61,279 qualifying vehicles have been sold in the U.S.",Undefined,5 November 2017,http://www.afdc.energy.gov/afdc/laws/law/US/409,Energy Efficiency,"Payments, finance and taxation|Funds to sub-national governments|Taxes, fees and charges|Payments and transfers|Tax credits and exemptions",Transport,Undefined,Undefined,United States,2008,In force,National,USA
Super bonus: Vehicle scrappage scheme,https://www.iea.org/policies/1315-super-bonus-vehicle-scrappage-scheme,"A temporary measure implemented as part of Frances economic stimulus plan, the EUR 300 bonus for scrapping a vehicle over 15 years old provided under the Bonus-Malus scheme has been expanded. From December 2008 to December 2009, the EUR 300 bonus has been increased to EUR 1000 and expanded to vehicles over 10 years old. New cars purchased must still meet maximum emissions limit of 160 gCO2/km. The scheme is also expanded to light commercial vehicles, applying when a new vehicle is purchased and an old one scrapped. No CO2 emissions requirements apply to the purchase of a new light commercial vehicle.",Undefined,5 November 2017,http://www.developpement-durable.gouv.fr/article.php3?id_article=2825,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road)|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Transport technologies",Undefined,France,2008,In force,National,FRA
Vehicle Conversion to Alternative Fuels,https://www.iea.org/policies/4715-vehicle-conversion-to-alternative-fuels,"Since July 2008, it is possible for gasoline and diesel-powered passenger cars and light trucks to be converted to be powered on alternative fuels, such as ethanol and biofuels, provided a number of technical criteria are met. An inspection regime is put in place to monitor conversions and any conversion requires approval from Sweden’s Motor Vehicle Inspection Company. Owners of converted vehicles benefit from reduced taxes, such as the vehicle tax, and other incentives.",IEA/IRENA Renewables Policies Database,16 January 2018,http://www.regeringen.se/sb/d/2066,Renewable Energy,"Strategic plans|Payments, finance and taxation|Taxes, fees and charges|Tax credits and exemptions|Framework legislation|Monitoring|Targets, plans and framework legislation",Transport,Transport technologies,Undefined,Sweden,2008,In force,National,SWE
Bonus-Malus: vehicle CO2 bonus and penalty system,https://www.iea.org/policies/1065-bonus-malus-vehicle-co2-bonus-and-penalty-system,"Implemented in France since January 2008, this is an incentive to purchase vehicles that emit the least CO2. On purchase, a bonus is paid to people acquiring vehicles that emit less than 105g CO2/km (threshold valid on 1st January 2013). Conversely, a purchase tax (""malus"") applies to cars that emit over 135g CO2/km (idem). The bonus ceiling for electric vehicles was raised from  €5,000 to  €7,000 in 2012, up to a limit of 30% of the total cost of the vehicle including tax; that relating to hybrid vehicles has been doubled to  €4,000, up to a limit of 10% of the total cost of the vehicle including tax, with a minimum subsidy of  €2,000.New decrees and order have been published in 2014, in order to strenghen the requirements to obtain the CO2 bonus.",Undefined,5 November 2017,http://www.developpement-durable.gouv.fr/article.php3?id_article=2672&var_recherche=bonus+malus,Energy Efficiency,"Payments, finance and taxation|Feebate|Payments and transfers|Externality taxation|GHG taxation",Transport|Road transport|Passenger transport (Road),Road vehicles|Transport technologies,Undefined,France,2007,In force,National,FRA
Tax Incentives for Electric Vehicles,https://www.iea.org/policies/6631-tax-incentives-for-electric-vehicles,"VAT is deductible for the purchaise of electric vehicles with a certain amount of acquisition costs depending on the type of vehicles: pure battery electric vehicles (BEV) < 62,000 EUR; plug-in hybrids vehicles (PHEV) < 50,000 EUR.   In addition, electric vehicles are exempted from the registration tax (Imposta Sobre Vehiculos or ISV): BEVs are fully exempted and PHEVs are exempted up to 75% of the tax if their all -electric range mode goes up to 25km.",Undefined,21 October 2019,https://www.eafo.eu/countries/portugal/1749/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Value added tax|Product taxation",Transport|Road transport|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Portugal,2007,In force,National,PRT
Vehicle Excise Duty (VED): fuel type and CO2 emission vehicle bands,https://www.iea.org/policies/1061-vehicle-excise-duty-ved-fuel-type-and-co2-emission-vehicle-bands,"The rate of vehicle tax for cars is based on engine size if registered before 2001, or on fuel type and carbon dioxide (CO2) emissions if registered after 2001. This is intended to send a stronger signal to the buyer about the environmental implications of their car purchase.",Undefined,5 November 2017,https://www.gov.uk/vehicle-tax-rate-tables,Energy Efficiency,"Regulation|Payments, finance and taxation|Taxes, fees and charges|Payments and transfers|Tax credits and exemptions",Transport|Road transport|Passenger transport (Road),Road vehicles|Transport technologies,Undefined,United Kingdom,2001,In force,National,GBR
EV Ownership Tax Benefits in Malta,https://www.iea.org/policies/6709-ev-ownership-tax-benefits-in-malta,Electric Vehicles only pay 10 Euros per year for a license fee as a symbolic contribution towards congestion.,Undefined,5 November 2017,https://www.eafo.eu/countries/malta/1744/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Malta,2017,In force,National,MLT
Ownership tax,https://www.iea.org/policies/3159-ownership-tax,Weight <=3500 kg:  ISK 5000 for first 121 gCO2/km + ISK 120 per gCO2/km above 121. For weight >3500 kg: ISK 46880 +ISK 2 per kg of weight above 3500 kg. If emissions are not available the emissions are calculated as 50 gCO2/km+0.12 gCO2 for each kg of weight,Undefined,5 November 2017,Undefined,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Iceland,2017,In force,National,ISL
Ownership tax benefits,https://www.iea.org/policies/6712-ownership-tax-benefits,Tax reduction - CO2 based tax,Undefined,5 November 2017,https://www.eafo.eu/countries/romania/1750/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Romania,2017,In force,National,ROU
Ownership tax benefits,https://www.iea.org/policies/6708-ownership-tax-benefits,Tax exemption for BEV's,Undefined,9 October 2019,https://www.eafo.eu/countries/latvia/1741/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Latvia,2017,In force,National,LVA
Ownership tax benefits,https://www.iea.org/policies/6704-ownership-tax-benefits,Electric vehicles are exempt from the annual circulation tax.,Undefined,5 November 2017,https://www.eafo.eu/countries/hungary/1736/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Hungary,2017,In force,National,HUN
Ownership tax benefits,https://www.iea.org/policies/6707-ownership-tax-benefits,"In order to encourage private citizens to choose electromobility and active mobility, thereby achieving a cleaner and sustainable mobility, a new tax allowance is now available for the purchase of a new, fully electric vehicle, a new bicycle, a new electrically assisted pedal bicycle (pedelec) or a rechargeable hybrid electric passenger vehicle. Private citizens can apply for a tax allowance for sustainable forms of transport in the amount of:     EUR 5,000 for the purchase of a zero-emissions personal vehicle that is fully powered by electricity or a hydrogen fuel cell, and registered after 1 January 2017. The vehicle must seat no more than 9 people, including the driver;    EUR 2,500 for the purchase of a rechargeable hybrid electric passenger vehicle whose emissions do not exceed 50g CO2/km. The date of first registration of the vehicle must be after 31 December 2017;    EUR 300 for the purchase of an electrically assisted pedal bicycle with a DC power output of no more than 0.25 kW, with the power supply being progressively reduced as the vehicle gains speed, and cut off entirely when it reaches 25 km/h;    EUR 300 for the purchase of a bicycle.",Undefined,3 October 2019,https://guichet.public.lu/en/citoyens/impots-taxes/detention-vehicule/mobilite-durable/deduction-mobilite-durable.html,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Luxembourg,2017,In force,National,LUX
Ownership tax benefits,https://www.iea.org/policies/6701-ownership-tax-benefits,"Electric, hybrid and other alternative fuel vehicles are exempt from the road tax (this tax applies to cars used for business purposes only).",Undefined,5 November 2017,https://www.eafo.eu/countries/czech-republic/1729/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Czech Republic,2017,In force,National,CZE
Ownership tax benefits - EV,https://www.iea.org/policies/6711-ownership-tax-benefits-ev,Tax reduction / exemption - CO2 based tax,Undefined,5 November 2017,https://www.eafo.eu/countries/portugal/1749/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Portugal,2017,In force,National,PRT
Registration tax benefits,https://www.iea.org/policies/6771-registration-tax-benefits,Tax reduction - CO2 based tax,Undefined,5 November 2017,https://www.eafo.eu/countries/lithuania/1742/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Lithuania,2017,In force,National,LTU
Registration tax benefits EV,https://www.iea.org/policies/6776-registration-tax-benefits-ev,BEV pays the lowest (33€) rate of tax on motor vehicle .,Undefined,5 November 2017,https://www.eafo.eu/countries/slovakia/1751/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Slovak Republic,2017,In force,National,SVK
New Vehicle Tax Exemption for Electric Vehicles - Federal Law for Taxes over New Vehicles,https://www.iea.org/policies/6937-new-vehicle-tax-exemption-for-electric-vehicles-federal-law-for-taxes-over-new-vehicles,"The Law enacted by the Mexican Government in 1996 defined the conditions for taxation of new vehicles, including who is required to pay, the type of vehicles sanctioned, importing rules and tax rates.  It also established that ""those vehicles which are propelled by electric batteries, or electric vehicles with integrated internal combustion or hydrogen-based engines"" are exempted to pay the tax defined in the law.  The law has been reformed several times modifiying the conditions and tax rates. The last published reform is DOF 30-11-2016.",Undefined,21 October 2019,http://www.diputados.gob.mx/LeyesBiblio/pdf/123_060519.pdf,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Mexico,2016,In force,National,MEX
Ownership tax differentiation,https://www.iea.org/policies/3161-ownership-tax-differentiation,"Not derogated for EVs. BEV pay minimum, as they have high efficiency. PHEV check",Undefined,5 November 2017,Undefined,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Denmark,2015,Ended,National,DNK
Registration tax benefitsSVN,https://www.iea.org/policies/6777-registration-tax-benefitssvn,"BEV's pay the lowest (0,5%) rate of tax on motor vehicle.",Undefined,5 November 2017,https://www.eafo.eu/countries/slovenia/1752/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Slovenia,2012,In force,National,SVN
Ownership tax benefitsSVN,https://www.iea.org/policies/6713-ownership-tax-benefitssvn,Exemption from the payment of annual fees for the use of roads for BEV.,Undefined,5 November 2017,https://www.eafo.eu/countries/slovenia/1752/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Slovenia,2006,In force,National,SVN
